,PMID,SPLIT,DOMAIN,OBSERVED
0,10195224,discovery,MEMORY,0.6938775510204082
1,10220229,discovery,MEMORY,0.2564102564102564
2,10355673,discovery,MEMORY,0.37735849056603776
3,10468630,discovery,MEMORY,0.4347826086956522
4,10594068,discovery,MEMORY,0.3098591549295775
5,10600999,discovery,MEMORY,0.4193548387096774
6,10643726,discovery,MEMORY,0.29333333333333333
7,10683827,discovery,MEMORY,0.4
8,10694462,discovery,MEMORY,0.38596491228070173
9,10869585,discovery,MEMORY,0.43999999999999995
10,10959525,discovery,MEMORY,0.30000000000000004
11,11172070,discovery,MEMORY,0.2978723404255319
12,11239901,discovery,MEMORY,0.5581395348837209
13,11276236,discovery,MEMORY,0.125
14,11353732,discovery,MEMORY,0.4657534246575342
15,11522264,discovery,MEMORY,0.3571428571428571
16,11848693,discovery,MEMORY,0.28
17,11856537,discovery,MEMORY,0.35820895522388063
18,11906703,discovery,MEMORY,0.42553191489361697
19,11983183,discovery,MEMORY,0.339622641509434
20,12145327,discovery,MEMORY,0.4642857142857143
21,12395388,discovery,MEMORY,0.3733333333333333
22,12401549,discovery,MEMORY,0.18181818181818177
23,12427683,discovery,MEMORY,0.2571428571428571
24,12454910,discovery,MEMORY,0.31999999999999995
25,12507690,discovery,MEMORY,0.4782608695652174
26,12566286,discovery,MEMORY,0.4040404040404041
27,12571116,discovery,MEMORY,0.26415094339622647
28,12595193,discovery,MEMORY,0.38095238095238093
29,12757906,discovery,MEMORY,0.19512195121951215
30,12821520,discovery,MEMORY,0.4814814814814815
31,12873392,discovery,MEMORY,0.40909090909090906
32,12880813,discovery,MEMORY,0.19999999999999996
33,12880904,discovery,MEMORY,0.36111111111111116
34,13679414,discovery,MEMORY,0.29166666666666663
35,14531584,discovery,MEMORY,0.5245901639344263
36,14585491,discovery,MEMORY,0.3137254901960784
37,14625149,discovery,MEMORY,0.34782608695652173
38,14643096,discovery,MEMORY,0.22857142857142854
39,14741673,discovery,MEMORY,0.3921568627450981
40,14758364,discovery,MEMORY,0.56
41,14980569,discovery,MEMORY,0.2941176470588235
42,15013826,discovery,MEMORY,0.31034482758620685
43,15038994,discovery,MEMORY,0.5714285714285714
44,15050559,discovery,MEMORY,0.3111111111111111
45,15084488,discovery,MEMORY,0.4137931034482759
46,15157428,discovery,MEMORY,0.3943661971830986
47,15193617,discovery,MEMORY,0.3833333333333333
48,15473974,discovery,MEMORY,0.339622641509434
49,15477872,discovery,MEMORY,0.23809523809523814
50,15488301,discovery,MEMORY,0.3728813559322034
51,15488397,discovery,MEMORY,0.3666666666666667
52,15525806,discovery,MEMORY,0.30000000000000004
53,15528087,discovery,MEMORY,0.2777777777777778
54,15589112,discovery,MEMORY,0.33333333333333337
55,15597038,discovery,MEMORY,0.2325581395348837
56,15597043,discovery,MEMORY,0.6222222222222222
57,15627581,discovery,MEMORY,0.3589743589743589
58,15630123,discovery,MEMORY,0.23076923076923073
59,15701221,discovery,MEMORY,0.36363636363636365
60,15716306,discovery,MEMORY,0.2857142857142857
61,15721179,discovery,MEMORY,0.4347826086956522
62,15737660,discovery,MEMORY,0.46808510638297873
63,15850721,discovery,MEMORY,0.2790697674418605
64,15927485,discovery,MEMORY,0.6666666666666667
65,15935262,discovery,MEMORY,0.36363636363636365
66,15993537,discovery,MEMORY,0.3157894736842105
67,16044172,discovery,MEMORY,0.18181818181818177
68,16046064,discovery,MEMORY,0.31818181818181823
69,16051501,discovery,MEMORY,0.5079365079365079
70,16154603,discovery,MEMORY,0.26086956521739135
71,16226349,discovery,MEMORY,0.368421052631579
72,16246595,discovery,MEMORY,0.37209302325581395
73,16251504,discovery,MEMORY,0.20512820512820518
74,16300967,discovery,MEMORY,0.36923076923076925
75,16339042,discovery,MEMORY,0.3589743589743589
76,16377154,discovery,MEMORY,0.6206896551724138
77,16412236,discovery,MEMORY,0.4545454545454546
78,16414281,discovery,MEMORY,0.31404958677685946
79,16458860,discovery,MEMORY,0.38655462184873945
80,16460693,discovery,MEMORY,0.2222222222222222
81,16460697,discovery,MEMORY,0.40909090909090906
82,16487943,discovery,MEMORY,0.45833333333333337
83,16510734,discovery,MEMORY,0.4158415841584159
84,16551984,discovery,MEMORY,0.3943661971830986
85,16581168,discovery,MEMORY,0.4666666666666667
86,16640486,discovery,MEMORY,0.326530612244898
87,16790655,discovery,MEMORY,0.33333333333333337
88,16859420,discovery,MEMORY,0.3620689655172413
89,16880131,discovery,MEMORY,0.38095238095238093
90,16942757,discovery,MEMORY,0.33333333333333337
91,16957073,discovery,MEMORY,0.37209302325581395
92,16963565,discovery,MEMORY,0.6222222222222222
93,16979268,discovery,MEMORY,0.23809523809523814
94,17042790,discovery,MEMORY,0.29032258064516125
95,17126910,discovery,MEMORY,0.39473684210526316
96,17182226,discovery,MEMORY,0.2962962962962963
97,17204823,discovery,MEMORY,0.41860465116279066
98,17217927,discovery,MEMORY,0.3076923076923077
99,17251241,discovery,MEMORY,0.39344262295081966
100,17280522,discovery,MEMORY,0.45333333333333337
101,17288648,discovery,MEMORY,0.2857142857142857
102,17306771,discovery,MEMORY,0.2564102564102564
103,17339967,discovery,MEMORY,0.42307692307692313
104,17376704,discovery,MEMORY,0.3111111111111111
105,17390317,discovery,MEMORY,0.3125
106,17408704,discovery,MEMORY,0.46875
107,17434455,discovery,MEMORY,0.375
108,17525984,discovery,MEMORY,0.3111111111111111
109,17543896,discovery,MEMORY,0.4077669902912622
110,17581532,discovery,MEMORY,0.24390243902439024
111,17604009,discovery,MEMORY,0.49056603773584906
112,17604351,discovery,MEMORY,0.6222222222222222
113,17644222,discovery,MEMORY,0.3214285714285714
114,17676059,discovery,MEMORY,0.375
115,17712410,discovery,MEMORY,0.32558139534883723
116,17766762,discovery,MEMORY,0.21818181818181814
117,17767510,discovery,MEMORY,0.48
118,17888687,discovery,MEMORY,0.20512820512820518
119,17905600,discovery,MEMORY,0.38095238095238093
120,17915264,discovery,MEMORY,0.36363636363636365
121,17955021,discovery,MEMORY,0.29166666666666663
122,17964185,discovery,MEMORY,0.3466666666666667
123,17967171,discovery,MEMORY,0.3157894736842105
124,17993209,discovery,MEMORY,0.6984126984126984
125,18039046,discovery,MEMORY,0.47058823529411764
126,18055028,discovery,MEMORY,0.3529411764705882
127,18181882,discovery,MEMORY,0.35
128,18256251,discovery,MEMORY,0.17142857142857137
129,18261930,discovery,MEMORY,0.3529411764705882
130,18295746,discovery,MEMORY,0.35
131,18308706,discovery,MEMORY,0.3384615384615385
132,18308711,discovery,MEMORY,0.3111111111111111
133,18310578,discovery,MEMORY,0.3880597014925373
134,18321537,discovery,MEMORY,0.4722222222222222
135,18374902,discovery,MEMORY,0.4814814814814815
136,18375529,discovery,MEMORY,0.3764705882352941
137,18385483,discovery,MEMORY,0.43137254901960786
138,18422840,discovery,MEMORY,0.11764705882352944
139,18445024,discovery,MEMORY,0.3913043478260869
140,18479717,discovery,MEMORY,0.4651162790697675
141,18486975,discovery,MEMORY,0.4
142,18490926,discovery,MEMORY,0.3783783783783784
143,18562616,discovery,MEMORY,0.2545454545454545
144,18564045,discovery,MEMORY,0.42105263157894735
145,18698355,discovery,MEMORY,0.19512195121951215
146,18703030,discovery,MEMORY,0.3434343434343434
147,18760691,discovery,MEMORY,0.35820895522388063
148,18767918,discovery,MEMORY,0.27586206896551724
