,PMID,SPLIT,DOMAIN,OBSERVED
0,10200303,discovery,NEGATIVE_VALENCE,0.4356435643564357
1,10204547,discovery,NEGATIVE_VALENCE,0.4042553191489362
2,10208571,discovery,NEGATIVE_VALENCE,0.48888888888888893
3,10220461,discovery,NEGATIVE_VALENCE,0.49230769230769234
4,10318979,discovery,NEGATIVE_VALENCE,0.3529411764705882
5,10332889,discovery,NEGATIVE_VALENCE,0.3529411764705882
6,10450253,discovery,NEGATIVE_VALENCE,0.38596491228070173
7,10459394,discovery,NEGATIVE_VALENCE,0.4036697247706422
8,10459395,discovery,NEGATIVE_VALENCE,0.2790697674418605
9,10468363,discovery,NEGATIVE_VALENCE,0.3551401869158879
10,10468630,discovery,NEGATIVE_VALENCE,0.2222222222222222
11,10471848,discovery,NEGATIVE_VALENCE,0.4678362573099415
12,10496688,discovery,NEGATIVE_VALENCE,0.326530612244898
13,10594068,discovery,NEGATIVE_VALENCE,0.46464646464646464
14,10632617,discovery,NEGATIVE_VALENCE,0.43410852713178294
15,10643726,discovery,NEGATIVE_VALENCE,0.5233644859813085
16,10771415,discovery,NEGATIVE_VALENCE,0.4347826086956522
17,10867223,discovery,NEGATIVE_VALENCE,0.3448275862068966
18,10869585,discovery,NEGATIVE_VALENCE,0.345679012345679
19,10913506,discovery,NEGATIVE_VALENCE,0.3232323232323232
20,10959525,discovery,NEGATIVE_VALENCE,0.5172413793103448
21,11017179,discovery,NEGATIVE_VALENCE,0.5245901639344263
22,11027238,discovery,NEGATIVE_VALENCE,0.4
23,11034866,discovery,NEGATIVE_VALENCE,0.390625
24,11058474,discovery,NEGATIVE_VALENCE,0.3434343434343434
25,11062324,discovery,NEGATIVE_VALENCE,0.28846153846153844
26,11063978,discovery,NEGATIVE_VALENCE,0.4605263157894737
27,11169872,discovery,NEGATIVE_VALENCE,0.38
28,11172070,discovery,NEGATIVE_VALENCE,0.640625
29,11172071,discovery,NEGATIVE_VALENCE,0.5426356589147288
30,11194410,discovery,NEGATIVE_VALENCE,0.4285714285714286
31,11231095,discovery,NEGATIVE_VALENCE,0.3090909090909091
32,11239442,discovery,NEGATIVE_VALENCE,0.31481481481481477
33,11248000,discovery,NEGATIVE_VALENCE,0.4086021505376344
34,11276236,discovery,NEGATIVE_VALENCE,0.08955223880597019
35,11305885,discovery,NEGATIVE_VALENCE,0.5636363636363637
36,11346889,discovery,NEGATIVE_VALENCE,0.4897959183673469
37,11352610,discovery,NEGATIVE_VALENCE,0.2325581395348837
38,11410949,discovery,NEGATIVE_VALENCE,0.35416666666666663
39,11430815,discovery,NEGATIVE_VALENCE,0.41860465116279066
40,11435941,discovery,NEGATIVE_VALENCE,0.3132530120481928
41,11440757,discovery,NEGATIVE_VALENCE,0.3146067415730337
42,11448368,discovery,NEGATIVE_VALENCE,0.4807692307692307
43,11466121,discovery,NEGATIVE_VALENCE,0.36363636363636365
44,11493699,discovery,NEGATIVE_VALENCE,0.1917808219178082
45,11527554,discovery,NEGATIVE_VALENCE,0.4132231404958677
46,11545466,discovery,NEGATIVE_VALENCE,0.3577235772357723
47,11681541,discovery,NEGATIVE_VALENCE,0.3191489361702128
48,11689304,discovery,NEGATIVE_VALENCE,0.4299065420560748
49,11738036,discovery,NEGATIVE_VALENCE,0.4642857142857143
50,11739597,discovery,NEGATIVE_VALENCE,0.44660194174757284
51,11822992,discovery,NEGATIVE_VALENCE,0.32558139534883723
52,11834781,discovery,NEGATIVE_VALENCE,0.41860465116279066
53,11839367,discovery,NEGATIVE_VALENCE,0.4
54,11856537,discovery,NEGATIVE_VALENCE,0.33333333333333337
55,11867254,discovery,NEGATIVE_VALENCE,0.18918918918918914
56,11922877,discovery,NEGATIVE_VALENCE,0.5052631578947369
57,11954059,discovery,NEGATIVE_VALENCE,0.4720496894409938
58,11960021,discovery,NEGATIVE_VALENCE,0.4242424242424242
59,11960892,discovery,NEGATIVE_VALENCE,0.2823529411764706
60,11983183,discovery,NEGATIVE_VALENCE,0.25287356321839083
61,12007751,discovery,NEGATIVE_VALENCE,0.3652173913043478
62,12122177,discovery,NEGATIVE_VALENCE,0.4067796610169492
63,12145327,discovery,NEGATIVE_VALENCE,0.29268292682926833
64,12208637,discovery,NEGATIVE_VALENCE,0.4242424242424242
65,12351738,discovery,NEGATIVE_VALENCE,0.34285714285714286
66,12394703,discovery,NEGATIVE_VALENCE,0.3529411764705882
67,12408855,discovery,NEGATIVE_VALENCE,0.3666666666666667
68,12411216,discovery,NEGATIVE_VALENCE,0.435374149659864
69,12417384,discovery,NEGATIVE_VALENCE,0.31707317073170727
70,12427580,discovery,NEGATIVE_VALENCE,0.3486238532110092
71,12438464,discovery,NEGATIVE_VALENCE,0.467741935483871
72,12454910,discovery,NEGATIVE_VALENCE,0.5
73,12486175,discovery,NEGATIVE_VALENCE,0.41025641025641024
74,12495526,discovery,NEGATIVE_VALENCE,0.1842105263157895
75,12498755,discovery,NEGATIVE_VALENCE,0.30000000000000004
76,12506194,discovery,NEGATIVE_VALENCE,0.30952380952380953
77,12531463,discovery,NEGATIVE_VALENCE,0.3373493975903614
78,12559652,discovery,NEGATIVE_VALENCE,0.42553191489361697
79,12559653,discovery,NEGATIVE_VALENCE,0.2432432432432432
80,12595206,discovery,NEGATIVE_VALENCE,0.4552845528455285
81,12598724,discovery,NEGATIVE_VALENCE,0.3119266055045872
82,12611834,discovery,NEGATIVE_VALENCE,0.3023255813953488
83,12626765,discovery,NEGATIVE_VALENCE,0.379746835443038
84,12644353,discovery,NEGATIVE_VALENCE,0.24691358024691357
85,12644354,discovery,NEGATIVE_VALENCE,0.38834951456310685
86,12644355,discovery,NEGATIVE_VALENCE,0.25806451612903225
87,12667723,discovery,NEGATIVE_VALENCE,0.3789473684210526
88,12690048,discovery,NEGATIVE_VALENCE,0.3058823529411765
89,12691791,discovery,NEGATIVE_VALENCE,0.4444444444444444
90,12744952,discovery,NEGATIVE_VALENCE,0.25
91,12784119,discovery,NEGATIVE_VALENCE,0.3614457831325302
92,12805116,discovery,NEGATIVE_VALENCE,0.4411764705882353
93,12805122,discovery,NEGATIVE_VALENCE,0.4375
94,12814585,discovery,NEGATIVE_VALENCE,0.4299065420560748
95,12821520,discovery,NEGATIVE_VALENCE,0.32098765432098764
96,12821792,discovery,NEGATIVE_VALENCE,0.36585365853658536
97,12843299,discovery,NEGATIVE_VALENCE,0.41509433962264153
98,12880789,discovery,NEGATIVE_VALENCE,0.3146067415730337
99,12880791,discovery,NEGATIVE_VALENCE,0.339622641509434
100,12880904,discovery,NEGATIVE_VALENCE,0.5154639175257731
101,12893421,discovery,NEGATIVE_VALENCE,0.3366336633663366
102,12944524,discovery,NEGATIVE_VALENCE,0.543859649122807
103,12972367,discovery,NEGATIVE_VALENCE,0.3801652892561983
104,1448149,discovery,NEGATIVE_VALENCE,0.3661971830985915
105,14527602,discovery,NEGATIVE_VALENCE,0.3023255813953488
106,14531584,discovery,NEGATIVE_VALENCE,0.3023255813953488
107,14550677,discovery,NEGATIVE_VALENCE,0.4605263157894737
108,14568464,discovery,NEGATIVE_VALENCE,0.3495145631067961
109,14584547,discovery,NEGATIVE_VALENCE,0.303030303030303
110,14585491,discovery,NEGATIVE_VALENCE,0.31707317073170727
111,14622239,discovery,NEGATIVE_VALENCE,0.4347826086956522
112,14625150,discovery,NEGATIVE_VALENCE,0.3902439024390244
113,14642482,discovery,NEGATIVE_VALENCE,0.3414634146341463
114,14643070,discovery,NEGATIVE_VALENCE,0.475
115,14643096,discovery,NEGATIVE_VALENCE,0.19999999999999996
116,14644105,discovery,NEGATIVE_VALENCE,0.46341463414634143
117,14673888,discovery,NEGATIVE_VALENCE,0.39639639639639634
118,14675800,discovery,NEGATIVE_VALENCE,0.4
119,14679386,discovery,NEGATIVE_VALENCE,0.41509433962264153
120,14704217,discovery,NEGATIVE_VALENCE,0.375
121,14706942,discovery,NEGATIVE_VALENCE,0.3928571428571429
122,14715131,discovery,NEGATIVE_VALENCE,0.4285714285714286
123,14728923,discovery,NEGATIVE_VALENCE,0.36170212765957444
124,14742598,discovery,NEGATIVE_VALENCE,0.326530612244898
