PMID,SPLIT,DOMAIN,OBSERVED
1633409,train,VISION,0.3302752293577982
2360050,train,VISION,0.30000000000000004
3653828,train,VISION,0.20512820512820518
7935791,train,VISION,0.25263157894736843
8606771,train,VISION,0.2857142857142857
8938120,train,VISION,0.2978723404255319
9365370,train,VISION,0.36734693877551017
9529825,train,VISION,0.36363636363636365
9549487,train,VISION,0.23529411764705888
9704267,train,VISION,0.3921568627450981
9770542,train,VISION,0.360655737704918
9831460,train,VISION,0.2909090909090909
9990082,train,VISION,0.47619047619047616
10355678,train,VISION,0.3389830508474576
10404202,train,VISION,0.3921568627450981
10450888,train,VISION,0.4918032786885246
10450889,train,VISION,0.5714285714285714
10471434,train,VISION,0.33333333333333337
10480271,train,VISION,0.3928571428571429
10534240,train,VISION,0.4444444444444444
10586971,train,VISION,0.3137254901960784
10611121,train,VISION,0.31818181818181823
10639391,train,VISION,0.37735849056603776
10775709,train,VISION,0.3448275862068966
10861020,train,VISION,0.20512820512820518
10864232,train,VISION,0.2978723404255319
10908192,train,VISION,0.5098039215686274
10944414,train,VISION,0.3908045977011494
10960054,train,VISION,0.5194805194805194
10976949,train,VISION,0.3076923076923077
10986548,train,VISION,0.2666666666666667
11074084,train,VISION,0.3661971830985915
11099454,train,VISION,0.41666666666666663
11099732,train,VISION,0.326530612244898
11099827,train,VISION,0.49056603773584906
11163281,train,VISION,0.39560439560439564
11163375,train,VISION,0.38596491228070173
11167061,train,VISION,0.38235294117647056
11248106,train,VISION,0.36923076923076925
11275483,train,VISION,0.4130434782608695
11287136,train,VISION,0.37037037037037035
11322985,train,VISION,0.4137931034482759
11352610,train,VISION,0.27118644067796616
11410949,train,VISION,0.3373493975903614
11426233,train,VISION,0.31707317073170727
11430815,train,VISION,0.3076923076923077
11506646,train,VISION,0.5135135135135135
11532891,train,VISION,0.21621621621621623
11553776,train,VISION,0.42666666666666664
11571224,train,VISION,0.4126984126984127
11600656,train,VISION,0.34782608695652173
11798277,train,VISION,0.46376811594202894
11900744,train,VISION,0.41025641025641024
11923438,train,VISION,0.32727272727272727
11931928,train,VISION,0.6666666666666667
12030824,train,VISION,0.3939393939393939
12050089,train,VISION,0.4307692307692308
12074896,train,VISION,0.4067796610169492
12077201,train,VISION,0.43137254901960786
12098493,train,VISION,0.2727272727272727
12098499,train,VISION,0.25
12112770,train,VISION,0.2716049382716049
