INDEX,TITLE,PREPROCESSED,PRESENTABLE_LOWER,PRESENTABLE,PRESENTABLE_TITLE,ABBREVIATION
1,Left Frontal Pole,left_frontal_pole,left frontal pole,Left Frontal Pole,Frontal pole (L),FP (L)
2,Left Insular Cortex,left_insular_cortex,left insular cortex,Left Insular Cortex,Insular cortex (L),Insula (L)
3,Left Superior Frontal Gyrus,left_superior_frontal_gyrus,left superior frontal gyrus,Left Superior Frontal Gyrus,Superior frontal gyrus (L),SFG (L)
4,Left Middle Frontal Gyrus,left_middle_frontal_gyrus,left middle frontal gyrus,Left Middle Frontal Gyrus,Middle frontal gyrus (L),MFG (L)
5,Left Inferior Frontal Gyrus pars triangularis,left_inferior_frontal_gyrus_pars_triangularis,"left IFG, pars triangularis","Left IFG, Pars Triangularis","IFG, pars triangularis (L)",trIFG (L)
6,Left Inferior Frontal Gyrus pars opercularis,left_inferior_frontal_gyrus_pars_opercularis,"left IFG, pars opercularis","Left IFG, Pars Opercularis","IFG, pars opercularis (L)",opIFG (L)
7,Left Precentral Gyrus,left_precentral_gyrus,left precentral gyrus,Left Precentral Gyrus,Precentral gyrus (L),Precentral (L)
8,Left Temporal Pole,left_temporal_pole,left temporal pole,Left Temporal Pole,Temporal pole (L),TP (L)
9,Left Superior Temporal Gyrus anterior division,left_superior_temporal_gyrus_anterior_division,left anterior STG,Left Anterior STG,Anterior STG (L),aSTG (L)
10,Left Superior Temporal Gyrus posterior division,left_superior_temporal_gyrus_posterior_division,left posterior STG,Left Posterior STG,Posterior STG (L),pSTG (L)
11,Left Middle Temporal Gyrus anterior division,left_middle_temporal_gyrus_anterior_division,left anterior MTG,Left Anterior MTG,Anterior MTG (L),aMTG (L)
12,Left Middle Temporal Gyrus posterior division,left_middle_temporal_gyrus_posterior_division,left posterior MTG,Left Posterior MTG,Posterior MTG (L),pMTG (L)
13,Left Middle Temporal Gyrus temporooccipital part,left_middle_temporal_gyrus_temporooccipital_part,left temporo-occipital MTG,Left Temporo-occipital MTG,Temporo-occipital MTG (L),toMTG (L)
14,Left Inferior Temporal Gyrus anterior division,left_inferior_temporal_gyrus_anterior_division,left anterior ITG,Left Anterior ITG,Anterior ITG (L),aITG (L)
15,Left Inferior Temporal Gyrus posterior division,left_inferior_temporal_gyrus_posterior_division,left posterior ITG,Left Posterior ITG,Posterior ITG (L),pITG (L)
16,Left Inferior Temporal Gyrus temporooccipital part,left_inferior_temporal_gyrus_temporooccipital_part,left temporo-occipital ITG,Left Temporo-occipital ITG,Temporo-occipital ITG (L),toITG (L)
17,Left Postcentral Gyrus,left_postcentral_gyrus,left postcentral gyrus,Left Postcentral Gyrus,Postcentral gyrus (L),Postcentral (L)
18,Left Superior Parietal Lobule,left_superior_parietal_lobule,left superior parietal lobule,Left Superior Parietal Lobule,Superior parietal lobule (L),SPL (L)
19,Left Supramarginal Gyrus anterior division,left_supramarginal_gyrus_anterior_division,left anterior SMG,Left Anterior SMG,Anterior SMG (L),aSMG (L)
20,Left Supramarginal Gyrus posterior division,left_supramarginal_gyrus_posterior_division,left posterior SMG,Left Posterior SMG,Posterior SMG (L),pSMG (L)
21,Left Angular Gyrus,left_angular_gyrus,left angular gyrus,Left Angular Gyrus,Angular gyrus (L),Angular (L)
22,Left Lateral Occipital Cortex superior division,left_lateral_occipital_cortex_superior_division,left superolateral occipital cortex,Left Superolateral Occipital Cortex,Superolateral occipital cortex (L),slOccipital (L)
23,Left Lateral Occipital Cortex inferior division,left_lateral_occipital_cortex_inferior_division,left inferolateral occipital cortex,Left Inferolateral Occipital Cortex,Inferolateral occipital cortex (L),ilOccipital (L)
24,Left Intracalcarine Cortex,left_intracalcarine_cortex,left intracalcarine cortex,Left Intracalcarine Cortex,Intracalcarine cortex (L),Intracalcarine (L)
25,Left Frontal Medial Cortex,left_frontal_medial_cortex,left frontal medial cortex,Left Frontal Medial Cortex,Frontal medial cortex (L),Frontomedial (L)
26,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),left_supplementary_motor_cortex,left supplementary motor cortex,Left Supplementary Motor Cortex,Supplementary motor cortex (L),SMA (L)
27,Left Subcallosal Cortex,left_subcallosal_cortex,left subcallosal cortex,Left Subcallosal Cortex,Subcallosal cortex (L),Subcallosal (L)
28,Left Paracingulate Gyrus,left_paracingulate_gyrus,left paracingulate gyrus,Left Paracingulate Gyrus,Paracingulate gyrus (L),Paracingulate (L)
29,Left Cingulate Gyrus anterior division,left_cingulate_gyrus_anterior_division,left anterior cingulate,Left Anterior Cingulate,Anterior cingulate (L),ACC (L)
30,Left Cingulate Gyrus posterior division,left_cingulate_gyrus_posterior_division,left posterior cingulate,Left Posterior Cingulate,Posterior cingulate (L),PCC (L)
31,Left Precuneous Cortex,left_precuneous_cortex,left precuneous,Left Precuneous,Precuneous (L),Precuneous (L)
32,Left Cuneal Cortex,left_cuneal_cortex,left cuneal cortex,Left Cuneal Cortex,Cuneal cortex (L),Cuneal (L)
33,Left Frontal Orbital Cortex,left_frontal_orbital_cortex,left frontal orbital cortex,Left Frontal Orbital Cortex,Frontal orbital cortex (L),Frontorbital (L)
34,Left Parahippocampal Gyrus anterior division,left_parahippocampal_gyrus_anterior_division,left anterior parahippocampus,Left Anterior Parahippocampus,Anterior parahippocampus (L),aPH (L)
35,Left Parahippocampal Gyrus posterior division,left_parahippocampal_gyrus_posterior_division,left posterior parahippocampus,Left Posterior Parahippocampus,Posterior parahippocampus (L),pPH (L)
36,Left Lingual Gyrus,left_lingual_gyrus,left lingual gyrus,Left Lingual Gyrus,Lingual gyrus (L),Lingual (L)
37,Left Temporal Fusiform Cortex anterior division,left_temporal_fusiform_cortex_anterior_division,left anterior temporal fusiform,Left Anterior Temporal Fusiform,Anterior temporal fusiform (L),atFusiform (L)
38,Left Temporal Fusiform Cortex posterior division,left_temporal_fusiform_cortex_posterior_division,left posterior temporal fusiform,Left Posterior Temporal Fusiform,Posterior temporal fusiform (L),ptFusiform (L)
39,Left Temporal Occipital Fusiform Cortex,left_temporal_occipital_fusiform_cortex,left temporo-occipital fusiform,Left Temporo-occipital Fusiform,Temporo-occipital fusiform (L),toFusiform (L)
40,Left Occipital Fusiform Gyrus,left_occipital_fusiform_gyrus,left occipital fusiform,Left Occipital Fusiform,Occipital fusiform (L),occFusiform (L)
41,Left Frontal Operculum Cortex,left_frontal_operculum_cortex,left frontal operculum,Left Frontal Operculum,Frontal operculum (L),fOperculum (L)
42,Left Central Opercular Cortex,left_central_opercular_cortex,left central operculum,Left Central Operculum,Central operculum (L),cOperculum (L)
43,Left Parietal Operculum Cortex,left_parietal_operculum_cortex,left parietal operculum,Left Parietal Operculum,Parietal operculum (L),pOperculum (L)
44,Left Planum Polare,left_planum_polare,left planum polare,Left Planum Polare,Planum polare (L),PP (L)
45,Left Heschl's Gyrus (includes H1 and H2),left_heschls_gyrus,left heschl's gyrus,Left Heschl's Gyrus,Heschl's gyrus (L),Heschl (L)
46,Left Planum Temporale,left_planum_temporale,left planum temporale,Left Planum Temporale,Planum temporale (L),PT (L)
47,Left Supracalcarine Cortex,left_supracalcarine_cortex,left supracalcarine cortex,Left Supracalcarine Cortex,Supracalcarine cortex (L),Supracalcarine (L)
48,Left Occipital Pole,left_occipital_pole,left occipital pole,Left Occipital Pole,Occipital pole (L),OP (L)
49,Left Thalamus,left_thalamus,left thalamus,Left Thalamus,Thalamus (L),Thalamus (L)
50,Left Caudate,left_caudate,left caudate,Left Caudate,Caudate (L),Caudate (L)
51,Left Putamen,left_putamen,left putamen,Left Putamen,Putamen (L),Putamen (L)
52,Left Pallidum,left_pallidum,left pallidum,Left Pallidum,Pallidum (L),Pallidum (L)
53,Left Hippocampus,left_hippocampus,left hippocampus,Left Hippocampus,Hippocampus (L),Hippocampus (L)
54,Left Amygdala,left_amygdala,left amygdala,Left Amygdala,Amygdala (L),Amygdala (L)
55,Left Accumbens,left_accumbens,left accumbens,Left Accumbens,Accumbens (L),Accumbens (L)
56,Left Brain-Stem,left_brainstem,left brainstem,Left Brainstem,Brainstem (L),Brainstem (L)
57,Left Cerebellar Lobules,left_cerebellar_lobules,left cerebellar lobules,Left Cerebellar Lobules,Cerebellar lobules (L),Cerebellar Lobules (L)
58,Left Cerebellar Crus,left_cerebellar_crus,left cerebellar crus,Left Cerebellar Crus,Cerebellar crus (L),Cerebellar Crus (L)
59,Left Cerebellar Vermis,left_cerebellar_vermis,left cerebellar vermis,Left Cerebellar Vermis,Cerebellar vermis (L),Cerebellar Vermis (L)
60,Right Frontal Pole,right_frontal_pole,right frontal pole,Right Frontal Pole,Frontal pole (R),FP (R)
61,Right Insular Cortex,right_insular_cortex,right insular cortex,Right Insular Cortex,Insular cortex (R),Insula (R)
62,Right Superior Frontal Gyrus,right_superior_frontal_gyrus,right superior frontal gyrus,Right Superior Frontal Gyrus,Superior frontal gyrus (R),SFG (R)
63,Right Middle Frontal Gyrus,right_middle_frontal_gyrus,right middle frontal gyrus,Right Middle Frontal Gyrus,Middle frontal gyrus (R),MFG (R)
64,Right Inferior Frontal Gyrus pars triangularis,right_inferior_frontal_gyrus_pars_triangularis,"right IFG, pars triangularis","Right IFG, Pars Triangularis","IFG, pars triangularis (R)",trIFG (R)
65,Right Inferior Frontal Gyrus pars opercularis,right_inferior_frontal_gyrus_pars_opercularis,"right IFG, pars opercularis","Right IFG, Pars Opercularis","IFG, pars opercularis (R)",opIFG (R)
66,Right Precentral Gyrus,right_precentral_gyrus,right precentral gyrus,Right Precentral Gyrus,Precentral gyrus (R),Precentral (R)
67,Right Temporal Pole,right_temporal_pole,right temporal pole,Right Temporal Pole,Temporal pole (R),TP (R)
68,Right Superior Temporal Gyrus anterior division,right_superior_temporal_gyrus_anterior_division,right anterior STG,Right Anterior STG,Anterior STG (R),aSTG (R)
69,Right Superior Temporal Gyrus posterior division,right_superior_temporal_gyrus_posterior_division,right posterior STG,Right Posterior STG,Posterior STG (R),pSTG (R)
70,Right Middle Temporal Gyrus anterior division,right_middle_temporal_gyrus_anterior_division,right anterior MTG,Right Anterior MTG,Anterior MTG (R),aMTG (R)
71,Right Middle Temporal Gyrus posterior division,right_middle_temporal_gyrus_posterior_division,right posterior MTG,Right Posterior MTG,Posterior MTG (R),pMTG (R)
72,Right Middle Temporal Gyrus temporooccipital part,right_middle_temporal_gyrus_temporooccipital_part,right temporo-occipital MTG,Right Temporo-occipital MTG,Temporo-occipital MTG (R),toMTG (R)
73,Right Inferior Temporal Gyrus anterior division,right_inferior_temporal_gyrus_anterior_division,right anterior ITG,Right Anterior ITG,Anterior ITG (R),aITG (R)
74,Right Inferior Temporal Gyrus posterior division,right_inferior_temporal_gyrus_posterior_division,right posterior ITG,Right Posterior ITG,Posterior ITG (R),pITG (R)
75,Right Inferior Temporal Gyrus temporooccipital part,right_inferior_temporal_gyrus_temporooccipital_part,right temporo-occipital ITG,Right Temporo-occipital ITG,Temporo-occipital ITG (R),toITG (R)
76,Right Postcentral Gyrus,right_postcentral_gyrus,right postcentral gyrus,Right Postcentral Gyrus,Postcentral gyrus (R),Postcentral (R)
