PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
27894900,fMRI,Functional MRI,18,28,21.9,,11,6,17
22922525,fMRI,Functional MRI,,,33.2,6.1,12,15,27
17336346,fMRI,Functional MRI,,,25.7,10.15,,,20
19433790,fMRI,Functional MRI,19,29,22,,10,5,15
12433382,fMRI,Functional MRI,20,36,,,6,9,15
24016745,fMRI,Functional MRI,,,12.9,,18,41,59
19780041,PET,PET,,,26,3.9,0,10,10
20011541,fMRI & TMS,Functional MRI,,,,,8,7,15
28253076,MRI (VBM),Structural MRI,,,22.61,2.23,41,35,76
16476414,fMRI,Functional MRI,16,29,22.8,3.8,,,14
21601433,fMRI,Functional MRI,,,30.7,7.43,13,17,30
23056309,fMRI,Functional MRI,18,50,30,7.25,27,20,47
21932261,fMRI,Functional MRI,21,55,,,11,17,28
19410366,fMRI,Functional MRI,24,55,38.5,8.1,99,0,99
24936406,fMRI,Functional MRI,8.8,11.2,9.75,0.575,21,23,44
23313581,fMRI,Functional MRI,19,39,26.1,,0,42,42
19199409,fMRI,Functional MRI,18,28,21.8,,10,7,17
25214317,fMRI,Functional MRI,,,40.75,7.45,0,38,38
24124475,fMRI,Functional MRI,19,24,22.5,,14,11,25
12135962,fMRI,Functional MRI,19,37,26,5,0,12,12
19505993,fMRI,Functional MRI,22,35,24.9,3.7,10,10,20
18661505,fMRI,Functional MRI,,,26.2,3.8,13,14,27
27774695,fMRI,Functional MRI,18,22,21.3,1.9,12,8,20
9023428,PET,PET,19,25,22.3,2.24,6,5,11
14980580,fMRI,Functional MRI,18,30,22.7,,6,6,12
25792694,fMRI,Functional MRI,14,33,19.5,,6,51,57
18717711,fMRI,Functional MRI,18,62,,,27,27,54
28176436,MRI (DKI),Structural MRI,,,73.97,5.53,30,24,54
19538748,fMRI,Functional MRI,,,33.905,5.44,16,8,24
26248899,fMRI,Functional MRI,19,30,22.6,2.7,0,20,20
23395850,EEG & MEG,Other,,,45.2,4.6,46,33,79
16092132,PET,PET,18,35,,,0,11,11
19539034,fMRI,Functional MRI,50,65,58.1,4.3,20,9,29
22704853,fMRI,Functional MRI,,,39,9.2,20,0,22
28577979,fMRI,Functional MRI,64,77,71.44,3.585,26,1,27
21957237,fMRI,Functional MRI,19,36,,,25,23,48
12672965,fMRI,Functional MRI,19,27,23.4,,2,6,8
20189356,fMRI,Functional MRI,22,59,36,10.9,4,18,22
24905072,fMRI,Functional MRI,38,65,50.25,2.13,18,8,26
29440534,fMRI,Functional MRI,8,11,9.35,0.85,32,44,76
24906136,fMRI,Functional MRI,,,24,4,5,7,12
22131970,fMRI,Functional MRI,18,30,22.93,,32,35,67
15029467,fMRI,Functional MRI,20,29,23.5,,5,15,20
23968842,EEG,Other,,,34.55,11.5,34,29,63
18752396,fMRI,Functional MRI,22,31,25,,5,5,10
26241685,fMRI,Functional MRI,,,,,,,225
23818133,fMRI,Functional MRI,,,26.3,3.9,10,10,20
27722829,fMRI,Functional MRI,18,65,48.93,7.97,69,21,90
11306631,fMRI,Functional MRI,18,43,,,,,25
22553030,fMRI,Functional MRI,,,26.31,1.27,7,6,13
28128347,fMRI,Functional MRI,19,25,22,,14,19,33
24431448,MRI (VBM),Structural MRI,,,9.03,1.7,22,23,45
19151376,fMRI,Functional MRI,19,41,26.1,,14,10,24
22956672,fMRI,Functional MRI,,,29.78,7.785,0,60,60
18380676,fMRI,Functional MRI,,,24.5,5.3,10,11,21
19027762,fMRI,Functional MRI,20,33,25,,13,15,28
21305668,fMRI & PET (ALE),Other,19.9,32.3,23.3,2.96,,,1060
23805096,MRI (T1),Structural MRI,20,62,44.5,,3,18,21
28544994,fMRI,Functional MRI,19,24,,,0,33,33
