ORDER,NAME,CLASS,CATEGORY,TOKEN
0,Neurodevelopmental Disorders,DEVELOPMENTAL,INTELLECTUAL_DISABILITY,borderline_intellectual_functioning
0,Neurodevelopmental Disorders,DEVELOPMENTAL,INTELLECTUAL_DISABILITY,global_developmental_delay
0,Neurodevelopmental Disorders,DEVELOPMENTAL,INTELLECTUAL_DISABILITY,intellectual_developmental_disorder
0,Neurodevelopmental Disorders,DEVELOPMENTAL,INTELLECTUAL_DISABILITY,intellectual_disability
0,Neurodevelopmental Disorders,DEVELOPMENTAL,INTELLECTUAL_DISABILITY,unspecified_intellectual_developmental_disorder
0,Neurodevelopmental Disorders,DEVELOPMENTAL,INTELLECTUAL_DISABILITY,unspecified_intellectual_disability
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,childhood_onset_fluency_disorder
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,childhoodonset_fluency_disorder
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,language_disorder
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,pragmatic_communication_disorder
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,social_communication_disorder
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,specified_communication_disorder
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,speech_sound_disorder
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,stuttering
1,Neurodevelopmental Disorders,DEVELOPMENTAL,COMMUNICATION_DISORDER,unspecified_communication_disorder
2,Neurodevelopmental Disorders,DEVELOPMENTAL,AUTISM,asd
2,Neurodevelopmental Disorders,DEVELOPMENTAL,AUTISM,autism_spectrum_disorder
3,Neurodevelopmental Disorders,DEVELOPMENTAL,ADHD,adhd
3,Neurodevelopmental Disorders,DEVELOPMENTAL,ADHD,attention_deficithyperactivity_disorder
