ORDER,DOMAIN,CONSTRUCT,TOKEN,CONFIDENCE,SOURCE,DISTANCE
0,NEGATIVE_VALENCE,ACUTE_THREAT,acute_threat,1,RDoC,0.2604421854329677
0,NEGATIVE_VALENCE,ACUTE_THREAT,fear,1,RDoC,0.6804006491519459
0,NEGATIVE_VALENCE,ACUTE_THREAT,analgesia,0,RDoC,0.3869883992056047
0,NEGATIVE_VALENCE,ACUTE_THREAT,approach,0,RDoC,0.3792202515577716
0,NEGATIVE_VALENCE,ACUTE_THREAT,avoidance,0,RDoC,0.7236153378895177
0,NEGATIVE_VALENCE,ACUTE_THREAT,facial_expression,0,RDoC,0.386644053460514
0,NEGATIVE_VALENCE,ACUTE_THREAT,freezing,0,RDoC,0.4945543200331026
0,NEGATIVE_VALENCE,ACUTE_THREAT,open_field,0,RDoC,0.3434570013677254
0,NEGATIVE_VALENCE,ACUTE_THREAT,response_inhibition,0,RDoC,0.32917831579490775
0,NEGATIVE_VALENCE,ACUTE_THREAT,response_time,0,RDoC,0.26592106426443884
0,NEGATIVE_VALENCE,ACUTE_THREAT,risk_assessment,0,RDoC,0.3701727497150582
0,NEGATIVE_VALENCE,ACUTE_THREAT,social_approach,0,RDoC,0.5664048753348563
0,NEGATIVE_VALENCE,ACUTE_THREAT,threat,0,RDoC,0.7333311228183214
0,NEGATIVE_VALENCE,ACUTE_THREAT,behavioral_approach,0,RDoC,0.39189546242569506
0,NEGATIVE_VALENCE,ACUTE_THREAT,behavioral_approach_test,0,RDoC,0.2088619654293853
0,NEGATIVE_VALENCE,ACUTE_THREAT,co2_challenge,0,RDoC,0.17417853516414805
0,NEGATIVE_VALENCE,ACUTE_THREAT,co2_challenge_test,0,RDoC,
0,NEGATIVE_VALENCE,ACUTE_THREAT,cold_pressor,0,RDoC,0.4739267095197226
0,NEGATIVE_VALENCE,ACUTE_THREAT,cold_pressor_test,0,RDoC,0.40852983734445913
0,NEGATIVE_VALENCE,ACUTE_THREAT,fear_conditioning,0,RDoC,0.5286868330859595
0,NEGATIVE_VALENCE,ACUTE_THREAT,stranger,0,RDoC,0.36874759309595817
0,NEGATIVE_VALENCE,ACUTE_THREAT,stranger_test,0,RDoC,
0,NEGATIVE_VALENCE,ACUTE_THREAT,trier_social_stress,0,RDoC,0.16993859371792774
0,NEGATIVE_VALENCE,ACUTE_THREAT,trier_social_stress_test,0,RDoC,0.2980448922899881
0,NEGATIVE_VALENCE,ACUTE_THREAT,fear_survey,0,RDoC,
0,NEGATIVE_VALENCE,ACUTE_THREAT,fear_survey_schedule,0,RDoC,0.2266816130431617
0,NEGATIVE_VALENCE,ACUTE_THREAT,suds,0,RDoC,0.22839531594513507
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,anxiety,1,RDoC,0.6874086277875748
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,potential_threat,1,RDoC,0.5144245428385897
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,threat,0,RDoC,0.6560832937916682
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,npu_threat,0,RDoC,
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,npu_threat_task,0,RDoC,0.4215233765278221
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,anxiety_sensitivity_index,0,RDoC,0.5268054953975482
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,bis,0,RDoC,0.41442296597904227
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,fear,0,RDoC,0.6305308959897094
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,fear_negative_evaluation,0,RDoC,0.451896319979451
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,fear_negative_evaluation_scale,0,RDoC,0.4054073818305364
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,intolerance_uncertainty,0,RDoC,0.5454073861132398
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,intolerance_uncertainty_scale,0,RDoC,0.36977930117606017
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,leds,0,RDoC,0.049396408988611196
1,NEGATIVE_VALENCE,POTENTIAL_THREAT,uncertainty,0,RDoC,0.414070992658077
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,sustained_threat,1,RDoC,0.3819058630128127
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,anhedonia,0,RDoC,0.4743194576469174
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,anxious_arousal,0,RDoC,0.5622550633599558
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,attentional_bias,0,RDoC,0.5810058057540661
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,attentional_bias_threat,0,RDoC,0.5915397402066555
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,avoidance,0,RDoC,0.6436653171854387
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,conflict_detection,0,RDoC,0.26056706652099093
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,decreased_appetitive_behavior,0,RDoC,
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,decreased_libido,0,RDoC,0.09445580510466023
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,helplessness_behavior,0,RDoC,
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,increased_conflict_detection,0,RDoC,
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,increased_perseverative_behavior,0,RDoC,
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,memory_retrieval,0,RDoC,0.1109421884700329
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,memory_retrieval_deficit,0,RDoC,0.11181310000041678
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,punishment_sensitivity,0,RDoC,0.49050128583208974
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,threat,0,RDoC,0.5856945089904751
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,childhood_trauma,0,RDoC,0.5346117545572879
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,childhood_trauma_questionnaire,0,RDoC,0.3959679109671854
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,leds,0,RDoC,0.14647969452647702
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,risky_family,0,RDoC,0.25391005090982355
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,strain,0,RDoC,0.21221553158676343
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,tesi,0,RDoC,0.21522634223985193
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,youth_life_stress,0,RDoC,
2,NEGATIVE_VALENCE,SUSTAINED_THREAT,youth_life_stress_interview,0,RDoC,0.23991472770742772
3,NEGATIVE_VALENCE,LOSS,loss,1,RDoC,0.40061998767704843
3,NEGATIVE_VALENCE,LOSS,amotivation,0,RDoC,0.46432563453919884
