TERM,NOUN,TITLE
2ndorder_rule_acquisition,2ndorder_rule_acquisition,2nd-Order Rule Acquisition
2stage_decision_task,2stage_decision_task,2-Stage Decision Task
3d_object,3d_object,3D Object
abductive_reasoning,abductive_reasoning,Abductive Reasoning
abductive_reasoning_activity,abductive_reasoning_activity,Abductive Reasoning Activity
abductive_reasoning_function,abductive_reasoning_function,Abductive Reasoning Function
aberrant_behavior_checklist_community,aberrant_behavior_checklist_community,Aberrant Behavior Checklist (Community)
abstract_analogy,abstract_analogy,Abstract Analogy
abstract_concrete_judgment_bilingual,bilingual_abstract_concrete_judgment_bilingual,Bilingual Abstract Concrete Judgment
abstract_concrete_task,abstract_concrete_task,Abstract Concrete Task
abstract_judgment_bilingual,abstract_judgment_bilingual,Abstract Judgment Bilingual
abstract_knowledge,abstract_knowledge,Abstract Knowledge
abstract_pattern,abstract_pattern,Abstract Pattern
abstract_task,abstract_task,Abstract Task
abstractconcrete_judgment_bilingual,abstractconcrete_judgment_bilingual,Abstract-Concrete Judgment Bilingual
abstractconcrete_task,abstractconcrete_task,Abstract-Concrete Task
accelleration_stimulus_transduction,accelleration_stimulus_transduction,Accelleration Stimulus Transduction
acoustic_coding,acoustic_coding,Acoustic Coding
acoustic_encoding,acoustic_encoding,Acoustic Encoding
acoustic_phonetic_processing,acoustic_phonetic_processing,Acoustic Phonetic Processing
acoustic_processing,acoustic_processing,Acoustic Processing
acquired_equivalence,acquired_equivalence,Acquired Equivalence
action,action,Action
action_imitation_task,action_imitation_task,Action Imitation Task
action_initiation,action_initiation,Action Initiation
action_observation_paradigm,action_observation_paradigm,Action Observation Paradigm
action_observation_task,action_observation_task,Action Observation Task
action_perception,action_perception,Action Perception
actionperception_loop,actionperception_loop,Action-Perception Loop
active_maintenance,active_maintenance,Active Maintenance
active_recall,active_recall,Active Recall
active_retrieval,active_retrieval,Active Retrieval
acuity,acuity,Acuity
acupuncture,acupuncture,Acupuncture
acupuncture_paradigm,acupuncture_paradigm,Acupuncture Paradigm
acupuncture_task,acupuncture_task,Acupuncture Task
adaptation,adaptation,Adaptation
adaptation_marshmallow_test,adaptation_marshmallow_test,Adaptation Marshmallow Test
adaptive_control,adaptive_control,Adaptive Control
adaptive_nback_task,adaptive_nback_task,Adaptive N-Back Task
addiction,addiction,Addiction
adolescent_symptom_inventory,adolescent_symptom_inventory,Adolescent Symptom Inventory
adult_adhd_clinical_diagnostic_scale,adult_adhd_clinical_diagnostic_scale,Adult ADHD Clinical Diagnostic Scale
