CONSTRUCT_INDEX,DOMAIN_INDEX,CONSTRUCT_NAME,DOMAIN_NAME,DOMAIN,CONSTRUCT,DESCRIPTION,MOLECULES,CELLS,CIRCUITS,PHYSIOLOGY,BEHAVIOR,SELF_REPORT,PARADIGMS
1,1,ACUTE_THREAT,NEGATIVE_VALENCE,Negative Valence Systems,Acute Threat | Threat | Fear,"Activation of the brain's defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.",BDNF | CCK | Cortisol/Corticosterone | CRF family | Dopamine | Endogenous cannabinoids | FGF2 | GABA | Glutamate | Neuropeptide S | Neurosteroids | NMDAR | NPY | Orexin | Oxytocin | Serotonin | Vasopressin,GABAergic cells | Glia | Neurons | Pyramidal cells,autonomic nervous system | BasAmyg | Central Nucleus | d-hippocampus (post) | dmPFC (pl) | dorsal ACC | dPAG | Hypothalamus | ICMs | insular cortex | LatAmyg | latPFC/insula | LC | Medial Amyg | OFC | PAG | Pons | rostral/vent ACC | RPVM | v-hippocampus (ant) | vmPFC (il) | vPAG,BP | Context Startle | EMG | Eye Tracking | Facial EMG | Fear Potentiated Startle | Heart Rate | pupillometry | Respiration | Response accuracy | Skin Conductance,Analgesia | approach | Avoidance | Facial expressions | Freezing | Open field | Response inhibition | Response time | Risk assessment | Social approach,Fear survey schedule | SUDS,Behavioral Approach Test | CO2 Challenge Test | Cold Pressor Test | Fear conditioning | Stranger Tests | Trier Social Stress Test
2,1,POTENTIAL_THREAT,NEGATIVE_VALENCE,Negative Valence Systems,Potential Threat | Threat | Anxiety,"Activation of a brain system in which harm may potentially occur but is distant, ambiguous, or low/uncertain in probability, characterized by a pattern of responses such as enhanced risk assessment (vigilance). These responses to low imminence threats are qualitatively different than the high imminence threat behaviors that characterize fear.",Cortisol | CRF family,Pituitary cells,Bed nucleus of stria terminalis,ACTH | Average cortisol levels | Potentiated startle,,Anxiety Sensitivity Index | BIS | Fear of Negative Evaluation Scale | Intolerance of Uncertainty Scale | LEDS,NPU Threat Task
3,1,SUSTAINED_THREAT,NEGATIVE_VALENCE,Negative Valence Systems,Sustained Threat | Threat,"An aversive emotional state caused by prolonged (i.e., weeks to months) exposure to internal and/or external condition(s), state(s), or stimuli that are adaptive to escape or avoid. The exposure may be actual or anticipated; the changes in affect, cognition, physiology, and behavior caused by sustained threat persist in the absence of the threat, and can be differentiated from those changes evoked by acute threat.",ACTH | CRF | HPA-axis hormones,Hippocampal | Microglia | prefrontal,Attention network | Dysregulation of amygdala reactivity | Dysregulation of cingulate reactivity | Habit systems (Striatum/caudate/accumbens) | Hypothalamic nuclei | PVT | Vigilance network,Dysregulated HPA axis | Error-related negativity,Anhedonia | decreased appetitive behavior | Anxious Arousal | Attentional bias to threat | Avoidance | Decreased libido | Helplessness behavior | Increased conflict detection | Increased perseverative behavior | Memory retrieval deficits | Punishment sensitivity,Childhood Trauma Questionnaire | LEDS | Risky Families | STRAIN | TESI | Youth Life Stress Interview,
4,1,LOSS,NEGATIVE_VALENCE,Negative Valence Systems,Loss,"A state of deprivation of a motivationally significant con-specific, object, or situation. Loss may be social or non-social and may include permanent or sustained loss of shelter, behavioral control, status, loved ones, or relationships. The response to loss may be episodic (e.g., grief) or sustained.",Androgens | CRH | Estrogens | Glucocorticoid receptors | Inflammatory molecules | Oxytocin | Vasopressin,,Amygdala | Default mode network | DLPFC | Habit systems (Striatum/caudate/accumbens) | Hippocampus | Insula | Orbitofrontal cortex | Parietal cortex | Posterior cingulate | PVN | Reward circuitry | vmPFC,ANS | HPA | neuroimmune | Prolonged psychophysiological reactivity,Amotivation | Anhedonia | Attentional bias to negative valenced information | negative valenced information | Crying | Executive function | Guilt | Increased self-focus | Loss of drive | Loss-relevant recall bias | Morbid Thoughts | Psychomotor retardation | Rumination | Sadness | Shame | Withdrawal | Worry,LEDS | STRAIN,Sadness eliciting film clips
5,1,FRUSTRATIVE_NONREWARD,NEGATIVE_VALENCE,Negative Valence Systems,Frustrative Nonreward | Frustrative | Frustration | Nonreward,"Reactions elicited in response to withdrawal/prevention of reward, i.e., by the inability to obtain positive rewards following repeated or sustained efforts.",Dopamine | GABA | Glutamate | Serotonin | steroids | Vasopressin,,Amygdala | Hypothalamus | LC | OFC | PAG | parasympathetic system | Septum | striatum,,physical agression | relational aggression | aggression,Frustrative Nonreward Responsiveness Subscale | Questionnaire of Daily Frustrations | Daily Frustrations | Frustrations,Lab-TAB | PSAP
6,2,REWARD_ANTICIPATION,POSITIVE_VALENCE,Positive Valence Systems,Reward Responsiveness | Reward Anticipation | Anticipation | Reward,"Processes that govern an organism's hedonic response to impending or possible reward; across these subdomains, reward responsiveness primarily reflects neural activity to receipt of reward and reward cues and can also be measured in terms of subjective and behavioral responses. | Processes associated with the ability to anticipate and/or represent a future incentive as reflected in language expression, behavioral responses, and/or engagement of the neural systems to cues about a future positive reinforcer.",,,,,,,Monetary Incentive Delay
7,2,INITIAL_REWARD_RESPONSIVENESS,POSITIVE_VALENCE,Positive Valence Systems,Reward Responsiveness | Reward Responsiveness | Initial Response to Reward | Initial Response | Response to Reward | Reward Response | Response | Reward,"Processes that govern the receipt of reward (as reflected in initial response to reward); across these subdomains, reward responsiveness primarily reflects neural activity to receipt of reward and reward cues and can also be measured in terms of subjective and behavioral responses. | Processes evoked by the initial presentation of a positive reinforcer as reflected by indices of neuronal activity and verbal or behavioral responses.",CREB | Endocannabinoids | FosB | Glutamate | Mu and delta opioid | Orexin,,Anterior insula | dorsal ACC | Lateral hypothalamus | Medial OFC | Nucleus accumbens | Ventral pallidum | Ventromedial PFC | VTA,,Taste reactivity | Reactivity,Consummatory subscale of TEPS | TEPS Consummatory subscale | TEPS | PANAS state version | PANAS state | PANAS,Simple Guessing Task
8,2,REWARD_SATIATION,POSITIVE_VALENCE,Positive Valence Systems,Reward Responsiveness | Reward Satiation | Satiation | Reward,"Processes following repeated receipt of reward (as in reward satiation); across these subdomains, reward responsiveness primarily reflects neural activity to receipt of reward and reward cues and can also be measured in terms of subjective and behavioral responses. | Processes associated with the change in incentive value of a reinforcer over time as that reinforcer is consumed or experienced, as reflected in language expression, behavioral responses, and/or engagement of the neural systems.",,,,,,,Fixed-Ratio Satiation Schedule
9,2,REINFORCEMENT_LEARNING,POSITIVE_VALENCE,Positive Valence Systems,Reward Learning | Learning | Probabilistic Learning | Reinforcement Learning | Reward,"A process by which organisms acquire information about stimuli, actions, and contexts that predict positive outcomes, and by which behavior is modified when a novel reward occurs, or outcomes are better than expected. Reward learning is a type of reinforcement learning.",,,,,,,Drifting Double Bandit | Pavlovian conditioning | Probabilistic Reward Task | Probabilistic Stimulus Selection Task
10,2,REWARD_PREDICTION_ERROR,POSITIVE_VALENCE,Positive Valence Systems,Reward Learning | Learning | Reward Prediction Error | Prediction Error | Reward,Processes associated with the difference between anticipated and obtained rewards are important for reinforcement learning. The error can indicate that the reward received was either larger than expected (positive prediction error) or smaller than expected (negative prediction error).,Dopamine | Serotonin,,Amygdala | Basal ganglia | dorsal ACC | Lateral habenula | Orbitofrontal cortex | Rostral medial tegmentum | Substantia nigra/VTA | Ventral striatum,Cortical slow waves | Heart Rate Change | Skin Conductance,Goal tracking | Pavlovian approach | Reward-related speeding | Sign tracking,Affective forecasting | ASAM scale | Eating Expectancy Inventory | Generalized reward and punishment expectancy scale | generalized reward scale | punishment expectancy scale | Self-report of craving | TEPS anticipatory scale,Drifting Double Bandit | Rutledge Passive Lottery Task
