DOMAIN_NAME,CONSTRUCT_NAME,CONSTRUCT,DESCRIPTION,BEHAVIOR,SELF_REPORT,PARADIGMS
NEGATIVE_VALENCE,ACUTE_THREAT,"acute_threat, fear, threat","cognitive, fear, representation","analgesia, approach, avoidance, facial_expression, freezing, open_field, response_inhibition, response_time, risk_assessment, social_approach","fear_survey, fear_survey_schedule, suds","behavioral_approach, behavioral_approach_test, co2_challenge, co2_challenge_test, cold_pressor, cold_pressor_test, fear_conditioning, stranger, stranger_test, trier_social_stress, trier_social_stress_test"
NEGATIVE_VALENCE,POTENTIAL_THREAT,"anxiety, potential_threat, threat",,,"anxiety_sensitivity_index, bis, fear, fear_negative_evaluation, fear_negative_evaluation_scale, intolerance_uncertainty, intolerance_uncertainty_scale, leds, uncertainty","npu_threat, npu_threat_task"
NEGATIVE_VALENCE,SUSTAINED_THREAT,"sustained_threat, threat",,"anhedonia, anxious_arousal, attentional_bias, attentional_bias_threat, avoidance, conflict_detection, decreased_appetitive_behavior, decreased_libido, helplessness_behavior, increased_conflict_detection, increased_perseverative_behavior, memory_retrieval, memory_retrieval_deficit, punishment_sensitivity","childhood_trauma, childhood_trauma_questionnaire, leds, risky_family, strain, tesi, youth_life_stress, youth_life_stress_interview",
NEGATIVE_VALENCE,LOSS,loss,"grief, loss","amotivation, anhedonia, attentional_bias, attentional_bias_negative_valenced_information, cry, executive_function, guilt, increased_selffocus, loss, loss_drive, lossrelevant_recall_bias, morbid_thought, negative_valenced_information, psychomotor_retardation, rumination, sadness, shame, withdrawal, worry","leds, strain","film_clip, sadness_eliciting_film_clip"
NEGATIVE_VALENCE,FRUSTRATIVE_NONREWARD,"frustration, frustrative, frustrative_nonreward, nonreward",reward,"aggression, physical_agression, relational_aggression","daily_frustration, frustration, frustrative_nonreward_responsiveness, frustrative_nonreward_responsiveness_subscale, questionnaire_daily_frustration","labtab, psap"
POSITIVE_VALENCE,REWARD_ANTICIPATION,"anticipation, reward, reward_anticipation, reward_responsiveness","language, reward",,,monetary_incentive_delay
POSITIVE_VALENCE,INITIAL_REWARD_RESPONSIVENESS,"initial_response, initial_response_reward, response, response_reward, reward, reward_response, reward_responsiveness",reward,"reactivity, taste_reactivity","consummatory_subscale_teps, consummatory_teps, panas, panas_state, panas_state_version, teps, teps_consummatory, teps_consummatory_subscale","simple_guessing, simple_guessing_task"
POSITIVE_VALENCE,REWARD_SATIATION,"reward, reward_responsiveness, reward_satiation, satiation","language, reward",,,"fixedratio_satiation, fixedratio_satiation_schedule"
POSITIVE_VALENCE,REINFORCEMENT_LEARNING,"learning, probabilistic_learning, reinforcement_learning, reward, reward_learning","action, context, learning, reinforcement_learning, reward_learning",,,"drifting_double_bandit, pavlovian_conditioning, probabilistic_reward, probabilistic_reward_task, probabilistic_stimulus_selection, probabilistic_stimulus_selection_task"
POSITIVE_VALENCE,REWARD_PREDICTION_ERROR,"learning, prediction_error, reward, reward_learning, reward_prediction_error","reinforcement_learning, reward","goal_tracking, pavlovian_approach, rewardrelated_speeding, sign_tracking","affective_forecasting, asam, asam_scale, eating_expectancy, eating_expectancy_inventory, generalized_reward, generalized_reward_punishment_expectancy, generalized_reward_punishment_expectancy_scale, generalized_reward_scale, punishment_expectancy, punishment_expectancy_scale, reward, selfreport_craving, teps_anticipatory, teps_anticipatory_scale","drifting_double_bandit, rutledge_passive_lottery, rutledge_passive_lottery_task"
POSITIVE_VALENCE,HABIT,"habit, learning, reward, reward_learning","cognitive, habit, learning, reward, reward_learning","compulsive_behavior, repetitive_behavior, stereotypic_behavior","aberrant_behavior, aberrant_behavior_checklist, measure_repetitive_behavior","devaluation, devaluation_task, habit, habit_learning, habit_learning_task, habit_task"
POSITIVE_VALENCE,REWARD_PROBABILITY,"probability, reward, reward_probability, reward_valuation, valuation","reward_valuation, salience, social_context, valence",,,"probability_choice, probability_choice_task, willingness_pay, willingness_pay_task"
POSITIVE_VALENCE,DELAY,"delay, delayed_reward, reward, reward_valuation, valuation","reward_valuation, salience, social_context",,,delay_discounting
POSITIVE_VALENCE,EFFORT,"effort, reward, reward_valuation, valuation","cognitive, cognitive_effort, physical, reward_valuation, salience, social_context",,"behavioral_activation, behavioral_activation_drive, behavioral_activation_scale, behavioral_activation_scale_drive","eefrt, eefrt_task"
COGNITIVE_SYSTEMS,ATTENTION,attention,"capacity_limitation, competition, concept, divided_attention","ant_distractibility, ant_task_distractibility, attentional_lapse, distractibility, feature_attention, object_attention, psychophysics, spatial_attention, sustained_attention",,"attentional_blink, blocked_channelselection, blocked_channelselection_task, capture, capture_paradigm, dichotic_listening, distraction, distraction_paradigm, dual_paradigm, dual_task, dual_task_paradigm, frequency_domain_analysis, intermodal_selective_attention, nonspatial_cuing, nonspatial_cuing_paradigm, psychological_refractory_period, psychological_refractory_period_paradigm, selective_attention, spatial_cuing, spatial_cuing_paradigm, timeseries_response_time, visual_search"
COGNITIVE_SYSTEMS,VISUAL_PERCEPTION,"perception, visual, visual_perception",representation,"discrimination, identification, localization, perceptual_learning, perceptual_priming, reading, stimulus_detection, visual_acuity","perceptual_anomaly, perceptual_anomaly_schizophrenia_depression","actionperception_loop, backward_masking, biological_motion_processing, bistability, coherent_motion, contour_integration, contour_interpolation, contrast_sensitivity, cross_modality, cross_modality_paradigm, emotion_expression_identification, face_identification, figure_ground, lateral_facilitation, local_computation, motion_processing, multistability, nonlocal_property_image, object_perception, object_recognition, parallel_search, perceptual_closure, perceptual_organization, reading, reentrant_processing, representation, representation_external_object, retinotopic_representation, serial_search, transformation_beyond_retinotopic_representation, vernier_discrimination, visual_illusion, visual_illusion_susceptibility"
COGNITIVE_SYSTEMS,AUDITORY_PERCEPTION,"auditory, auditory_perception, perception",representation,"perceptual_identification, perceptual_learning, perceptual_priming, spatial_localization, stimulus_detection","auditory_hallucination, hyperacusis","actionperception_loop, auditory_masking, auditory_scene, auditory_scene_perception, auditory_streaming, bistability, categorization, change_detection, crossmodal_interaction, detection, detection_speech, detection_speech_noise, deviance_detection, gating, inhibitory_control, jnd, jnd_task, manipulation, manipulation_intensity, manipulation_isi, mcgurk, multisensory_mcgurk, noise, novelty_detection, object_perception, oddball_detection, regularity_detection, samedifferent, samedifferent_task, selfmonitoring, speech, speech_detection, tone_detection, tone_matching"
COGNITIVE_SYSTEMS,OTHER_PERCEPTION,"multimodal, multimodal_perception, olfactory, olfactory_perception, perception, somatosensory, somatosensory_perception",representation,,,"manipulation, manipulation_intensity, manipulation_isi, smell_identification"
