,PMID,SPLIT,DOMAIN,OBSERVED
0,8805836,discovery,MEMORY,0.9993379074465704
1,8893004,discovery,MEMORY,1.0092767404974108
2,9108115,discovery,MEMORY,1.1313847354021658
3,9412517,discovery,MEMORY,1.245565935862267
4,9430507,discovery,MEMORY,1.0452980440390598
5,9740761,discovery,MEMORY,1.1105981175187098
6,10195224,discovery,MEMORY,1.3227859954956371
7,10220229,discovery,MEMORY,1.0526959010747583
8,10318979,discovery,MEMORY,0.9726971822812581
9,10355673,discovery,MEMORY,1.0947483575052104
10,10468630,discovery,MEMORY,1.1342971002761078
11,10594068,discovery,MEMORY,1.0071251541786335
12,10600999,discovery,MEMORY,1.1248417077044626
13,10639399,discovery,MEMORY,1.0752927387538689
14,10643726,discovery,MEMORY,0.9886547578024546
15,10683827,discovery,MEMORY,1.1174210541556224
16,10694462,discovery,MEMORY,1.0934398234688716
17,10858628,discovery,MEMORY,1.045793770014641
18,10869585,discovery,MEMORY,1.197724174972377
19,10978709,discovery,MEMORY,0.9509394512951799
20,11172070,discovery,MEMORY,0.9660717644675462
21,11239901,discovery,MEMORY,1.2589357285472218
22,11276236,discovery,MEMORY,1.0567751105549599
23,11353732,discovery,MEMORY,1.1047275448546694
24,11493699,discovery,MEMORY,1.0664793528762426
25,11522264,discovery,MEMORY,1.059495379622978
26,11856537,discovery,MEMORY,1.0528380015333971
27,11906703,discovery,MEMORY,1.173009093181995
28,12145327,discovery,MEMORY,1.1233083654228333
29,12395388,discovery,MEMORY,0.9978643873644534
30,12401549,discovery,MEMORY,1.090022244459359
31,12450947,discovery,MEMORY,1.032213785337255
32,12454910,discovery,MEMORY,0.956343420738402
33,12507690,discovery,MEMORY,1.1688267754793482
34,12566286,discovery,MEMORY,0.9731771666026248
35,12595193,discovery,MEMORY,1.0242041346095503
36,12667843,discovery,MEMORY,1.1246397901207121
37,12742672,discovery,MEMORY,1.1147437618576903
38,12757906,discovery,MEMORY,1.05971171783727
39,12821520,discovery,MEMORY,1.1653189634102346
40,12873392,discovery,MEMORY,1.1352893169966558
41,12880813,discovery,MEMORY,1.0599104013358163
42,12880904,discovery,MEMORY,1.0693151234509315
43,14527566,discovery,MEMORY,1.0477824865070187
44,14531584,discovery,MEMORY,1.1475055814693136
45,14585491,discovery,MEMORY,1.1037169919902545
46,14625149,discovery,MEMORY,1.1482427366983852
47,14643096,discovery,MEMORY,1.0923869576017802
48,14741673,discovery,MEMORY,1.1131569306986342
49,14758364,discovery,MEMORY,1.2434974282288043
50,14980569,discovery,MEMORY,1.1057355660678851
51,15038994,discovery,MEMORY,1.2014528735748293
52,15050549,discovery,MEMORY,1.038009830452643
53,15084488,discovery,MEMORY,1.0984804710382057
54,15157428,discovery,MEMORY,1.0108802523633873
55,15169855,discovery,MEMORY,1.0005834189127818
56,15193617,discovery,MEMORY,0.9192160558608796
57,15246451,discovery,MEMORY,1.037609398314075
58,15275919,discovery,MEMORY,0.8848223721616844
59,15473974,discovery,MEMORY,1.083786902885995
60,15477872,discovery,MEMORY,1.0658899465195433
61,15488301,discovery,MEMORY,1.098660397038849
62,15488397,discovery,MEMORY,1.0995624103514732
63,15525806,discovery,MEMORY,1.1638687711234323
64,15528087,discovery,MEMORY,1.1216666208968258
65,15589112,discovery,MEMORY,1.103228999661094
66,15597038,discovery,MEMORY,1.0657443896389365
67,15597043,discovery,MEMORY,1.2376194970272887
68,15627581,discovery,MEMORY,1.0152173629163337
69,15664795,discovery,MEMORY,1.0609504764910114
70,15691520,discovery,MEMORY,1.0889845578483437
71,15701221,discovery,MEMORY,1.019192936805977
72,15721179,discovery,MEMORY,0.9997785879430015
73,15737660,discovery,MEMORY,1.1783125554346046
74,15850721,discovery,MEMORY,1.0754415782249545
75,15927485,discovery,MEMORY,1.2785798487134623
76,15935262,discovery,MEMORY,1.0165162530728666
77,15993537,discovery,MEMORY,1.1256193675692885
78,16044172,discovery,MEMORY,1.1204117817890007
79,16046064,discovery,MEMORY,1.08687272492081
80,16051501,discovery,MEMORY,1.1689446237644765
81,16154603,discovery,MEMORY,1.0386774601584414
82,16226349,discovery,MEMORY,0.992816510200185
83,16246595,discovery,MEMORY,1.1453421041555654
84,16251504,discovery,MEMORY,1.0210696354496003
85,16300967,discovery,MEMORY,1.0124594731257452
86,16303318,discovery,MEMORY,0.9297041821900004
87,16339042,discovery,MEMORY,1.175549650527012
88,16377154,discovery,MEMORY,1.2916748718678828
89,16399218,discovery,MEMORY,1.1558145494375636
90,16412236,discovery,MEMORY,1.1643546760265966
91,16414281,discovery,MEMORY,0.9647657203793151
92,16458860,discovery,MEMORY,0.9922586589878156
93,16460693,discovery,MEMORY,1.039549334787954
94,16460697,discovery,MEMORY,1.1936184299563521
95,16487943,discovery,MEMORY,1.1681201144219484
96,16510734,discovery,MEMORY,0.998860549803954
97,16551984,discovery,MEMORY,1.035421103969562
98,16581168,discovery,MEMORY,1.1434917824615032
99,16640486,discovery,MEMORY,1.0339400193356367
100,16704749,discovery,MEMORY,0.9385181693986893
101,16725214,discovery,MEMORY,1.081969822724887
102,16859420,discovery,MEMORY,0.9359047037707643
103,16880131,discovery,MEMORY,1.1338239968838073
104,16899037,discovery,MEMORY,0.9992183392674309
105,16942757,discovery,MEMORY,1.104789396736989
106,16957073,discovery,MEMORY,0.9740632708579892
107,16963565,discovery,MEMORY,1.2710515385890677
108,16979268,discovery,MEMORY,1.039538698295388
109,17042790,discovery,MEMORY,0.9850872126962548
110,17126910,discovery,MEMORY,1.112873134207058
111,17182226,discovery,MEMORY,1.0239679217994322
112,17204823,discovery,MEMORY,1.020772254322667
113,17211439,discovery,MEMORY,1.08409738507546
114,17217927,discovery,MEMORY,1.0371749255774816
115,17251241,discovery,MEMORY,1.1238233329531782
116,17280522,discovery,MEMORY,1.070431950945673
117,17288648,discovery,MEMORY,1.0017961345626
118,17306771,discovery,MEMORY,1.0788006036046434
119,17339967,discovery,MEMORY,1.0164620325577354
120,17376704,discovery,MEMORY,1.1078132597099308
121,17390317,discovery,MEMORY,0.9459732301710587
122,17399959,discovery,MEMORY,1.047714746455702
123,17408704,discovery,MEMORY,1.156051590344804
124,17434455,discovery,MEMORY,1.1275492592351182
125,17525984,discovery,MEMORY,1.1462576979525736
126,17543896,discovery,MEMORY,0.9685140901883946
127,17581532,discovery,MEMORY,1.0334039516290352
128,17604009,discovery,MEMORY,1.1271654936005304
129,17604351,discovery,MEMORY,1.2559783677009249
130,17644222,discovery,MEMORY,1.0579008449014096
131,17676059,discovery,MEMORY,1.0266158732763384
132,17712410,discovery,MEMORY,1.0934781186576388
133,17767510,discovery,MEMORY,1.1286558633585084
134,17905600,discovery,MEMORY,1.0527977226211214
135,17915264,discovery,MEMORY,1.0317793353019868
136,17964185,discovery,MEMORY,1.0251481751963658
137,17967171,discovery,MEMORY,1.0602692217506564
138,17993209,discovery,MEMORY,1.2585776555500459
139,18039046,discovery,MEMORY,1.1065489161654298
140,18181882,discovery,MEMORY,1.1195303069361948
141,18207298,discovery,MEMORY,1.0565152939632567
142,18256251,discovery,MEMORY,1.0302123148867037
143,18261930,discovery,MEMORY,1.05426557249699
144,18295746,discovery,MEMORY,1.1251635281536336
145,18308706,discovery,MEMORY,1.0290130100387471
146,18308711,discovery,MEMORY,1.0704151187285789
147,18310578,discovery,MEMORY,1.0406656673078203
148,18321537,discovery,MEMORY,1.0548969180304333
149,18323572,discovery,MEMORY,0.9169485709027847
150,18374902,discovery,MEMORY,1.0950671565713648
151,18375529,discovery,MEMORY,1.0106319456563961
152,18385483,discovery,MEMORY,1.1212908654428575
153,18445024,discovery,MEMORY,1.156958967272473
154,18455740,discovery,MEMORY,1.0173115599678457
155,18479717,discovery,MEMORY,1.2244105576254667
156,18486975,discovery,MEMORY,1.0826061504785989
157,18490926,discovery,MEMORY,1.192665910689097
158,18564045,discovery,MEMORY,1.0957542906070352
159,18675364,discovery,MEMORY,1.0670881134229182
160,18760691,discovery,MEMORY,0.9802651897498285
161,18786570,discovery,MEMORY,0.9464574711615427
162,18823232,discovery,MEMORY,1.1514692973159468
163,18838100,discovery,MEMORY,1.119979074172487
164,18854439,discovery,MEMORY,1.0024772007972274
165,18855557,discovery,MEMORY,1.0333204774006939
166,18922517,discovery,MEMORY,1.0287665833493054
167,18950748,discovery,MEMORY,1.0485392801344886
168,19000769,discovery,MEMORY,1.0367375732536235
169,19008895,discovery,MEMORY,1.0659558678416776
170,19036981,discovery,MEMORY,1.1811246754875429
171,19058793,discovery,MEMORY,1.0575190440963471
172,19061904,discovery,MEMORY,1.0510121468036138
173,19071144,discovery,MEMORY,1.0912939481685215
174,19126572,discovery,MEMORY,0.9960643154763273
175,19128945,discovery,MEMORY,1.0417875879327891
176,19129391,discovery,MEMORY,0.9722144443094196
177,19151375,discovery,MEMORY,1.0364701648574624
178,19162206,discovery,MEMORY,1.0563563939474385
179,19190042,discovery,MEMORY,1.1362481384724867
180,19232481,discovery,MEMORY,1.2037861654969078
181,19250707,discovery,MEMORY,1.0270114782197906
182,19270690,discovery,MEMORY,0.9409404756843864
183,19349235,discovery,MEMORY,1.1044615959132604
184,19351572,discovery,MEMORY,1.0606809462104518
185,19383503,discovery,MEMORY,0.893347665958554
186,19386635,discovery,MEMORY,1.1283930167530836
187,19386910,discovery,MEMORY,0.9839846611025693
188,19427530,discovery,MEMORY,1.1843583606402988
189,19501653,discovery,MEMORY,1.0168390568279457
190,19538748,discovery,MEMORY,0.9544121530525601
191,19556348,discovery,MEMORY,1.1727279678341718
192,19560133,discovery,MEMORY,1.1743687902130189
193,19606493,discovery,MEMORY,1.069235984032356
194,19632208,discovery,MEMORY,1.0836232595747035
195,19641623,discovery,MEMORY,1.1115747627650834
196,19645904,discovery,MEMORY,1.0987376158352946
197,19650816,discovery,MEMORY,1.0619102896475026
198,19679112,discovery,MEMORY,0.9469535544039048
199,19748076,discovery,MEMORY,1.127119949362847
200,19786107,discovery,MEMORY,1.2449944044801302
201,19803684,discovery,MEMORY,1.1284291792432928
202,19826083,discovery,MEMORY,0.9582981467943317
203,19833484,discovery,MEMORY,1.152690661836662
204,19878929,discovery,MEMORY,1.0798163866526944
205,19904802,discovery,MEMORY,1.1522307520876123
206,19940176,discovery,MEMORY,1.077609023397589
207,19945471,discovery,MEMORY,1.030152952931639
208,19948228,discovery,MEMORY,1.0418064739508996
209,20007783,discovery,MEMORY,1.2118626280909839
210,20018180,discovery,MEMORY,1.0515664278419392
211,20036336,discovery,MEMORY,1.043911306271991
212,20060911,discovery,MEMORY,1.1515733235042949
213,20089812,discovery,MEMORY,1.0971274470104184
214,20097294,discovery,MEMORY,0.9312769580468269
215,20123031,discovery,MEMORY,1.0624664427758952
216,20132802,discovery,MEMORY,0.9690031697828424
217,20147540,discovery,MEMORY,0.9342923616911666
218,20154013,discovery,MEMORY,1.027783814427131
219,20156568,discovery,MEMORY,1.151633536387965
220,20157009,discovery,MEMORY,1.2323105475308034
221,20227458,discovery,MEMORY,1.1217894300379703
222,20368706,discovery,MEMORY,1.180219783844316
223,20420766,discovery,MEMORY,0.9613750743668746
224,20452398,discovery,MEMORY,1.0408023579159225
225,20463193,discovery,MEMORY,1.071382287775637
226,20471139,discovery,MEMORY,0.9493172556291762
227,20483373,discovery,MEMORY,1.0975573072494822
228,20483375,discovery,MEMORY,1.0110323287650234
229,20484643,discovery,MEMORY,1.1775257925220068
230,20510373,discovery,MEMORY,1.0716798076921783
231,20521852,discovery,MEMORY,0.9467865303384314
232,20525743,discovery,MEMORY,1.0673669363164258
233,20542121,discovery,MEMORY,1.1392512048195147
234,20572197,discovery,MEMORY,1.0414593461674548
235,20599362,discovery,MEMORY,1.0555100942064848
236,20620024,discovery,MEMORY,1.03590999693772
237,20634303,discovery,MEMORY,1.032857800402479
238,20637290,discovery,MEMORY,1.1941166611356668
239,20668196,discovery,MEMORY,1.0439349290886917
240,20688877,discovery,MEMORY,1.1334215459217256
241,20702070,discovery,MEMORY,0.9885942310117884
242,20703221,discovery,MEMORY,1.078913371230178
243,20708906,discovery,MEMORY,1.0339945618633717
244,20804848,discovery,MEMORY,0.9555547357247038
245,20807058,discovery,MEMORY,1.1432044123393517
246,20809213,discovery,MEMORY,1.143691332339249
247,20820793,discovery,MEMORY,1.096056986669332
248,20864126,discovery,MEMORY,1.0713749137969009
249,20932721,discovery,MEMORY,1.041156317604185
250,20957158,discovery,MEMORY,0.9388887370631586
251,20974213,discovery,MEMORY,0.9944715809525498
252,21050725,discovery,MEMORY,1.0602049511950977
253,21078303,discovery,MEMORY,1.1323743725801438
254,21088708,discovery,MEMORY,1.009558597259564
255,21130141,discovery,MEMORY,1.148438290039129
256,21159973,discovery,MEMORY,1.1065941182149035
257,21168512,discovery,MEMORY,1.0340751661716467
258,21220074,discovery,MEMORY,1.1095852613082657
259,21259387,discovery,MEMORY,1.0821587052182582
260,21264651,discovery,MEMORY,0.9472077385347829
261,21284912,discovery,MEMORY,1.041645976614331
262,21330468,discovery,MEMORY,1.0318537357692175
263,21334445,discovery,MEMORY,0.9896046999494053
264,21335014,discovery,MEMORY,0.8694539169578241
265,21356267,discovery,MEMORY,1.2110769125966072
266,21382385,discovery,MEMORY,1.0479609941342922
267,21406159,discovery,MEMORY,1.0802012595660129
268,21425397,discovery,MEMORY,0.9966127020285767
269,21436048,discovery,MEMORY,1.082055731013447
270,21484952,discovery,MEMORY,1.059604238104388
271,21494597,discovery,MEMORY,1.0264639052744002
272,21531077,discovery,MEMORY,1.1255384427769073
273,21531384,discovery,MEMORY,1.0092060032458032
274,21546094,discovery,MEMORY,1.0681858417012269
275,21568639,discovery,MEMORY,0.8956717566771613
276,21589884,discovery,MEMORY,1.0970710861710913
277,21609969,discovery,MEMORY,0.9947027808431275
278,21621549,discovery,MEMORY,1.1596866764771432
279,21677175,discovery,MEMORY,1.0802258692632947
280,21677186,discovery,MEMORY,0.9792726250588071
281,21683723,discovery,MEMORY,1.01951598286962
282,21697388,discovery,MEMORY,1.0635872420943606
283,21722740,discovery,MEMORY,1.122632371845725
284,21764567,discovery,MEMORY,1.0491923518734891
285,21768385,discovery,MEMORY,1.1057651727318862
