,PMID,SPLIT,DOMAIN,OBSERVED
0,10195224,discovery,MEMORY,1.3237435941522604
1,10220229,discovery,MEMORY,1.0469463025097787
2,10355673,discovery,MEMORY,1.078657951810773
3,10468630,discovery,MEMORY,1.142970812545667
4,10594068,discovery,MEMORY,1.0041977735169252
5,10600999,discovery,MEMORY,1.1248100191894703
6,10643726,discovery,MEMORY,0.9894421396111146
7,10683827,discovery,MEMORY,1.1076753182233179
8,10694462,discovery,MEMORY,1.0806363842711058
9,10869585,discovery,MEMORY,1.1858543446025542
10,10959525,discovery,MEMORY,0.978895031299234
11,11172070,discovery,MEMORY,0.958219175447556
12,11239901,discovery,MEMORY,1.2688068019666394
13,11276236,discovery,MEMORY,1.0594636111131754
14,11353732,discovery,MEMORY,1.0999933908409831
15,11522264,discovery,MEMORY,1.0374477865255107
16,11848693,discovery,MEMORY,1.0229997743525858
17,11856537,discovery,MEMORY,1.0422518497754258
18,11906703,discovery,MEMORY,1.2024060908442942
19,11983183,discovery,MEMORY,1.081834386546713
20,12145327,discovery,MEMORY,1.1076991893283723
21,12395388,discovery,MEMORY,0.9749629203927539
22,12401549,discovery,MEMORY,1.0548880192083423
23,12427683,discovery,MEMORY,0.9743366449266895
24,12454910,discovery,MEMORY,0.9299315650736995
25,12507690,discovery,MEMORY,1.1610040897442149
26,12566286,discovery,MEMORY,0.955282652733466
27,12571116,discovery,MEMORY,0.9833893446518116
28,12595193,discovery,MEMORY,1.0195492530179273
29,12757906,discovery,MEMORY,1.0498408793150524
30,12821520,discovery,MEMORY,1.1628876758483129
31,12873392,discovery,MEMORY,1.1507979594224376
32,12880813,discovery,MEMORY,1.051982958194272
33,12880904,discovery,MEMORY,1.0710638621919826
34,13679414,discovery,MEMORY,1.0564008185796874
35,14531584,discovery,MEMORY,1.138158939120121
36,14585491,discovery,MEMORY,1.0849811313320923
37,14625149,discovery,MEMORY,1.145938246672751
38,14643096,discovery,MEMORY,1.0760804003899973
39,14741673,discovery,MEMORY,1.1086134714049005
40,14758364,discovery,MEMORY,1.2453870148521264
