,PMID,SPLIT,DOMAIN,OBSERVED
0,10200303,discovery,NEGATIVE_VALENCE,1.0730483117302663
1,10204547,discovery,NEGATIVE_VALENCE,1.0896482317660083
2,10208571,discovery,NEGATIVE_VALENCE,1.1324560595071411
3,10220461,discovery,NEGATIVE_VALENCE,1.1135262052864998
4,10318979,discovery,NEGATIVE_VALENCE,1.0507128509943569
5,10332889,discovery,NEGATIVE_VALENCE,1.0557443498758177
6,10450253,discovery,NEGATIVE_VALENCE,1.0528232809783888
7,10459394,discovery,NEGATIVE_VALENCE,1.0784011804221678
8,10459395,discovery,NEGATIVE_VALENCE,1.0520209090351929
9,10468363,discovery,NEGATIVE_VALENCE,1.0535405814972894
10,10468630,discovery,NEGATIVE_VALENCE,1.0645128300616842
11,10471848,discovery,NEGATIVE_VALENCE,1.0257918308215312
12,10496688,discovery,NEGATIVE_VALENCE,1.0389466003956462
13,10594068,discovery,NEGATIVE_VALENCE,1.1121552595041482
14,10632617,discovery,NEGATIVE_VALENCE,1.0506426346720656
15,10643726,discovery,NEGATIVE_VALENCE,1.1075698698840075
16,10771415,discovery,NEGATIVE_VALENCE,1.04989459174011
17,10867223,discovery,NEGATIVE_VALENCE,1.011532190789778
18,10869585,discovery,NEGATIVE_VALENCE,1.1241567817430949
19,10913506,discovery,NEGATIVE_VALENCE,1.0413072294135368
20,10959525,discovery,NEGATIVE_VALENCE,1.1005041912725493
21,11017179,discovery,NEGATIVE_VALENCE,1.1300062517447127
22,11027238,discovery,NEGATIVE_VALENCE,1.0406284277123978
23,11034866,discovery,NEGATIVE_VALENCE,1.0339659388818772
24,11058474,discovery,NEGATIVE_VALENCE,1.038122427745085
25,11062324,discovery,NEGATIVE_VALENCE,1.0144216485111135
26,11063978,discovery,NEGATIVE_VALENCE,1.037072666120705
27,11169872,discovery,NEGATIVE_VALENCE,1.0755391451616234
28,11172070,discovery,NEGATIVE_VALENCE,1.1708239037777368
29,11172071,discovery,NEGATIVE_VALENCE,1.1055399127760153
30,11194410,discovery,NEGATIVE_VALENCE,1.0210180719760424
31,11231095,discovery,NEGATIVE_VALENCE,0.9721551501251003
32,11239442,discovery,NEGATIVE_VALENCE,1.0174967771989825
33,11248000,discovery,NEGATIVE_VALENCE,1.0937363070772732
34,11276236,discovery,NEGATIVE_VALENCE,1.0350641248824368
