CLUSTER,STRUCTURE
1,left_postcentral_gyrus
1,left_precentral_gyrus
1,left_superior_parietal_lobule
1,left_supplementary_motor_cortex
1,left_supramarginal_gyrus_anterior_division
1,left_supramarginal_gyrus_posterior_division
1,right_postcentral_gyrus
1,right_supramarginal_gyrus_anterior_division
2,right_subcallosal_cortex
3,left_frontal_orbital_cortex
3,left_frontal_pole
3,left_paracingulate_gyrus
3,right_frontal_pole
4,left_inferior_temporal_gyrus_temporooccipital_part
4,left_lateral_occipital_cortex_inferior_division
4,left_lingual_gyrus
4,left_occipital_fusiform_gyrus
4,left_occipital_pole
4,left_temporal_occipital_fusiform_cortex
4,right_inferior_temporal_gyrus_temporooccipital_part
4,right_lateral_occipital_cortex_inferior_division
4,right_occipital_fusiform_gyrus
4,right_occipital_pole
4,right_temporal_occipital_fusiform_cortex
5,left_middle_temporal_gyrus_anterior_division
5,left_middle_temporal_gyrus_posterior_division
5,left_middle_temporal_gyrus_temporooccipital_part
5,left_superior_temporal_gyrus_anterior_division
5,left_superior_temporal_gyrus_posterior_division
6,left_insular_cortex
6,right_frontal_operculum_cortex
6,right_frontal_orbital_cortex
6,right_inferior_frontal_gyrus_pars_triangularis
6,right_insular_cortex
6,right_temporal_pole
7,left_angular_gyrus
7,left_lateral_occipital_cortex_superior_division
7,left_precuneous_cortex
7,right_angular_gyrus
7,right_lateral_occipital_cortex_superior_division
7,right_middle_temporal_gyrus_temporooccipital_part
7,right_precuneous_cortex
7,right_superior_parietal_lobule
7,right_supramarginal_gyrus_posterior_division
8,right_middle_temporal_gyrus_anterior_division
8,right_middle_temporal_gyrus_posterior_division
8,right_superior_temporal_gyrus_anterior_division
8,right_superior_temporal_gyrus_posterior_division
9,left_amygdala
9,left_hippocampus
9,left_parahippocampal_gyrus_anterior_division
9,left_parahippocampal_gyrus_posterior_division
9,right_hippocampus
10,right_inferior_temporal_gyrus_posterior_division
10,right_parahippocampal_gyrus_posterior_division
10,right_temporal_fusiform_cortex_posterior_division
11,left_brainstem
11,right_brainstem
12,left_pallidum
12,left_putamen
12,right_pallidum
12,right_putamen
13,left_cingulate_gyrus_anterior_division
13,left_cingulate_gyrus_posterior_division
13,left_superior_frontal_gyrus
13,right_cingulate_gyrus_anterior_division
13,right_cingulate_gyrus_posterior_division
13,right_inferior_frontal_gyrus_pars_opercularis
13,right_middle_frontal_gyrus
13,right_paracingulate_gyrus
13,right_precentral_gyrus
13,right_superior_frontal_gyrus
13,right_supplementary_motor_cortex
14,left_caudate
14,right_caudate
15,left_frontal_medial_cortex
15,left_subcallosal_cortex
15,right_frontal_medial_cortex
16,left_frontal_operculum_cortex
16,left_inferior_frontal_gyrus_pars_opercularis
16,left_inferior_frontal_gyrus_pars_triangularis
16,left_middle_frontal_gyrus
17,left_inferior_temporal_gyrus_anterior_division
17,left_temporal_fusiform_cortex_anterior_division
18,left_inferior_temporal_gyrus_posterior_division
18,left_temporal_fusiform_cortex_posterior_division
19,right_cuneal_cortex
19,right_intracalcarine_cortex
19,right_lingual_gyrus
19,right_supracalcarine_cortex
20,right_accumbens
21,left_thalamus
21,right_thalamus
22,right_amygdala
22,right_parahippocampal_gyrus_anterior_division
23,left_central_opercular_cortex
23,right_central_opercular_cortex
23,right_heschls_gyrus
23,right_parietal_operculum_cortex
23,right_planum_polare
23,right_planum_temporale
24,left_heschls_gyrus
24,left_parietal_operculum_cortex
24,left_planum_polare
24,left_planum_temporale
25,right_inferior_temporal_gyrus_anterior_division
25,right_temporal_fusiform_cortex_anterior_division
26,left_cuneal_cortex
26,left_intracalcarine_cortex
26,left_supracalcarine_cortex
27,left_accumbens
28,left_cerebellum
28,right_cerebellum
29,left_temporal_pole
