,k,FORWARD_ROC_AUC,REVERSE_ROC_AUC
0,2,0.5,0.544467181026624
1,3,0.5,0.5197054066626213
2,4,0.5,0.5177318943267112
3,5,0.5400053297933786,0.5356947314107744
4,6,0.5148414379315018,0.518129359144469
5,7,0.5395401642221673,0.5297429181291459
6,8,0.5354112449798965,0.5319780008687842
7,9,0.5238222295513211,0.5497335133027969
8,10,0.5207446587900016,0.5388767819729139
9,11,0.5175068295324184,0.5367233328603174
10,12,0.5229552008830832,0.5475556568066478
11,13,0.518475740153355,0.5238311024088972
12,14,0.5109760644448287,0.5525202540695453
13,15,0.5281235260789788,0.5437175105520065
14,16,0.5313882027611032,0.5456265885046414
15,17,0.5343424432832101,0.54584471029951
16,18,0.5298524811705468,0.5419646323835335
17,19,0.5318030938754128,0.5593387680893571
18,20,0.5211757533746579,0.544365398331718
19,21,0.5253513140556053,0.5462955157205481
20,22,0.5312000833255631,0.5562962774121689
21,23,0.5258668380522343,0.5454166887796483
22,24,0.527571725376168,0.5518294078767111
23,25,0.5264175334174488,0.554884196271175
24,26,0.5258412105579232,0.5503086153420046
25,27,0.5276981056326473,0.5572501583256168
26,28,0.5264228218578634,0.5563842472732536
27,29,0.5306558919664582,0.5507091791901417
28,30,0.5247920702340639,0.5525139533648705
29,31,0.5217132159422306,0.5482434061515553
30,32,0.5220681768279897,0.5479217073975573
31,33,0.5257812730091429,0.5491031951516314
32,34,0.5271554165441018,0.5528937448679635
33,35,0.5245714297397458,0.549766651205045
34,36,0.5300280212887349,0.556952514715451
35,37,0.5249111728946996,0.5583372154505692
36,38,0.5249267533581452,0.5523308201805763
37,39,0.52445322021273,0.5603101663354534
38,40,0.5262194675067283,0.5598725288416967
39,41,0.5260687013901432,0.5524134766026152
40,42,0.5229880265791285,0.5551793443108414
41,43,0.5273435239506308,0.5585867112886791
42,44,0.5267359579309105,0.5577978331123143
43,45,0.527103788664724,0.5573900169077514
44,46,0.5230035043035134,0.5591800852673078
45,47,0.5245599068423443,0.5609179537929587
46,48,0.5259414558557532,0.5558852087372639
47,49,0.5214321006144182,0.5646916529182407
48,50,0.5232601121692283,0.5635144298465189
49,51,0.5291022947652235,0.55903868225151
50,52,0.5273967647891369,0.5590259978530566
51,53,0.5247729949739326,0.5592376963281414
52,54,0.5242174214204978,0.5604811472890003
53,55,0.5252696756822319,0.5626149405215873
54,56,0.5265005421099155,0.5565275444037026
55,57,0.5268835377386814,0.5580423072855476
