ORDER,DOMAIN,TOKEN,SOURCE,DISTANCE
0,NEGATIVE_VALENCE,aggression,RDoC,0.6559338431818637
1,NEGATIVE_VALENCE,aggressive,Lexicon,0.5943434164036587
2,NEGATIVE_VALENCE,agitated,Lexicon,0.2523938691484462
3,NEGATIVE_VALENCE,anger,Lexicon,0.672395654252306
4,NEGATIVE_VALENCE,angry,Lexicon,0.5070705225399864
5,NEGATIVE_VALENCE,anxiety,RDoC,0.7302094456726453
6,NEGATIVE_VALENCE,anxiety_disorder,Lexicon,0.4889141902520966
7,NEGATIVE_VALENCE,anxious,Lexicon,0.7053644176714795
8,NEGATIVE_VALENCE,appetite,Lexicon,0.3293282398648878
9,NEGATIVE_VALENCE,ashamed,Lexicon,0.09001203503055688
10,NEGATIVE_VALENCE,assaultive,Lexicon,0.2696843079117216
11,NEGATIVE_VALENCE,attack,Lexicon,0.32690358338156067
12,NEGATIVE_VALENCE,avoidance,RDoC,0.7782970834226555
13,NEGATIVE_VALENCE,avoidant,Lexicon,0.5551442393118079
14,NEGATIVE_VALENCE,blue,Lexicon,0.13931459981404504
15,NEGATIVE_VALENCE,calm,Lexicon,0.3381336474779961
16,NEGATIVE_VALENCE,chest,Lexicon,0.11516534286716229
17,NEGATIVE_VALENCE,chest_pain,Lexicon,
18,NEGATIVE_VALENCE,chill,Lexicon,0.2706788361869057
19,NEGATIVE_VALENCE,constricted,Lexicon,0.13423231167674987
20,NEGATIVE_VALENCE,depressed,Lexicon,0.38079991399191204
21,NEGATIVE_VALENCE,depressed_mood,Lexicon,
22,NEGATIVE_VALENCE,depressive,Lexicon,0.47974053267795336
23,NEGATIVE_VALENCE,depressive_disorder,Lexicon,0.33666126396204343
24,NEGATIVE_VALENCE,diaphoretic,Lexicon,
25,NEGATIVE_VALENCE,diarrhea,Lexicon,0.1442552891975334
26,NEGATIVE_VALENCE,difficulty,Lexicon,0.3538697641686017
27,NEGATIVE_VALENCE,down,Lexicon,-0.02388187554885901
28,NEGATIVE_VALENCE,dysphoric,Lexicon,0.510071686290133
29,NEGATIVE_VALENCE,dysthymic,Lexicon,0.17740871215679688
30,NEGATIVE_VALENCE,emotional,Lexicon,0.5525407520124
31,NEGATIVE_VALENCE,energy,Lexicon,0.12441183968905045
32,NEGATIVE_VALENCE,fatigue,Lexicon,0.43509890287084607
33,NEGATIVE_VALENCE,fearful,Lexicon,0.4962722559736078
34,NEGATIVE_VALENCE,feelings,Lexicon,
35,NEGATIVE_VALENCE,fever,Lexicon,0.17354290532014993
