,MEMORY,REWARD,COGNITION,VISION,MANIPULATION,LANGUAGE
left_frontal_pole,0.0,0.0,0.06464832231175044,0.0,0.0,0.0
left_insular_cortex,0.0,0.0,0.03387998494311925,0.0,0.0,0.0
left_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.07564885318473258,0.0
left_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.07744023880239512,0.0
left_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.02544250901952085,0.0,0.0,0.0
left_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.0,0.0,0.0,0.0
left_precentral_gyrus,0.0,0.0,0.0,0.0,0.11268012419290789,0.0
left_temporal_pole,0.0,0.0,0.0,0.0,0.0,0.0
left_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.388773119034515
left_superior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.3103872773783538
left_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.3080684479834282
left_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.2923730679566659
left_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.1279299264461358,0.0,0.0
left_inferior_temporal_gyrus_anterior_division,0.18277383708399395,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.14748208500012694,0.0,0.0
left_inferior_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.18822783953039868,0.0,0.0
left_postcentral_gyrus,0.0,0.0,0.0,0.0,0.1704702956447922,0.0
left_superior_parietal_lobule,0.0,0.0,0.0,0.0,0.19020540634206032,0.0
left_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.16613167109187915,0.0
left_supramarginal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.07835748285523976,0.0
left_angular_gyrus,0.0,0.0,0.0,0.0,0.0558913629730599,0.0
left_lateral_occipital_cortex_superior_division,0.0,0.0,0.0,0.0,0.06247569105365518,0.0
left_lateral_occipital_cortex_inferior_division,0.0,0.0,0.0,0.13979098728896633,0.0,0.0
left_intracalcarine_cortex,0.0,0.0,0.0,0.08248069409035279,0.0,0.0
left_frontal_medial_cortex,0.0,0.2941401542072285,0.0,0.0,0.0,0.0
left_supplementary_motor_cortex,0.0,0.0,0.0,0.0,0.17475246040965883,0.0
left_subcallosal_cortex,0.0,0.5521334411390102,0.0,0.0,0.0,0.0
left_paracingulate_gyrus,0.0,0.0,0.07324762837779164,0.0,0.0,0.0
left_cingulate_gyrus_anterior_division,0.0,0.0,0.06012326300783493,0.0,0.0,0.0
left_cingulate_gyrus_posterior_division,0.0,0.0,0.05003732451809149,0.0,0.0,0.0
left_precuneous_cortex,0.0,0.0,0.0,0.0,0.02861049364993856,0.0
left_cuneal_cortex,0.0,0.0,0.0,0.07923389839295317,0.0,0.0
left_frontal_orbital_cortex,0.0,0.0,0.044510456295143726,0.0,0.0,0.0
left_parahippocampal_gyrus_anterior_division,0.36166417966389125,0.0,0.0,0.0,0.0,0.0
left_parahippocampal_gyrus_posterior_division,0.25639236722980663,0.0,0.0,0.0,0.0,0.0
left_lingual_gyrus,0.0,0.0,0.0,0.1003909583850717,0.0,0.0
left_temporal_fusiform_cortex_anterior_division,0.25792335486409795,0.0,0.0,0.0,0.0,0.0
left_temporal_fusiform_cortex_posterior_division,0.0,0.0,0.0,0.17633970516671607,0.0,0.0
left_temporal_occipital_fusiform_cortex,0.0,0.0,0.0,0.17586114930788266,0.0,0.0
left_occipital_fusiform_gyrus,0.0,0.0,0.0,0.14406682785320318,0.0,0.0
left_frontal_operculum_cortex,0.0,0.0,0.011108828625479593,0.0,0.0,0.0
left_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,0.1539747759656032
left_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.2097550766314145
left_planum_polare,0.0,0.0,0.0,0.0,0.0,0.3353172463495806
left_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,0.385502974968871
left_planum_temporale,0.0,0.0,0.0,0.0,0.0,0.3223724486359305
left_supracalcarine_cortex,0.0,0.0,0.0,0.06714616093888418,0.0,0.0
left_occipital_pole,0.0,0.0,0.0,0.13358799646382016,0.0,0.0
left_thalamus,0.0,0.18140388207687996,0.0,0.0,0.0,0.0
left_caudate,0.0,0.4156445800760837,0.0,0.0,0.0,0.0
left_putamen,0.0,0.34556614658255436,0.0,0.0,0.0,0.0
left_pallidum,0.0,0.33235304748276173,0.0,0.0,0.0,0.0
left_hippocampus,0.3189715961747737,0.0,0.0,0.0,0.0,0.0
left_amygdala,0.4083784906812199,0.0,0.0,0.0,0.0,0.0
left_accumbens,0.0,0.7753878536396013,0.0,0.0,0.0,0.0
left_brainstem,0.0,0.29369736959972415,0.0,0.0,0.0,0.0
left_cerebellar_lobules,0.0,0.0,0.0,0.0,0.07704286228334098,0.0
left_cerebellar_crus,0.0,0.0,0.0,0.0,0.09936459212679696,0.0
left_cerebellar_vermis,0.0,0.0,0.0,0.0,0.17387877877530308,0.0
right_frontal_pole,0.0,0.0,0.07558057328932681,0.0,0.0,0.0
right_insular_cortex,0.0,0.0,0.05441697443206759,0.0,0.0,0.0
right_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.08919695330668276,0.0
right_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.10115284835927517,0.0
right_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.04389676800985899,0.0,0.0,0.0
right_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.0,0.0,0.07819368365877775,0.0
right_precentral_gyrus,0.0,0.0,0.0,0.0,0.12400395666147378,0.0
right_temporal_pole,0.0,0.0,0.022966750988961455,0.0,0.0,0.0
right_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.33952434375533713
right_superior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.2766542934334401
right_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.2704996459830759
right_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.26750616539216276
right_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.08489697511495202,0.0,0.0
right_inferior_temporal_gyrus_anterior_division,0.2269422265575912,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_posterior_division,0.20886749470245541,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.16800186478397683,0.0,0.0
right_postcentral_gyrus,0.0,0.0,0.0,0.0,0.15483714887721853,0.0
right_superior_parietal_lobule,0.0,0.0,0.0,0.0,0.20621435983097644,0.0
right_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.19183417933157051,0.0
right_supramarginal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.11598342724400088,0.0
right_angular_gyrus,0.0,0.0,0.0,0.0,0.09756519715453972,0.0
right_lateral_occipital_cortex_superior_division,0.0,0.0,0.0,0.0,0.07398978681403731,0.0
right_lateral_occipital_cortex_inferior_division,0.0,0.0,0.0,0.1253576954305415,0.0,0.0
right_intracalcarine_cortex,0.0,0.0,0.0,0.0802480972628485,0.0,0.0
right_frontal_medial_cortex,0.0,0.33368809289147294,0.0,0.0,0.0,0.0
right_supplementary_motor_cortex,0.0,0.0,0.0,0.0,0.18876453723161637,0.0
right_subcallosal_cortex,0.0,0.5315432640119591,0.0,0.0,0.0,0.0
right_paracingulate_gyrus,0.0,0.0,0.08276675441277889,0.0,0.0,0.0
right_cingulate_gyrus_anterior_division,0.0,0.0,0.0756203752786784,0.0,0.0,0.0
right_cingulate_gyrus_posterior_division,0.0,0.0,0.05229131458071443,0.0,0.0,0.0
right_precuneous_cortex,0.0,0.0,0.0,0.0,0.040383298138906266,0.0
right_cuneal_cortex,0.0,0.0,0.0,0.060355529776834206,0.0,0.0
right_frontal_orbital_cortex,0.0,0.0,0.0696957962779394,0.0,0.0,0.0
right_parahippocampal_gyrus_anterior_division,0.37467264888896445,0.0,0.0,0.0,0.0,0.0
right_parahippocampal_gyrus_posterior_division,0.26974293166944,0.0,0.0,0.0,0.0,0.0
right_lingual_gyrus,0.0,0.0,0.0,0.08375373963998493,0.0,0.0
right_temporal_fusiform_cortex_anterior_division,0.3089140600948073,0.0,0.0,0.0,0.0,0.0
right_temporal_fusiform_cortex_posterior_division,0.25011090080307385,0.0,0.0,0.0,0.0,0.0
right_temporal_occipital_fusiform_cortex,0.0,0.0,0.0,0.16592762668669547,0.0,0.0
right_occipital_fusiform_gyrus,0.0,0.0,0.0,0.12776756826174204,0.0,0.0
right_frontal_operculum_cortex,0.0,0.0,0.05107054341878153,0.0,0.0,0.0
right_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,0.0766690709721082
right_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.09492665133695506
right_planum_polare,0.0,0.0,0.0,0.0,0.0,0.19930910965384555
right_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,0.33182004180399344
right_planum_temporale,0.0,0.0,0.0,0.0,0.0,0.23976295990967023
right_supracalcarine_cortex,0.0,0.0,0.0,0.06830005580303937,0.0,0.0
right_occipital_pole,0.0,0.0,0.0,0.12107009178310367,0.0,0.0
right_thalamus,0.0,0.23358750680658744,0.0,0.0,0.0,0.0
right_caudate,0.0,0.42083675954531813,0.0,0.0,0.0,0.0
right_putamen,0.0,0.40587750396960676,0.0,0.0,0.0,0.0
right_pallidum,0.0,0.3994313254277234,0.0,0.0,0.0,0.0
right_hippocampus,0.33350901981299347,0.0,0.0,0.0,0.0,0.0
right_amygdala,0.40751344409480966,0.0,0.0,0.0,0.0,0.0
right_accumbens,0.0,0.7361403532711639,0.0,0.0,0.0,0.0
right_brainstem,0.0,0.3243695379759809,0.0,0.0,0.0,0.0
right_cerebellar_lobules,0.0,0.0,0.0,0.0,0.09492955758345416,0.0
right_cerebellar_crus,0.0,0.0,0.0,0.0,0.05604181843627275,0.0
right_cerebellar_vermis,0.0,0.0,0.0,0.0,0.19217672765238414,0.0
