,MEMORY,REWARD,COGNITION,VISION,MANIPULATION,LANGUAGE
left_frontal_pole,0.0,0.0,0.055313840335188456,0.0,0.0,0.0
left_insular_cortex,0.0,0.0,0.035942426229349074,0.0,0.0,0.0
left_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.07249483869368674,0.0
left_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.07767210150701573,0.0
left_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.02936336881900692,0.0,0.0,0.0
left_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.01122158904443288,0.0,0.0,0.0
left_precentral_gyrus,0.0,0.0,0.0,0.0,0.10996136048324986,0.0
left_temporal_pole,0.0,0.0,0.0,0.0,0.0,0.0
left_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.40103977349837977
left_superior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.3216306480324603
left_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.3201517770780123
left_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.30715187006721695
left_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.11682337873591542,0.0,0.0
left_inferior_temporal_gyrus_anterior_division,0.19774385209000728,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.15624273056142993,0.0,0.0
left_inferior_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.20076629017553202,0.0,0.0
left_postcentral_gyrus,0.0,0.0,0.0,0.0,0.15878919481172016,0.0
left_superior_parietal_lobule,0.0,0.0,0.0,0.0,0.1781145348379926,0.0
left_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.15221234531023875,0.0
left_supramarginal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.07644863645052054,0.0
left_angular_gyrus,0.0,0.0,0.0,0.0,0.05599659599681272,0.0
left_lateral_occipital_cortex_superior_division,0.0,0.0,0.0,0.0,0.06133630261569687,0.0
left_lateral_occipital_cortex_inferior_division,0.0,0.0,0.0,0.14303146133167738,0.0,0.0
left_intracalcarine_cortex,0.0,0.0,0.0,0.09904081291169126,0.0,0.0
left_frontal_medial_cortex,0.0,0.2514153804014656,0.0,0.0,0.0,0.0
left_supplementary_motor_cortex,0.0,0.0,0.0,0.0,0.16215693880756987,0.0
left_subcallosal_cortex,0.0,0.48493622453237295,0.0,0.0,0.0,0.0
left_paracingulate_gyrus,0.0,0.0,0.07008642762621507,0.0,0.0,0.0
left_cingulate_gyrus_anterior_division,0.0,0.0,0.06304080439017008,0.0,0.0,0.0
left_cingulate_gyrus_posterior_division,0.0,0.0,0.031239445900036994,0.0,0.0,0.0
left_precuneous_cortex,0.0,0.0,0.0,0.0,0.030214220625392765,0.0
left_cuneal_cortex,0.0,0.0,0.0,0.09657011378883551,0.0,0.0
left_frontal_orbital_cortex,0.0,0.0,0.03681788598546923,0.0,0.0,0.0
left_parahippocampal_gyrus_anterior_division,0.3473809167042541,0.0,0.0,0.0,0.0,0.0
left_parahippocampal_gyrus_posterior_division,0.23111851157444976,0.0,0.0,0.0,0.0,0.0
left_lingual_gyrus,0.0,0.0,0.0,0.11638244060982861,0.0,0.0
left_temporal_fusiform_cortex_anterior_division,0.2667781179034583,0.0,0.0,0.0,0.0,0.0
left_temporal_fusiform_cortex_posterior_division,0.0,0.0,0.0,0.2055453618655772,0.0,0.0
left_temporal_occipital_fusiform_cortex,0.0,0.0,0.0,0.18849497110918492,0.0,0.0
left_occipital_fusiform_gyrus,0.0,0.0,0.0,0.14307453324373334,0.0,0.0
left_frontal_operculum_cortex,0.0,0.0,0.017156898675229515,0.0,0.0,0.0
left_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,0.1496104845550664
left_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.20691763343178582
left_planum_polare,0.0,0.0,0.0,0.0,0.0,0.33291502297135855
left_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,0.38530809040240244
left_planum_temporale,0.0,0.0,0.0,0.0,0.0,0.32619073635868495
left_supracalcarine_cortex,0.0,0.0,0.0,0.09303417211649419,0.0,0.0
left_occipital_pole,0.0,0.0,0.0,0.14687253758622446,0.0,0.0
left_thalamus,0.0,0.14415778054418704,0.0,0.0,0.0,0.0
left_caudate,0.0,0.35797959384795364,0.0,0.0,0.0,0.0
left_putamen,0.0,0.28173770974962475,0.0,0.0,0.0,0.0
left_pallidum,0.0,0.2664498722978241,0.0,0.0,0.0,0.0
left_hippocampus,0.29572531319125916,0.0,0.0,0.0,0.0,0.0
left_amygdala,0.38378473088811754,0.0,0.0,0.0,0.0,0.0
left_accumbens,0.0,0.675647430412329,0.0,0.0,0.0,0.0
left_brainstem,0.0,0.24610351602855604,0.0,0.0,0.0,0.0
left_cerebellar_lobules,0.0,0.0,0.0,0.0,0.06641484293303175,0.0
left_cerebellar_crus,0.0,0.0,0.0,0.0,0.08481844270787657,0.0
left_cerebellar_vermis,0.0,0.0,0.0,0.0,0.1675573402588212,0.0
right_frontal_pole,0.0,0.0,0.06792222332862682,0.0,0.0,0.0
right_insular_cortex,0.0,0.0,0.0583460083376633,0.0,0.0,0.0
right_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.08235947551250015,0.0
right_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.09556768645381057,0.0
right_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.045358613906753345,0.0,0.0,0.0
right_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.0,0.0,0.06467745556043818,0.0
right_precentral_gyrus,0.0,0.0,0.0,0.0,0.11430570060705764,0.0
right_temporal_pole,0.0,0.0,0.012351073643557524,0.0,0.0,0.0
right_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.34513704144305485
right_superior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.2812478515463931
right_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.27551115698180295
right_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.2742774521676067
right_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.09616447061838135,0.0,0.0
right_inferior_temporal_gyrus_anterior_division,0.22358087603025087,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_posterior_division,0.18930867774285184,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.20862394794937403,0.0,0.0
right_postcentral_gyrus,0.0,0.0,0.0,0.0,0.141452152832382,0.0
right_superior_parietal_lobule,0.0,0.0,0.0,0.0,0.1880683268597432,0.0
right_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.16728474744192848,0.0
right_supramarginal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.10128314544495588,0.0
right_angular_gyrus,0.0,0.0,0.0,0.0,0.08679239826481802,0.0
right_lateral_occipital_cortex_superior_division,0.0,0.0,0.0,0.0,0.06820521536595917,0.0
right_lateral_occipital_cortex_inferior_division,0.0,0.0,0.0,0.1427238505260852,0.0,0.0
right_intracalcarine_cortex,0.0,0.0,0.0,0.10020573547793538,0.0,0.0
right_frontal_medial_cortex,0.0,0.2765259517128886,0.0,0.0,0.0,0.0
right_supplementary_motor_cortex,0.0,0.0,0.0,0.0,0.16798548933066562,0.0
right_subcallosal_cortex,0.0,0.45365791214427303,0.0,0.0,0.0,0.0
right_paracingulate_gyrus,0.0,0.0,0.07852744393413637,0.0,0.0,0.0
right_cingulate_gyrus_anterior_division,0.0,0.0,0.07704963189038701,0.0,0.0,0.0
right_cingulate_gyrus_posterior_division,0.0,0.0,0.03880206841017631,0.0,0.0,0.0
right_precuneous_cortex,0.0,0.0,0.0,0.0,0.036094718315321545,0.0
right_cuneal_cortex,0.0,0.0,0.0,0.08869266777581372,0.0,0.0
right_frontal_orbital_cortex,0.0,0.0,0.06831542348865932,0.0,0.0,0.0
right_parahippocampal_gyrus_anterior_division,0.34819811455550304,0.0,0.0,0.0,0.0,0.0
right_parahippocampal_gyrus_posterior_division,0.24680973401637618,0.0,0.0,0.0,0.0,0.0
right_lingual_gyrus,0.0,0.0,0.0,0.10965809571109898,0.0,0.0
right_temporal_fusiform_cortex_anterior_division,0.29768695553323016,0.0,0.0,0.0,0.0,0.0
right_temporal_fusiform_cortex_posterior_division,0.22338999680579122,0.0,0.0,0.0,0.0,0.0
