,MEMORY,EMOTION,INFERENCE,COGNITION,VISION,LANGUAGE
left_frontal_pole,0.0,0.08984008464454502,0.0,0.0669352392921645,0.0,0.0
left_insular_cortex,0.0,0.10517737396597285,0.0,0.033548223911265294,0.0,0.0
left_superior_frontal_gyrus,0.0,0.0,0.0,0.0662233294056165,0.0,0.0
left_middle_frontal_gyrus,0.0,0.0,0.018725238022847628,0.06895109927724735,0.0,0.04013830810575842
left_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.04585532701965692,0.04222847031128326,0.0,0.15102837763645635
left_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.038012279821376026,0.03844094261168775,0.0,0.14753041261684444
left_precentral_gyrus,0.0,0.0,0.0,0.039691382072503674,0.07783152797334669,0.045637855755836766
left_temporal_pole,0.0,0.15385352345098594,0.0,0.0,0.0,0.11363237456435868
left_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0734694476783075,0.0,0.0,0.31526655800985487
left_superior_temporal_gyrus_posterior_division,0.0,0.0,0.04372580373039265,0.0,0.0,0.25675843980116003
left_middle_temporal_gyrus_anterior_division,0.09083497904879494,0.0,0.08182085463403958,0.0,0.0,0.27859017158225197
left_middle_temporal_gyrus_posterior_division,0.0,0.0,0.06566339186560002,0.0,0.0,0.27952008000128287
left_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.06188748340469508,0.0,0.03413488292212652,0.1936659960783876
left_inferior_temporal_gyrus_anterior_division,0.20134544210623959,0.0,0.08097691479315032,0.0,0.0,0.17687314171679014
left_inferior_temporal_gyrus_posterior_division,0.13927167256289957,0.0,0.0636573514574414,0.0,0.0,0.19853104626709017
left_inferior_temporal_gyrus_temporooccipital_part,0.08041034462793882,0.0,0.037490282535365356,0.0,0.0544835704735544,0.13333300432171225
left_postcentral_gyrus,0.0,0.0,0.0,0.021747415064719333,0.1753080909091932,0.0
left_superior_parietal_lobule,0.0,0.0,0.0,0.08098535108582154,0.1641150530902448,0.0
left_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.04552733831915958,0.1580224469699836,0.0
left_supramarginal_gyrus_posterior_division,0.0,0.0,0.025573385323629915,0.025604748554927698,0.0677831102751886,0.09096261100726723
left_angular_gyrus,0.0,0.0,0.03413014400964457,0.03589141744150518,0.02717997289671291,0.07583487228838738
left_lateral_occipital_cortex_superior_division,0.0,0.0,0.015114974396411697,0.027760986038178524,0.07178890882354191,0.0
left_lateral_occipital_cortex_inferior_division,0.0,0.0,0.020843659970501475,0.0,0.11434185725874209,0.04885345899911045
left_intracalcarine_cortex,0.0885383904096578,0.0,0.0,0.0,0.0,0.0
left_frontal_medial_cortex,0.0,0.3433217614452583,0.0,0.0,0.0,0.0
left_supplementary_motor_cortex,0.0,0.0,0.0,0.07582333094877695,0.12711317768220007,0.0
left_subcallosal_cortex,0.0,0.4863707076598449,0.0,0.0,0.0,0.0
left_paracingulate_gyrus,0.0,0.08352592456884643,0.0,0.08047025033233467,0.0,0.0
left_cingulate_gyrus_anterior_division,0.0,0.10341594113696953,0.0,0.09289622318044365,0.0,0.0
left_cingulate_gyrus_posterior_division,0.13061377860414636,0.05555781080728848,0.0,0.0,0.0,0.0
left_precuneous_cortex,0.06889450178459476,0.0,0.0,0.04146779637754509,0.0,0.0
left_cuneal_cortex,0.09172821777431535,0.0,0.0,0.0,0.05725284149905845,0.0
left_frontal_orbital_cortex,0.0,0.10141633777524177,0.01870605347357916,0.0,0.0,0.0670928494651886
left_parahippocampal_gyrus_anterior_division,0.2906798749095897,0.3278172445926982,0.0,0.0,0.0,0.0
left_parahippocampal_gyrus_posterior_division,0.38425109779628563,0.0,0.0,0.0,0.0,0.0
left_lingual_gyrus,0.11152649790593305,0.0,0.0,0.0,0.04852990347521422,0.0
left_temporal_fusiform_cortex_anterior_division,0.34025779281105023,0.0,0.0,0.0,0.0,0.14436771174715035
left_temporal_fusiform_cortex_posterior_division,0.2211150457349868,0.0,0.030806743167184347,0.0,0.0,0.09668012973022647
left_temporal_occipital_fusiform_cortex,0.09263808420046311,0.0,0.028166097516018205,0.0,0.0645726538668054,0.09005936110719477
left_occipital_fusiform_gyrus,0.0,0.0,0.0,0.0,0.11830729494893295,0.03905644009113251
left_frontal_operculum_cortex,0.0,0.0,0.031006933792115946,0.0,0.0,0.14484758571512812
