,DEPRESSIVE,ANXIETY,TRAUMA_STRESSOR,OBSESSIVE_COMPULSIVE,DISRUPTIVE,SUBSTANCE,DEVELOPMENTAL,PSYCHOTIC,BIPOLAR
left_frontal_pole,0.021060526894364214,0.0,0.0,0.0,0.08788685730706683,0.0,0.0,0.0,0.0
left_insular_cortex,0.0,0.0501114485702377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06674768018245826,0.0
left_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.0,0.0,0.0,0.0,0.05553865655439415,0.09012867707517977,0.0
left_precentral_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_pole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0804907937114844,0.0,0.0
left_superior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.10219273699923907,0.08268258073616702,0.0
left_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.10005459204002057,0.08347615268243487,0.0
left_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.0,0.0,0.0,0.17063807619082383,0.0,0.0
left_inferior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.0,0.0,0.0,0.17570167079162619,0.0,0.0
left_postcentral_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.05301442753410076,0.0,0.0
left_superior_parietal_lobule,0.0,0.0,0.0,0.0,0.0,0.0,0.11514627133874519,0.0,0.0
left_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0909039385728818,0.07489479841392867,0.0
left_supramarginal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.12456700308170206,0.05736871448517546,0.0
left_angular_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.12379865882569291,0.0,0.0
left_lateral_occipital_cortex_superior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.06041916377377641,0.0,0.0
left_lateral_occipital_cortex_inferior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.10658419564949598,0.0,0.0
left_intracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_frontal_medial_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_supplementary_motor_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.06394599239036755,0.0,0.0
left_subcallosal_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_paracingulate_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_cingulate_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_cingulate_gyrus_posterior_division,0.03342917107774013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_precuneous_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577257452037466
left_cuneal_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_frontal_orbital_cortex,0.0,0.047578457513798474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_parahippocampal_gyrus_anterior_division,0.0,0.17533518411122856,0.24606998841645106,0.0,0.0,0.0,0.0,0.0,0.0812995263606093
left_parahippocampal_gyrus_posterior_division,0.0,0.0,0.13870907488923945,0.0,0.0,0.0,0.0,0.0,0.0
left_lingual_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_fusiform_cortex_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_fusiform_cortex_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_occipital_fusiform_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.11903713599655114,0.0,0.0
left_occipital_fusiform_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.09571652383067955,0.0,0.0
left_frontal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.06633584855427901,0.0,0.0
left_planum_polare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_planum_temporale,0.0,0.0,0.0,0.0,0.0,0.0,0.08020852173434691,0.09099577934260017,0.0
left_supracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_occipital_pole,0.0,0.0,0.0,0.0,0.0,0.0,0.06876284959935229,0.0,0.0
left_thalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_caudate,0.0,0.0,0.0,0.20189416365939106,0.17760543269843979,0.0,0.0,0.0,0.0
left_putamen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_pallidum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_hippocampus,0.0,0.16884214256609967,0.2108383551153114,0.0,0.0,0.0,0.0,0.0,0.0
left_amygdala,0.0,0.3221123567781472,0.3911704000384982,0.0,0.0,0.0,0.0,0.0,0.0
left_accumbens,0.0,0.0,0.0,0.0,0.33946588325871274,0.2296117196119856,0.0,0.0,0.0
left_brainstem,0.0,0.0,0.22838983934290172,0.0,0.0,0.0,0.0,0.0,0.0
left_cerebellar_lobules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_cerebellar_crus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_cerebellar_vermis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_frontal_pole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03169073252889183
right_insular_cortex,0.0,0.0,0.0,0.10045651692027735,0.0,0.0,0.0,0.0,0.0
right_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08612328084433672,0.0
