DOMAIN,CLUSTER,STRUCTURE,TITLE
VISION,1,left_cuneal_cortex,Vision
VISION,1,left_inferior_temporal_gyrus_posterior_division,Vision
VISION,1,left_inferior_temporal_gyrus_temporooccipital_part,Vision
VISION,1,left_intracalcarine_cortex,Vision
VISION,1,left_lateral_occipital_cortex_inferior_division,Vision
VISION,1,left_lingual_gyrus,Vision
VISION,1,left_middle_temporal_gyrus_temporooccipital_part,Vision
VISION,1,left_occipital_fusiform_gyrus,Vision
VISION,1,left_occipital_pole,Vision
VISION,1,left_supracalcarine_cortex,Vision
VISION,1,left_temporal_fusiform_cortex_posterior_division,Vision
VISION,1,left_temporal_occipital_fusiform_cortex,Vision
VISION,1,right_cuneal_cortex,Vision
VISION,1,right_inferior_temporal_gyrus_temporooccipital_part,Vision
VISION,1,right_intracalcarine_cortex,Vision
VISION,1,right_lateral_occipital_cortex_inferior_division,Vision
VISION,1,right_lingual_gyrus,Vision
VISION,1,right_middle_temporal_gyrus_temporooccipital_part,Vision
VISION,1,right_occipital_fusiform_gyrus,Vision
VISION,1,right_occipital_pole,Vision
VISION,1,right_supracalcarine_cortex,Vision
VISION,1,right_temporal_occipital_fusiform_cortex,Vision
LANGUAGE,2,left_central_opercular_cortex,Language
LANGUAGE,2,left_heschls_gyrus,Language
LANGUAGE,2,left_middle_temporal_gyrus_anterior_division,Language
LANGUAGE,2,left_middle_temporal_gyrus_posterior_division,Language
LANGUAGE,2,left_parietal_operculum_cortex,Language
LANGUAGE,2,left_planum_polare,Language
LANGUAGE,2,left_planum_temporale,Language
LANGUAGE,2,left_superior_temporal_gyrus_anterior_division,Language
LANGUAGE,2,left_superior_temporal_gyrus_posterior_division,Language
LANGUAGE,2,right_central_opercular_cortex,Language
LANGUAGE,2,right_heschls_gyrus,Language
LANGUAGE,2,right_middle_temporal_gyrus_anterior_division,Language
LANGUAGE,2,right_middle_temporal_gyrus_posterior_division,Language
LANGUAGE,2,right_parietal_operculum_cortex,Language
LANGUAGE,2,right_planum_polare,Language
LANGUAGE,2,right_planum_temporale,Language
LANGUAGE,2,right_superior_temporal_gyrus_anterior_division,Language
LANGUAGE,2,right_superior_temporal_gyrus_posterior_division,Language
MANIPULATION,3,left_angular_gyrus,Manipulation
MANIPULATION,3,left_cerebellar_crus,Manipulation
MANIPULATION,3,left_cerebellar_lobules,Manipulation
MANIPULATION,3,left_cerebellar_vermis,Manipulation
MANIPULATION,3,left_lateral_occipital_cortex_superior_division,Manipulation
MANIPULATION,3,left_middle_frontal_gyrus,Manipulation
MANIPULATION,3,left_postcentral_gyrus,Manipulation
MANIPULATION,3,left_precentral_gyrus,Manipulation
MANIPULATION,3,left_precuneous_cortex,Manipulation
MANIPULATION,3,left_superior_frontal_gyrus,Manipulation
MANIPULATION,3,left_superior_parietal_lobule,Manipulation
MANIPULATION,3,left_supplementary_motor_cortex,Manipulation
MANIPULATION,3,left_supramarginal_gyrus_anterior_division,Manipulation
MANIPULATION,3,left_supramarginal_gyrus_posterior_division,Manipulation
MANIPULATION,3,right_angular_gyrus,Manipulation
MANIPULATION,3,right_cerebellar_crus,Manipulation
MANIPULATION,3,right_cerebellar_lobules,Manipulation
MANIPULATION,3,right_cerebellar_vermis,Manipulation
MANIPULATION,3,right_inferior_frontal_gyrus_pars_opercularis,Manipulation
MANIPULATION,3,right_lateral_occipital_cortex_superior_division,Manipulation
MANIPULATION,3,right_middle_frontal_gyrus,Manipulation
MANIPULATION,3,right_postcentral_gyrus,Manipulation
MANIPULATION,3,right_precentral_gyrus,Manipulation
