STRUCTURE,CLUSTER,DOMAIN,TITLE
left_cerebellar_crus,1,VISION,Vision
left_cerebellar_lobules,1,VISION,Vision
left_cingulate_gyrus_posterior_division,1,VISION,Vision
left_cuneal_cortex,1,VISION,Vision
left_intracalcarine_cortex,1,VISION,Vision
left_lingual_gyrus,1,VISION,Vision
left_occipital_pole,1,VISION,Vision
left_precuneous_cortex,1,VISION,Vision
left_supracalcarine_cortex,1,VISION,Vision
right_cerebellar_lobules,1,VISION,Vision
right_cingulate_gyrus_posterior_division,1,VISION,Vision
right_cuneal_cortex,1,VISION,Vision
right_intracalcarine_cortex,1,VISION,Vision
right_lateral_occipital_cortex_inferior_division,1,VISION,Vision
right_lingual_gyrus,1,VISION,Vision
right_occipital_fusiform_gyrus,1,VISION,Vision
right_occipital_pole,1,VISION,Vision
right_precuneous_cortex,1,VISION,Vision
right_supracalcarine_cortex,1,VISION,Vision
right_temporal_occipital_fusiform_cortex,1,VISION,Vision
left_brainstem,2,REACTION_TIME,Reaction Time
left_caudate,2,REACTION_TIME,Reaction Time
left_cingulate_gyrus_anterior_division,2,REACTION_TIME,Reaction Time
left_frontal_operculum_cortex,2,REACTION_TIME,Reaction Time
left_frontal_orbital_cortex,2,REACTION_TIME,Reaction Time
left_frontal_pole,2,REACTION_TIME,Reaction Time
left_insular_cortex,2,REACTION_TIME,Reaction Time
left_pallidum,2,REACTION_TIME,Reaction Time
left_paracingulate_gyrus,2,REACTION_TIME,Reaction Time
left_putamen,2,REACTION_TIME,Reaction Time
left_thalamus,2,REACTION_TIME,Reaction Time
right_brainstem,2,REACTION_TIME,Reaction Time
right_caudate,2,REACTION_TIME,Reaction Time
right_cingulate_gyrus_anterior_division,2,REACTION_TIME,Reaction Time
right_frontal_operculum_cortex,2,REACTION_TIME,Reaction Time
right_frontal_orbital_cortex,2,REACTION_TIME,Reaction Time
right_frontal_pole,2,REACTION_TIME,Reaction Time
right_inferior_frontal_gyrus_pars_triangularis,2,REACTION_TIME,Reaction Time
right_insular_cortex,2,REACTION_TIME,Reaction Time
right_pallidum,2,REACTION_TIME,Reaction Time
right_paracingulate_gyrus,2,REACTION_TIME,Reaction Time
right_putamen,2,REACTION_TIME,Reaction Time
right_temporal_pole,2,REACTION_TIME,Reaction Time
right_thalamus,2,REACTION_TIME,Reaction Time
left_angular_gyrus,3,MANIPULATION,Manipulation
left_cerebellar_vermis,3,MANIPULATION,Manipulation
left_inferior_frontal_gyrus_pars_opercularis,3,MANIPULATION,Manipulation
left_inferior_frontal_gyrus_pars_triangularis,3,MANIPULATION,Manipulation
left_lateral_occipital_cortex_superior_division,3,MANIPULATION,Manipulation
left_middle_frontal_gyrus,3,MANIPULATION,Manipulation
left_postcentral_gyrus,3,MANIPULATION,Manipulation
left_precentral_gyrus,3,MANIPULATION,Manipulation
left_superior_frontal_gyrus,3,MANIPULATION,Manipulation
left_superior_parietal_lobule,3,MANIPULATION,Manipulation
left_supplementary_motor_cortex,3,MANIPULATION,Manipulation
left_supramarginal_gyrus_anterior_division,3,MANIPULATION,Manipulation
left_supramarginal_gyrus_posterior_division,3,MANIPULATION,Manipulation
right_angular_gyrus,3,MANIPULATION,Manipulation
right_cerebellar_crus,3,MANIPULATION,Manipulation
right_cerebellar_vermis,3,MANIPULATION,Manipulation
right_inferior_frontal_gyrus_pars_opercularis,3,MANIPULATION,Manipulation
right_lateral_occipital_cortex_superior_division,3,MANIPULATION,Manipulation
right_middle_frontal_gyrus,3,MANIPULATION,Manipulation
right_middle_temporal_gyrus_temporooccipital_part,3,MANIPULATION,Manipulation
right_postcentral_gyrus,3,MANIPULATION,Manipulation
right_precentral_gyrus,3,MANIPULATION,Manipulation
right_superior_frontal_gyrus,3,MANIPULATION,Manipulation
right_superior_parietal_lobule,3,MANIPULATION,Manipulation
right_supplementary_motor_cortex,3,MANIPULATION,Manipulation
right_supramarginal_gyrus_anterior_division,3,MANIPULATION,Manipulation
right_supramarginal_gyrus_posterior_division,3,MANIPULATION,Manipulation
left_frontal_medial_cortex,4,AROUSAL,Arousal
left_subcallosal_cortex,4,AROUSAL,Arousal
right_frontal_medial_cortex,4,AROUSAL,Arousal
right_subcallosal_cortex,4,AROUSAL,Arousal
left_amygdala,5,EMOTION,Emotion
left_hippocampus,5,EMOTION,Emotion
left_parahippocampal_gyrus_anterior_division,5,EMOTION,Emotion
right_amygdala,5,EMOTION,Emotion
right_hippocampus,5,EMOTION,Emotion
right_parahippocampal_gyrus_anterior_division,5,EMOTION,Emotion
left_central_opercular_cortex,6,PERCEPTION,Perception
left_heschls_gyrus,6,PERCEPTION,Perception
left_parietal_operculum_cortex,6,PERCEPTION,Perception
left_planum_polare,6,PERCEPTION,Perception
left_planum_temporale,6,PERCEPTION,Perception
right_central_opercular_cortex,6,PERCEPTION,Perception
right_heschls_gyrus,6,PERCEPTION,Perception
right_parietal_operculum_cortex,6,PERCEPTION,Perception
right_planum_polare,6,PERCEPTION,Perception
right_planum_temporale,6,PERCEPTION,Perception
right_superior_temporal_gyrus_posterior_division,6,PERCEPTION,Perception
left_inferior_temporal_gyrus_anterior_division,7,MEMORY,Memory
left_temporal_fusiform_cortex_anterior_division,7,MEMORY,Memory
left_parahippocampal_gyrus_posterior_division,8,EPISODIC_MEMORY,Episodic Memory
right_inferior_temporal_gyrus_anterior_division,8,EPISODIC_MEMORY,Episodic Memory
right_inferior_temporal_gyrus_posterior_division,8,EPISODIC_MEMORY,Episodic Memory
right_parahippocampal_gyrus_posterior_division,8,EPISODIC_MEMORY,Episodic Memory
right_temporal_fusiform_cortex_anterior_division,8,EPISODIC_MEMORY,Episodic Memory
right_temporal_fusiform_cortex_posterior_division,8,EPISODIC_MEMORY,Episodic Memory
left_middle_temporal_gyrus_anterior_division,9,LANGUAGE,Language
left_middle_temporal_gyrus_posterior_division,9,LANGUAGE,Language
left_superior_temporal_gyrus_anterior_division,9,LANGUAGE,Language
left_superior_temporal_gyrus_posterior_division,9,LANGUAGE,Language
left_temporal_pole,9,LANGUAGE,Language
right_middle_temporal_gyrus_anterior_division,9,LANGUAGE,Language
right_middle_temporal_gyrus_posterior_division,9,LANGUAGE,Language
right_superior_temporal_gyrus_anterior_division,9,LANGUAGE,Language
left_inferior_temporal_gyrus_posterior_division,10,WORD,Word
left_inferior_temporal_gyrus_temporooccipital_part,10,WORD,Word
left_lateral_occipital_cortex_inferior_division,10,WORD,Word
left_middle_temporal_gyrus_temporooccipital_part,10,WORD,Word
left_occipital_fusiform_gyrus,10,WORD,Word
left_temporal_fusiform_cortex_posterior_division,10,WORD,Word
left_temporal_occipital_fusiform_cortex,10,WORD,Word
right_inferior_temporal_gyrus_temporooccipital_part,10,WORD,Word
left_accumbens,11,REWARD,Reward
right_accumbens,11,REWARD,Reward
