STRUCTURE,CLUSTER
left_middle_temporal_gyrus_anterior_division,1
left_superior_temporal_gyrus_anterior_division,1
right_frontal_pole,2
right_middle_frontal_gyrus,2
right_superior_frontal_gyrus,2
right_supplementary_motor_cortex,2
left_frontal_orbital_cortex,3
left_insular_cortex,3
right_frontal_operculum_cortex,3
right_frontal_orbital_cortex,3
right_inferior_frontal_gyrus_pars_triangularis,3
right_insular_cortex,3
left_occipital_pole,4
right_occipital_pole,4
right_parietal_operculum_cortex,5
right_planum_temporale,5
left_amygdala,6
left_hippocampus,6
left_parahippocampal_gyrus_anterior_division,6
left_parahippocampal_gyrus_posterior_division,6
right_hippocampus,6
right_inferior_temporal_gyrus_posterior_division,7
right_temporal_fusiform_cortex_posterior_division,7
left_angular_gyrus,8
left_lateral_occipital_cortex_superior_division,8
left_precuneous_cortex,8
left_superior_parietal_lobule,8
left_supramarginal_gyrus_posterior_division,8
right_angular_gyrus,8
right_inferior_frontal_gyrus_pars_opercularis,8
right_lateral_occipital_cortex_superior_division,8
right_middle_temporal_gyrus_temporooccipital_part,8
right_superior_parietal_lobule,8
right_supramarginal_gyrus_posterior_division,8
left_middle_temporal_gyrus_posterior_division,9
left_middle_temporal_gyrus_temporooccipital_part,9
left_planum_temporale,9
left_superior_temporal_gyrus_posterior_division,9
right_superior_temporal_gyrus_posterior_division,9
right_accumbens,10
left_frontal_medial_cortex,11
right_frontal_medial_cortex,11
left_middle_frontal_gyrus,12
left_superior_frontal_gyrus,12
left_supplementary_motor_cortex,12
left_inferior_temporal_gyrus_posterior_division,13
left_temporal_fusiform_cortex_posterior_division,13
left_cingulate_gyrus_anterior_division,14
left_paracingulate_gyrus,14
left_inferior_temporal_gyrus_temporooccipital_part,15
left_lateral_occipital_cortex_inferior_division,15
left_occipital_fusiform_gyrus,15
left_temporal_occipital_fusiform_cortex,15
right_inferior_temporal_gyrus_temporooccipital_part,15
right_lateral_occipital_cortex_inferior_division,15
right_occipital_fusiform_gyrus,15
right_brainstem,16
left_heschls_gyrus,17
left_planum_polare,17
left_pallidum,18
left_putamen,18
right_pallidum,18
right_putamen,18
left_central_opercular_cortex,19
left_parietal_operculum_cortex,19
left_postcentral_gyrus,19
left_precentral_gyrus,19
left_supramarginal_gyrus_anterior_division,19
right_postcentral_gyrus,19
right_precentral_gyrus,19
right_supramarginal_gyrus_anterior_division,19
left_inferior_temporal_gyrus_anterior_division,20
left_temporal_fusiform_cortex_anterior_division,20
right_cuneal_cortex,21
right_intracalcarine_cortex,21
right_precuneous_cortex,21
right_supracalcarine_cortex,21
right_parahippocampal_gyrus_anterior_division,22
right_subcallosal_cortex,23
right_inferior_temporal_gyrus_anterior_division,24
right_temporal_fusiform_cortex_anterior_division,24
left_lingual_gyrus,25
right_lingual_gyrus,25
right_temporal_occipital_fusiform_cortex,25
right_central_opercular_cortex,26
right_heschls_gyrus,26
right_planum_polare,26
left_cerebellum,27
right_cerebellum,27
left_thalamus,28
right_thalamus,28
right_middle_temporal_gyrus_anterior_division,29
right_middle_temporal_gyrus_posterior_division,29
right_superior_temporal_gyrus_anterior_division,29
left_frontal_operculum_cortex,30
left_frontal_pole,30
left_inferior_frontal_gyrus_pars_opercularis,30
left_inferior_frontal_gyrus_pars_triangularis,30
left_subcallosal_cortex,31
right_amygdala,32
left_caudate,33
right_caudate,33
left_cingulate_gyrus_posterior_division,34
right_cingulate_gyrus_posterior_division,34
left_accumbens,35
left_temporal_pole,36
right_temporal_pole,36
right_parahippocampal_gyrus_posterior_division,37
right_cingulate_gyrus_anterior_division,38
right_paracingulate_gyrus,38
left_brainstem,39
left_cuneal_cortex,40
left_intracalcarine_cortex,40
left_supracalcarine_cortex,40
