CLUSTER,STRUCTURE
1,left_central_opercular_cortex
1,left_parietal_operculum_cortex
1,left_planum_temporale
2,left_inferior_frontal_gyrus_pars_opercularis
2,left_middle_frontal_gyrus
2,left_precentral_gyrus
2,left_superior_frontal_gyrus
2,left_supplementary_motor_cortex
3,left_amygdala
3,left_hippocampus
3,left_parahippocampal_gyrus_anterior_division
4,left_pallidum
4,right_pallidum
5,left_lingual_gyrus
5,left_occipital_fusiform_gyrus
5,left_occipital_pole
5,left_parahippocampal_gyrus_posterior_division
5,left_temporal_occipital_fusiform_cortex
5,right_temporal_occipital_fusiform_cortex
6,right_middle_temporal_gyrus_anterior_division
6,right_middle_temporal_gyrus_posterior_division
6,right_superior_temporal_gyrus_anterior_division
6,right_superior_temporal_gyrus_posterior_division
7,right_frontal_medial_cortex
8,left_inferior_temporal_gyrus_anterior_division
9,left_insular_cortex
9,right_frontal_operculum_cortex
9,right_frontal_orbital_cortex
9,right_inferior_frontal_gyrus_pars_triangularis
9,right_insular_cortex
10,right_inferior_temporal_gyrus_posterior_division
11,left_postcentral_gyrus
11,right_postcentral_gyrus
11,right_precentral_gyrus
11,right_supramarginal_gyrus_anterior_division
12,left_frontal_operculum_cortex
12,left_frontal_orbital_cortex
12,left_frontal_pole
12,left_inferior_frontal_gyrus_pars_triangularis
13,left_inferior_temporal_gyrus_temporooccipital_part
13,left_middle_temporal_gyrus_temporooccipital_part
14,left_accumbens
15,right_intracalcarine_cortex
15,right_lingual_gyrus
15,right_supracalcarine_cortex
16,right_frontal_pole
16,right_middle_frontal_gyrus
16,right_paracingulate_gyrus
16,right_superior_frontal_gyrus
16,right_supplementary_motor_cortex
17,left_brainstem
17,right_brainstem
18,left_cingulate_gyrus_posterior_division
18,left_precuneous_cortex
18,right_cingulate_gyrus_posterior_division
18,right_cuneal_cortex
18,right_precuneous_cortex
19,left_middle_temporal_gyrus_anterior_division
19,left_superior_temporal_gyrus_anterior_division
20,left_heschls_gyrus
20,left_planum_polare
20,right_heschls_gyrus
20,right_planum_polare
21,left_cingulate_gyrus_anterior_division
21,left_paracingulate_gyrus
21,right_cingulate_gyrus_anterior_division
22,left_lateral_occipital_cortex_inferior_division
22,right_inferior_temporal_gyrus_temporooccipital_part
22,right_lateral_occipital_cortex_inferior_division
22,right_occipital_fusiform_gyrus
22,right_occipital_pole
23,right_subcallosal_cortex
24,right_hippocampus
24,right_parahippocampal_gyrus_anterior_division
25,left_inferior_temporal_gyrus_posterior_division
25,left_temporal_fusiform_cortex_posterior_division
26,right_angular_gyrus
26,right_inferior_frontal_gyrus_pars_opercularis
26,right_lateral_occipital_cortex_superior_division
26,right_middle_temporal_gyrus_temporooccipital_part
26,right_superior_parietal_lobule
26,right_supramarginal_gyrus_posterior_division
27,left_caudate
28,left_putamen
28,right_putamen
29,right_parahippocampal_gyrus_posterior_division
29,right_temporal_fusiform_cortex_posterior_division
30,left_temporal_fusiform_cortex_anterior_division
31,left_thalamus
31,right_thalamus
32,right_caudate
33,left_frontal_medial_cortex
34,left_cuneal_cortex
34,left_intracalcarine_cortex
34,left_supracalcarine_cortex
35,right_temporal_fusiform_cortex_anterior_division
36,right_accumbens
37,right_central_opercular_cortex
37,right_parietal_operculum_cortex
37,right_planum_temporale
38,left_angular_gyrus
38,left_lateral_occipital_cortex_superior_division
38,left_superior_parietal_lobule
38,left_supramarginal_gyrus_anterior_division
38,left_supramarginal_gyrus_posterior_division
39,left_temporal_pole
39,right_temporal_pole
40,right_amygdala
41,left_subcallosal_cortex
42,right_inferior_temporal_gyrus_anterior_division
43,left_cerebellum
43,right_cerebellum
44,left_middle_temporal_gyrus_posterior_division
44,left_superior_temporal_gyrus_posterior_division
