,NEGATIVE_VALENCE,POSITIVE_VALENCE,AROUSAL_REGULATION,SOCIAL_PROCESSES,COGNITIVE_SYSTEMS,SENSORIMOTOR_SYSTEMS
left_frontal_pole,0.0583832761756863,0.030796100441131576,0.0,0.0,0.0,0.0
left_insular_cortex,0.04777679521453538,0.09156522323992157,0.031496424629992206,0.0,0.0,0.0
left_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.07403299693097244,0.0649739204749259
left_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.1264019168026865,0.07886249844945606
left_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.0,0.0,0.10607047726834222,0.0
left_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.0,0.0,0.12032799598355304,0.07390288189200717
left_precentral_gyrus,0.0,0.0,0.0,0.0,0.0676025572926886,0.1454277781973722
left_temporal_pole,0.1277317076773165,0.0,0.06827113817973064,0.1522007363034873,0.0,0.0
left_superior_temporal_gyrus_anterior_division,0.0,0.0,0.05609841572270185,0.11459963018378892,0.0,0.0
left_superior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0937271356221738,0.0,0.0
left_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.22200286446814133,0.0,0.0
left_middle_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.14538448494773779,0.0,0.0
left_middle_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.10170782607561861,0.0,0.0
left_inferior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.26649448240945806,0.0,0.0
left_inferior_temporal_gyrus_posterior_division,0.054461512890984394,0.0,0.0,0.1622636290401761,0.0,0.0
left_inferior_temporal_gyrus_temporooccipital_part,0.0,0.0,0.0,0.06383460808043878,0.08781918680868424,0.0
left_postcentral_gyrus,0.0,0.0,0.0,0.0,0.043736976676164274,0.2055703218424793
left_superior_parietal_lobule,0.0,0.0,0.0,0.0,0.18137414616793734,0.18563345242309448
left_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.10490400947674139,0.17637617915203985
left_supramarginal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.12335879011330032,0.09523612985307088
left_angular_gyrus,0.0,0.0,0.0,0.0,0.13111622766124822,0.0691984819429253
left_lateral_occipital_cortex_superior_division,0.0,0.0,0.0,0.0,0.11314857340682176,0.04995465908035908
left_lateral_occipital_cortex_inferior_division,0.0,0.0,0.0,0.06416494612500938,0.03371362578393635,0.0
left_intracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0
left_frontal_medial_cortex,0.16548529580223667,0.180693218712153,0.0958314874720901,0.15333111934909704,0.0,0.0
left_supplementary_motor_cortex,0.0,0.0,0.0,0.0,0.10336307428551537,0.22889661909833342
left_subcallosal_cortex,0.1996529411041267,0.3705896232162109,0.07448961162431575,0.0,0.0,0.0
left_paracingulate_gyrus,0.03454895367807431,0.04682459549175544,0.0,0.0,0.0,0.0
left_cingulate_gyrus_anterior_division,0.040611017132170864,0.054845346687764564,0.0,0.0,0.0,0.0
left_cingulate_gyrus_posterior_division,0.04707749786339241,0.0,0.032751723604228844,0.0,0.0,0.0
left_precuneous_cortex,0.0,0.0,0.0,0.0,0.06756159540243409,0.02715682472697848
left_cuneal_cortex,0.0,0.0,0.0,0.0,0.06736109251627455,0.0
left_frontal_orbital_cortex,0.06420233870985294,0.0767249895892127,0.03570422833491307,0.0,0.0,0.0
left_parahippocampal_gyrus_anterior_division,0.2967112506052895,0.0,0.20466835396196198,0.17288861072433456,0.0,0.0
left_parahippocampal_gyrus_posterior_division,0.07507814984637663,0.0,0.11350688691406322,0.0,0.0,0.0
left_lingual_gyrus,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_fusiform_cortex_anterior_division,0.1480361726086211,0.0,0.0,0.16552228618660972,0.0,0.0
left_temporal_fusiform_cortex_posterior_division,0.06043302642906418,0.0,0.05696297716306259,0.12868884013054255,0.0,0.0
left_temporal_occipital_fusiform_cortex,0.0,0.0,0.0,0.05529322070693071,0.056796691089833026,0.0
left_occipital_fusiform_gyrus,0.0,0.0,0.0,0.0,0.06019669481195381,0.0
left_frontal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.0
left_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,0.059194106837048475
left_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.13655747462493578
left_planum_polare,0.05510282113804229,0.0,0.04757577968212469,0.0,0.0,0.0
left_heschls_gyrus,0.0,0.0,0.047454742283469076,0.0,0.0,0.07204008537687935
left_planum_temporale,0.0,0.0,0.0,0.0,0.0,0.09526380562856775
left_supracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0
left_occipital_pole,0.0,0.0,0.0,0.0,0.046817710522882056,0.0
left_thalamus,0.0456032203158242,0.07580716187917906,0.06099311409639638,0.0,0.0,0.0
left_caudate,0.06496116004384851,0.2931306761109964,0.0,0.0,0.0,0.0
left_putamen,0.059784660195527674,0.214687921707268,0.0,0.0,0.0,0.0
left_pallidum,0.0,0.2167000780509008,0.0,0.0,0.0,0.0
left_hippocampus,0.21403327506969613,0.0,0.17603385864288523,0.12610486880010222,0.0,0.0
left_amygdala,0.3457588177349512,0.08673867338122868,0.22506988852883292,0.23879350151440312,0.0,0.0
left_accumbens,0.1584378273844123,0.5939959424974188,0.0,0.0,0.0,0.0
left_brainstem,0.14154166204533675,0.11677031740688495,0.10580230494091404,0.0,0.0,0.0
left_cerebellar_lobules,0.0,0.0,0.0,0.0,0.0,0.131321947315494
left_cerebellar_crus,0.0,0.0,0.0,0.0,0.0,0.13069172699386958
