ORDER,CLUSTER,DOMAIN,TOKEN,R,ROC_AUC
1,6,MEMORY,fear,0.19229092154417485,0.5072400322271038
1,6,MEMORY,emotion,0.188637643380005,0.5072400322271038
1,6,MEMORY,memory,0.1853624115565204,0.5072400322271038
1,6,MEMORY,declarative_memory,0.16801850104981586,0.5072400322271038
1,6,MEMORY,facial_expression,0.16284332685365915,0.5072400322271038
1,6,MEMORY,valence,0.16082758023589014,0.5072400322271038
1,6,MEMORY,episodic_memory,0.1579831510652426,0.5072400322271038
1,6,MEMORY,emotional_memory,0.15528974230361378,0.5072400322271038
1,6,MEMORY,recognition_memory,0.15471955547487676,0.5072400322271038
1,6,MEMORY,arousal,0.14774375709902796,0.5072400322271038
1,6,MEMORY,remembering,0.1470737743144715,0.5072400322271038
1,6,MEMORY,face,0.14700467717453689,0.5072400322271038
1,6,MEMORY,recognition,0.13991554504255158,0.5072400322271038
1,6,MEMORY,picture,0.13804507084093162,0.5072400322271038
1,6,MEMORY,encoding,0.13646546839929602,0.5072400322271038
1,6,MEMORY,emotional_expression,0.132477138064956,0.5072400322271038
1,6,MEMORY,negative_emotion,0.12229077419559373,0.5072400322271038
1,6,MEMORY,memory_process,0.12028759498160208,0.5072400322271038
1,6,MEMORY,recall,0.1202817451333627,0.5072400322271038
1,6,MEMORY,retrieval,0.1180325470451049,0.5072400322271038
1,6,MEMORY,encoding_task,0.116665913097697,0.5072400322271038
2,3,REWARD,reward,0.28725706393363715,0.5022365232452105
2,3,REWARD,reward_processing,0.2312286627395347,0.5022365232452105
2,3,REWARD,reward_anticipation,0.2259469434830643,0.5022365232452105
2,3,REWARD,anticipation,0.1895959441502043,0.5022365232452105
2,3,REWARD,monetary_incentive_delay_task,0.1882390544649349,0.5022365232452105
2,3,REWARD,instrumental_conditioning,0.14984105654528926,0.5022365232452105
2,3,REWARD,reward_learning,0.13944570505058826,0.5022365232452105
2,3,REWARD,feedback,0.13525732084082925,0.5022365232452105
2,3,REWARD,reinforcement_learning,0.13355719805871769,0.5022365232452105
2,3,REWARD,expectancy,0.1288235868409139,0.5022365232452105
2,3,REWARD,decision_making,0.1212865589283413,0.5022365232452105
2,3,REWARD,loss_anticipation,0.1156571530085488,0.5022365232452105
2,3,REWARD,addiction,0.1149289161651095,0.5022365232452105
