ORDER,CLUSTER,DOMAIN,TOKEN,R,ROC_AUC
1,5,MEMORY,memory,0.19940221309383416,0.6561322526151872
1,5,MEMORY,declarative_memory,0.17545991764536126,0.6561322526151872
1,5,MEMORY,episodic_memory,0.1727807584394878,0.6561322526151872
1,5,MEMORY,recognition_memory,0.16277969181315988,0.6561322526151872
1,5,MEMORY,emotion,0.16058508212022354,0.6561322526151872
1,5,MEMORY,fear,0.15971439875242766,0.6561322526151872
1,5,MEMORY,remembering,0.15746104936510635,0.6561322526151872
1,5,MEMORY,emotional_memory,0.14693522384960614,0.6561322526151872
1,5,MEMORY,recognition,0.1453199319656048,0.6561322526151872
1,5,MEMORY,encoding,0.1426429454696121,0.6561322526151872
1,5,MEMORY,facial_expression,0.13797479205915136,0.6561322526151872
1,5,MEMORY,valence,0.13726357930747668,0.6561322526151872
1,5,MEMORY,retrieval,0.1348374343951383,0.6561322526151872
1,5,MEMORY,picture,0.1333225059658052,0.6561322526151872
1,5,MEMORY,recall,0.13102244685610948,0.6561322526151872
1,5,MEMORY,face,0.13045341470782607,0.6561322526151872
1,5,MEMORY,memory_process,0.12585623153327585,0.6561322526151872
1,5,MEMORY,autobiographical_memory,0.12395634051819955,0.6561322526151872
1,5,MEMORY,arousal,0.1236557043896802,0.6561322526151872
1,5,MEMORY,source_memory,0.12168846552047775,0.6561322526151872
1,5,MEMORY,encoding_task,0.12069607171877696,0.6561322526151872
1,5,MEMORY,episodic_simulation,0.11725569619764972,0.6561322526151872
2,9,EPISODIC_MEMORY,visual_attention,0.1154752722143021,0.6057361169708244
2,9,EPISODIC_MEMORY,memory,0.11509346275813565,0.6057361169708244
2,9,EPISODIC_MEMORY,retrieval,0.11494160787842178,0.6057361169708244
2,9,EPISODIC_MEMORY,remembering,0.10919874847526327,0.6057361169708244
2,9,EPISODIC_MEMORY,vision,0.1081410847081393,0.6057361169708244
2,9,EPISODIC_MEMORY,visual_imagery,0.10664945726550812,0.6057361169708244
2,9,EPISODIC_MEMORY,memory_retrieval,0.1038366913925225,0.6057361169708244
2,9,EPISODIC_MEMORY,spatial_attention,0.10112482324131547,0.6057361169708244
2,9,EPISODIC_MEMORY,visual_perception,0.09853159903948633,0.6057361169708244
2,9,EPISODIC_MEMORY,episodic_memory,0.09817490254934624,0.6057361169708244
2,9,EPISODIC_MEMORY,eye,0.09649079170752801,0.6057361169708244
2,9,EPISODIC_MEMORY,familiarity,0.09593200291415813,0.6057361169708244
2,9,EPISODIC_MEMORY,encoding,0.09588312485625396,0.6057361169708244
2,9,EPISODIC_MEMORY,recognition,0.0953664054112329,0.6057361169708244
2,9,EPISODIC_MEMORY,visual_angle,0.09138100606357123,0.6057361169708244
3,2,REWARD,reward,0.2573791447573881,0.6341812542464204
3,2,REWARD,reward_processing,0.20399459147722826,0.6341812542464204
3,2,REWARD,reward_anticipation,0.1924333222706341,0.6341812542464204
3,2,REWARD,anticipation,0.18468106975310072,0.6341812542464204
3,2,REWARD,monetary_incentive_delay_task,0.15819739571296204,0.6341812542464204
3,2,REWARD,reward_learning,0.12406205369967747,0.6341812542464204
4,6,COGNITION,monitoring,0.1423061769058463,0.6147160185824332
4,6,COGNITION,cognitive_control,0.1273257800747018,0.6147160185824332
4,6,COGNITION,working_memory,0.12604484891059609,0.6147160185824332
4,6,COGNITION,reaction_time,0.12353041287628165,0.6147160185824332
4,6,COGNITION,cognitive_process,0.11980214571046935,0.6147160185824332
4,6,COGNITION,manipulation,0.11408510577195626,0.6147160185824332
4,6,COGNITION,strategy,0.11264792094339518,0.6147160185824332
4,6,COGNITION,response_selection,0.11061561561185836,0.6147160185824332
4,6,COGNITION,error_detection,0.10601986282525576,0.6147160185824332
4,6,COGNITION,retrieval,0.10526638056384784,0.6147160185824332
4,6,COGNITION,cognitive,0.10460285288052484,0.6147160185824332
4,6,COGNITION,goal,0.10199077990984054,0.6147160185824332
4,6,COGNITION,rehearsal,0.09902791531605903,0.6147160185824332
4,6,COGNITION,context,0.09822962027519333,0.6147160185824332
4,6,COGNITION,task_set,0.09462120035313916,0.6147160185824332
4,6,COGNITION,decision_making,0.09350783761870772,0.6147160185824332
4,6,COGNITION,memory,0.09033516754914044,0.6147160185824332
4,6,COGNITION,arousal,0.08990269096475376,0.6147160185824332
4,6,COGNITION,judgment,0.08850705413658676,0.6147160185824332
4,6,COGNITION,decision,0.08727701850791192,0.6147160185824332
4,6,COGNITION,remembering,0.08632883835558952,0.6147160185824332
4,6,COGNITION,maintenance,0.08629980441628593,0.6147160185824332
4,6,COGNITION,cognition,0.08573056147174034,0.6147160185824332
4,6,COGNITION,word,0.08524003728945889,0.6147160185824332
5,3,VISION,face_perception,0.1895633181527097,0.6564803477381673
5,3,VISION,recognition,0.17485622401099155,0.6564803477381673
5,3,VISION,familiarity,0.1597502138712482,0.6564803477381673
5,3,VISION,object_recognition,0.15666737349959414,0.6564803477381673
5,3,VISION,word,0.15060441518046108,0.6564803477381673
5,3,VISION,semantic_processing,0.15059157930143507,0.6564803477381673
5,3,VISION,reading,0.14104802124577973,0.6564803477381673
5,3,VISION,face,0.14024524479836128,0.6564803477381673
5,3,VISION,naming,0.13963767535748942,0.6564803477381673
5,3,VISION,vision,0.13620809726764535,0.6564803477381673
5,3,VISION,picture,0.13574251815446786,0.6564803477381673
5,3,VISION,face_recognition,0.13348903038805854,0.6564803477381673
5,3,VISION,retrieval,0.13296229049438776,0.6564803477381673
5,3,VISION,visual_object,0.1294438149274793,0.6564803477381673
5,3,VISION,semantics,0.12297945479240373,0.6564803477381673
5,3,VISION,language,0.12196091584212294,0.6564803477381673
5,3,VISION,pseudowords,0.12151447964761053,0.6564803477381673
5,3,VISION,visual_perception,0.12008145057979505,0.6564803477381673
5,3,VISION,meaning,0.1195216168446436,0.6564803477381673
5,3,VISION,visual_word_recognition,0.11818830473926994,0.6564803477381673
5,3,VISION,phonology,0.1175937192262651,0.6564803477381673
5,3,VISION,perception,0.11693316741836582,0.6564803477381673
5,3,VISION,semantic_information,0.1164751187622228,0.6564803477381673
5,3,VISION,repetition_priming,0.11595313306403685,0.6564803477381673
5,3,VISION,object_perception,0.11563820716601332,0.6564803477381673
6,4,MANIPULATION,execution,0.179016396728579,0.6247654897740853
6,4,MANIPULATION,hand,0.15940840645533744,0.6247654897740853
6,4,MANIPULATION,spatial_attention,0.13991491731407518,0.6247654897740853
6,4,MANIPULATION,movement,0.1394967334399522,0.6247654897740853
6,4,MANIPULATION,grasping,0.13462665407292432,0.6247654897740853
6,4,MANIPULATION,attention,0.1335890285064278,0.6247654897740853
6,4,MANIPULATION,manipulation,0.12956392222180968,0.6247654897740853
6,4,MANIPULATION,representation,0.1285089533902343,0.6247654897740853
6,4,MANIPULATION,action,0.12558222313824166,0.6247654897740853
6,4,MANIPULATION,grasp,0.12212085341954555,0.6247654897740853
6,4,MANIPULATION,working_memory,0.12191394597367634,0.6247654897740853
6,4,MANIPULATION,covert,0.11346135802559244,0.6247654897740853
6,4,MANIPULATION,rehearsal,0.11313208085413468,0.6247654897740853
6,4,MANIPULATION,mental_representation,0.11187378592324004,0.6247654897740853
6,4,MANIPULATION,eye,0.1085002802405554,0.6247654897740853
6,4,MANIPULATION,visual_attention,0.10766871153035773,0.6247654897740853
7,8,EXECUTION,motor_control,0.13409126458258294,0.5845126846348916
7,8,EXECUTION,movement,0.11246531448298708,0.5845126846348916
7,8,EXECUTION,motor_learning,0.11132113642537923,0.5845126846348916
7,8,EXECUTION,execution,0.11011500264725564,0.5845126846348916
7,8,EXECUTION,coordination,0.08957903886763276,0.5845126846348916
7,8,EXECUTION,motor_sequence_learning,0.08209866426220941,0.5845126846348916
8,1,HEARING,hearing,0.22153781544374807,0.6503615565302401
8,1,HEARING,speech,0.2120634128324164,0.6503615565302401
8,1,HEARING,listening,0.21053877519925807,0.6503615565302401
8,1,HEARING,speech_perception,0.19324091389533465,0.6503615565302401
8,1,HEARING,speech_processing,0.18775192697094284,0.6503615565302401
9,7,LANGUAGE,speech,0.23299362240812085,0.6659573967411564
9,7,LANGUAGE,language,0.2172497095901415,0.6659573967411564
9,7,LANGUAGE,speech_processing,0.20582592432815752,0.6659573967411564
9,7,LANGUAGE,language_processing,0.20570769336509204,0.6659573967411564
9,7,LANGUAGE,speech_perception,0.20107600546595605,0.6659573967411564
9,7,LANGUAGE,listening,0.1973291376493396,0.6659573967411564
9,7,LANGUAGE,hearing,0.1902868762457287,0.6659573967411564
9,7,LANGUAGE,semantic_processing,0.18165121416774385,0.6659573967411564
9,7,LANGUAGE,language_comprehension,0.1686456809337292,0.6659573967411564
9,7,LANGUAGE,word,0.1656398719765298,0.6659573967411564
9,7,LANGUAGE,syllable,0.16428303779529968,0.6659573967411564
9,7,LANGUAGE,semantics,0.16212758291685814,0.6659573967411564
9,7,LANGUAGE,sentence_processing,0.1528557319676908,0.6659573967411564
9,7,LANGUAGE,sentence_comprehension,0.14376604371410545,0.6659573967411564
9,7,LANGUAGE,speech_production,0.1427227571167106,0.6659573967411564
9,7,LANGUAGE,syntax,0.13986540060062275,0.6659573967411564
9,7,LANGUAGE,meaning,0.13809481490000688,0.6659573967411564
9,7,LANGUAGE,prosody,0.13584995746154174,0.6659573967411564
9,7,LANGUAGE,semantic_information,0.13399966544448216,0.6659573967411564
9,7,LANGUAGE,theory_mind,0.13230380786467438,0.6659573967411564
9,7,LANGUAGE,narrative,0.13185357367118647,0.6659573967411564
9,7,LANGUAGE,phonology,0.13132158707029584,0.6659573967411564
9,7,LANGUAGE,passive_listening,0.12609504299906066,0.6659573967411564
9,7,LANGUAGE,auditory_perception,0.12081225368067346,0.6659573967411564
9,7,LANGUAGE,syntactic_processing,0.1204910355952016,0.6659573967411564
