ORDER,CLUSTER,DOMAIN,TOKEN,R,ROC_AUC
1,3,MEMORY,memory,0.1958240155904445,0.6531272826526371
1,3,MEMORY,declarative_memory,0.17121417668799516,0.6531272826526371
1,3,MEMORY,episodic_memory,0.17033655071567125,0.6531272826526371
1,3,MEMORY,recognition_memory,0.15832823552981595,0.6531272826526371
1,3,MEMORY,emotion,0.15771916488925308,0.6531272826526371
1,3,MEMORY,remembering,0.1573236769479143,0.6531272826526371
1,3,MEMORY,fear,0.15411657179239535,0.6531272826526371
1,3,MEMORY,emotional_memory,0.1436130385614037,0.6531272826526371
1,3,MEMORY,recognition,0.13945017026639595,0.6531272826526371
1,3,MEMORY,encoding,0.13906040102078,0.6531272826526371
1,3,MEMORY,valence,0.1351741305750283,0.6531272826526371
1,3,MEMORY,retrieval,0.1345765671342553,0.6531272826526371
1,3,MEMORY,facial_expression,0.13276437432687746,0.6531272826526371
1,3,MEMORY,recall,0.1301154506085232,0.6531272826526371
1,3,MEMORY,picture,0.128958582072217,0.6531272826526371
1,3,MEMORY,autobiographical_memory,0.1271799806714832,0.6531272826526371
1,3,MEMORY,memory_process,0.12311715485878727,0.6531272826526371
1,3,MEMORY,arousal,0.12254425006068427,0.6531272826526371
1,3,MEMORY,source_memory,0.12180468147632716,0.6531272826526371
1,3,MEMORY,face,0.12129521985898566,0.6531272826526371
1,3,MEMORY,episodic_simulation,0.12020778212120545,0.6531272826526371
1,3,MEMORY,encoding_task,0.11755526836936347,0.6531272826526371
2,6,REWARD,reward,0.2695359906038103,0.6388413999462901
2,6,REWARD,reward_processing,0.2153362016148515,0.6388413999462901
2,6,REWARD,reward_anticipation,0.20080234679983971,0.6388413999462901
2,6,REWARD,anticipation,0.1494180807277695,0.6388413999462901
2,6,REWARD,decision_making,0.14845487577147082,0.6388413999462901
2,6,REWARD,reward_learning,0.1382557096959864,0.6388413999462901
2,6,REWARD,valence,0.1359051973742498,0.6388413999462901
2,6,REWARD,monetary_incentive_delay_task,0.12981765533743853,0.6388413999462901
2,6,REWARD,expectancy,0.12017851703474144,0.6388413999462901
2,6,REWARD,instrumental_conditioning,0.11651807358660175,0.6388413999462901
2,6,REWARD,salience,0.11447419395654394,0.6388413999462901
2,6,REWARD,addiction,0.11220312202009028,0.6388413999462901
2,6,REWARD,arousal,0.10925371869111834,0.6388413999462901
2,6,REWARD,reinforcement_learning,0.10548212015684144,0.6388413999462901
2,6,REWARD,taste,0.10370120817276278,0.6388413999462901
2,6,REWARD,gambling,0.10269616751062716,0.6388413999462901
2,6,REWARD,intertemporal_choice,0.10189711584111932,0.6388413999462901
2,6,REWARD,loss,0.09990564331151493,0.6388413999462901
2,6,REWARD,loss_aversion,0.09626718464503944,0.6388413999462901
2,6,REWARD,loss_anticipation,0.09364790549047124,0.6388413999462901
3,5,REACTION_TIME,reward,0.1360236677943279,0.6112495982230222
3,5,REACTION_TIME,anticipation,0.13275143030810088,0.6112495982230222
3,5,REACTION_TIME,arousal,0.12074813921537578,0.6112495982230222
3,5,REACTION_TIME,monitoring,0.11928693639280165,0.6112495982230222
3,5,REACTION_TIME,decision_making,0.11118073195543302,0.6112495982230222
3,5,REACTION_TIME,reward_processing,0.10436022496815724,0.6112495982230222
3,5,REACTION_TIME,valence,0.1003975517537758,0.6112495982230222
3,5,REACTION_TIME,expectancy,0.0984583477923808,0.6112495982230222
3,5,REACTION_TIME,reaction_time,0.09789671551845736,0.6112495982230222
3,5,REACTION_TIME,cognitive_control,0.09685909246288664,0.6112495982230222
3,5,REACTION_TIME,salience,0.09617010383712657,0.6112495982230222
3,5,REACTION_TIME,error_detection,0.0935560912642329,0.6112495982230222
3,5,REACTION_TIME,reward_anticipation,0.09304843501986436,0.6112495982230222
3,5,REACTION_TIME,pain,0.08726838696983655,0.6112495982230222
