DOMAIN,CLUSTER,TOKEN,R,TITLE
HEARING,1,hearing,0.2003300580118864,Hearing
HEARING,1,listening,0.1870635265022667,Hearing
HEARING,1,speech,0.1844450158563722,Hearing
HEARING,1,speech_perception,0.1667886739474331,Hearing
HEARING,1,speech_processing,0.16288139657471395,Hearing
HEARING,1,tone,0.16146168370924466,Hearing
HEARING,1,music,0.14520153938208988,Hearing
HEARING,1,melody,0.1394035583082508,Hearing
HEARING,1,passive_listening,0.13701467728511108,Hearing
HEARING,1,auditory_perception,0.12798509624228235,Hearing
HEARING,1,audition,0.12131926800921147,Hearing
HEARING,1,speech_production,0.11958585635644167,Hearing
HEARING,1,painful_stimulation,0.11462822813733392,Hearing
HEARING,1,pain,0.1128543540708703,Hearing
REACTION_TIME,2,monitoring,0.13349582097284204,Reaction Time
REACTION_TIME,2,arousal,0.12701919208398876,Reaction Time
REACTION_TIME,2,anticipation,0.12338987191319715,Reaction Time
REACTION_TIME,2,decision_making,0.11737378438885213,Reaction Time
REACTION_TIME,2,reward,0.1152405991848696,Reaction Time
REACTION_TIME,2,pain,0.10415133562471816,Reaction Time
REACTION_TIME,2,error_detection,0.10062994137658687,Reaction Time
REACTION_TIME,2,salience,0.09914191890619334,Reaction Time
REACTION_TIME,2,valence,0.09799169650838356,Reaction Time
REACTION_TIME,2,cognitive_control,0.09693730944482253,Reaction Time
REACTION_TIME,2,expectancy,0.0881349538480615,Reaction Time
REACTION_TIME,2,interoception,0.08693198122504024,Reaction Time
REACTION_TIME,2,response_selection,0.08654601070737097,Reaction Time
REACTION_TIME,2,reward_processing,0.08637415997557311,Reaction Time
REACTION_TIME,2,strategy,0.08585196013458601,Reaction Time
REACTION_TIME,2,reaction_time,0.08346531514260855,Reaction Time
REACTION_TIME,2,painful_stimulation,0.08296216433596695,Reaction Time
REACTION_TIME,2,autobiographical_memory,0.08224003466454521,Reaction Time
REACTION_TIME,2,emotion,0.08193535985495598,Reaction Time
REACTION_TIME,2,performance_monitoring,0.08124739572749147,Reaction Time
MEMORY,3,memory,0.1842678630334148,Memory
MEMORY,3,episodic_memory,0.17001285046848968,Memory
MEMORY,3,retrieval,0.15386861696742218,Memory
MEMORY,3,recognition_memory,0.15086877164469434,Memory
MEMORY,3,remembering,0.14861914535650694,Memory
MEMORY,3,declarative_memory,0.14426759468153105,Memory
MEMORY,3,recognition,0.1336110651181031,Memory
MEMORY,3,semantic_memory,0.12730357581856902,Memory
MEMORY,3,encoding,0.12631938815766156,Memory
MEMORY,3,familiarity,0.12556456330256474,Memory
MEMORY,3,recall,0.12330081879637456,Memory
MEMORY,3,episodic_simulation,0.1197757580159026,Memory
MEMORY,3,autobiographical_memory,0.11973815415411125,Memory
