CLUSTER,TOKEN,R,ROC_AUC
1,memory,0.2003000358538638,0.6602370517828853
1,fear,0.18297708450028694,0.6602370517828853
1,emotion,0.1811650880778971,0.6602370517828853
1,declarative_memory,0.17581365969978327,0.6602370517828853
1,episodic_memory,0.17291155226129645,0.6602370517828853
1,recognition_memory,0.16404060903408685,0.6602370517828853
1,remembering,0.16045010417291294,0.6602370517828853
1,emotional_memory,0.15763910241935947,0.6602370517828853
1,valence,0.15618928431291235,0.6602370517828853
1,facial_expression,0.1523884499832482,0.6602370517828853
2,execution,0.16500446150365766,0.6176505721302228
2,hand,0.15811372027883674,0.6176505721302228
2,spatial_attention,0.1424757395661053,0.6176505721302228
2,grasping,0.14026047817622134,0.6176505721302228
2,attention,0.1359861949030035,0.6176505721302228
2,representation,0.13253748146748426,0.6176505721302228
2,manipulation,0.13190934587024244,0.6176505721302228
2,movement,0.12625066199814947,0.6176505721302228
3,episodic_memory,0.15503194711238444,0.5979740525548616
3,autobiographical_memory,0.1450092833702067,0.5979740525548616
3,memory,0.13890549900159072,0.5979740525548616
3,remembering,0.12809400813344046,0.5979740525548616
3,retrieval,0.1221629658716926,0.5979740525548616
3,memory_retrieval,0.11957023035393292,0.5979740525548616
3,prospection,0.11312404235477395,0.5979740525548616
3,episodic_simulation,0.10870492781687201,0.5979740525548616
3,recall,0.09918198503594364,0.5979740525548616
3,source_memory,0.09634255204471966,0.5979740525548616
3,theory_mind,0.09192737161742914,0.5979740525548616
4,arousal,0.1250004631913801,0.592442829096538
4,monitoring,0.10190976107944713,0.592442829096538
4,anticipation,0.0991922765968555,0.592442829096538
4,valence,0.09843529888251258,0.592442829096538
4,emotion,0.09799030583183996,0.592442829096538
4,interoception,0.09379885744659656,0.592442829096538
4,disgust,0.09206771932997064,0.592442829096538
4,context,0.09132368966657296,0.592442829096538
4,pain,0.08915628209972559,0.592442829096538
4,error_detection,0.08882572042817763,0.592442829096538
4,decision_making,0.08876956798890195,0.592442829096538
4,empathy,0.08849629033183964,0.592442829096538
4,cognitive_process,0.08645098584258787,0.592442829096538
4,reaction_time,0.08513564211274607,0.592442829096538
4,cognitive_control,0.08497794911975086,0.592442829096538
4,language,0.08466013609496352,0.592442829096538
4,salience,0.08453968391484662,0.592442829096538
4,word,0.08262311464802301,0.592442829096538
4,strategy,0.08199291666639294,0.592442829096538
4,expectancy,0.08127624029916691,0.592442829096538
4,semantic_processing,0.08037931919789039,0.592442829096538
4,language_processing,0.07820968578980306,0.592442829096538
4,judgment,0.0778372473691833,0.592442829096538
5,speech,0.2678149166074398,0.6570085308313538
5,hearing,0.24969964980850345,0.6570085308313538
5,listening,0.2455327936099311,0.6570085308313538
5,speech_perception,0.2437907796244631,0.6570085308313538
5,speech_processing,0.24106318114607886,0.6570085308313538
5,language,0.19390967113883506,0.6570085308313538
5,tone,0.1770054869318069,0.6570085308313538
5,language_processing,0.17573555883418412,0.6570085308313538
6,semantic_processing,0.193987356432053,0.6390208488609328
6,language,0.18988216634067615,0.6390208488609328
6,word,0.1871903979967028,0.6390208488609328
6,semantics,0.17147357792727186,0.6390208488609328
6,language_processing,0.16674107401160676,0.6390208488609328
6,reading,0.15856100636927528,0.6390208488609328
6,meaning,0.15508423475809885,0.6390208488609328
6,phonology,0.14927354530240114,0.6390208488609328
6,naming,0.14917741518128236,0.6390208488609328
6,recognition,0.14725248875345515,0.6390208488609328
6,semantic_information,0.1427510198386251,0.6390208488609328
6,familiarity,0.14193909183883874,0.6390208488609328
7,motor_control,0.13409126458258294,0.5783342181746367
7,movement,0.11246531448298708,0.5783342181746367
7,motor_learning,0.11132113642537923,0.5783342181746367
7,execution,0.11011500264725564,0.5783342181746367
7,coordination,0.08957903886763276,0.5783342181746367
7,motor_sequence_learning,0.08209866426220941,0.5783342181746367
7,arm,0.07814233820717956,0.5783342181746367
8,memory,0.09102916480423187,0.557705823031224
8,declarative_memory,0.07648238892904356,0.557705823031224
8,episodic_memory,0.07368236212628541,0.557705823031224
8,recognition_memory,0.0725609841560359,0.557705823031224
8,episodic_simulation,0.07154895391808434,0.557705823031224
8,recall,0.06825330384043682,0.557705823031224
8,recognition,0.06692028842160741,0.557705823031224
8,autobiographical_memory,0.06387200179383437,0.557705823031224
9,working_memory,0.16573482991831914,0.6209029598381286
9,rehearsal,0.13681605874142755,0.6209029598381286
9,manipulation,0.1346440341718957,0.6209029598381286
9,execution,0.133358303326349,0.6209029598381286
9,reaction_time,0.13205898513942615,0.6209029598381286
