CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,TITLE
1,emotion,0.12640781137467347,0.5731629623889829,EMOTION,Emotion
1,fear,0.09287900348462066,0.5731629623889829,EMOTION,Emotion
1,arousal,0.09225658462777772,0.5731629623889829,EMOTION,Emotion
1,theory_mind,0.08994009098901734,0.5731629623889829,EMOTION,Emotion
1,sadness,0.08943277257753422,0.5731629623889829,EMOTION,Emotion
1,valence,0.08942271679876794,0.5731629623889829,EMOTION,Emotion
1,facial_expression,0.08926144963356801,0.5731629623889829,EMOTION,Emotion
1,disgust,0.08665401760749318,0.5731629623889829,EMOTION,Emotion
1,empathy,0.0861536098178203,0.5731629623889829,EMOTION,Emotion
1,speech,0.08349025571067356,0.5731629623889829,EMOTION,Emotion
1,negative_emotion,0.08159988849093455,0.5731629623889829,EMOTION,Emotion
1,language,0.08156563769057745,0.5731629623889829,EMOTION,Emotion
1,language_processing,0.08091846625762572,0.5731629623889829,EMOTION,Emotion
1,happiness,0.07862794768613396,0.5731629623889829,EMOTION,Emotion
1,prosody,0.07763167757814174,0.5731629623889829,EMOTION,Emotion
1,narrative,0.07753567636683954,0.5731629623889829,EMOTION,Emotion
1,social_cognition,0.07437594880788963,0.5731629623889829,EMOTION,Emotion
1,autobiographical_memory,0.07354578554104249,0.5731629623889829,EMOTION,Emotion
1,semantic_processing,0.07262514207192243,0.5731629623889829,EMOTION,Emotion
1,listening,0.07224572928118546,0.5731629623889829,EMOTION,Emotion
1,speech_processing,0.06868371247326653,0.5731629623889829,EMOTION,Emotion
1,syntax,0.0672319886835793,0.5731629623889829,EMOTION,Emotion
1,language_comprehension,0.06530564607827928,0.5731629623889829,EMOTION,Emotion
1,theory_mind_task,0.06529382086828571,0.5731629623889829,EMOTION,Emotion
1,semantic_memory,0.0630198523485668,0.5731629623889829,EMOTION,Emotion
2,hand,0.2102519168256541,0.6245921660237461,EXECUTION,Execution
2,execution,0.20450468488557969,0.6245921660237461,EXECUTION,Execution
2,movement,0.18733073303438647,0.6245921660237461,EXECUTION,Execution
2,grasping,0.14909466591370552,0.6245921660237461,EXECUTION,Execution
2,arm,0.14754027083679072,0.6245921660237461,EXECUTION,Execution
2,motor_control,0.14329111631969865,0.6245921660237461,EXECUTION,Execution
2,grasp,0.13574503290334106,0.6245921660237461,EXECUTION,Execution
2,representation,0.13006103266631672,0.6245921660237461,EXECUTION,Execution
2,motor_planning,0.12511608471394695,0.6245921660237461,EXECUTION,Execution
2,action,0.122405532041885,0.6245921660237461,EXECUTION,Execution
2,object_manipulation,0.1184742414573616,0.6245921660237461,EXECUTION,Execution
2,motor_learning,0.11224722176824713,0.6245921660237461,EXECUTION,Execution
2,move,0.111832931711938,0.6245921660237461,EXECUTION,Execution
2,rehearsal,0.11083978896169636,0.6245921660237461,EXECUTION,Execution
2,preparation,0.11021345254988148,0.6245921660237461,EXECUTION,Execution
2,planning,0.10950961090789546,0.6245921660237461,EXECUTION,Execution
2,imagination,0.10874652707732782,0.6245921660237461,EXECUTION,Execution
2,motor_program,0.1069284648944113,0.6245921660237461,EXECUTION,Execution
2,spatial_attention,0.1049713191919657,0.6245921660237461,EXECUTION,Execution
2,foot,0.1015038637273538,0.6245921660237461,EXECUTION,Execution
2,imagery,0.09974548421475526,0.6245921660237461,EXECUTION,Execution
2,coordination,0.09920107948228424,0.6245921660237461,EXECUTION,Execution
2,manipulation,0.09691005909476902,0.6245921660237461,EXECUTION,Execution
3,execution,0.14291309552852802,0.6169203046877085,VISION,Vision
