ORDER,DOMAIN,TOKEN,SOURCE,DISTANCE,SIMILARITY
0,NEGATIVE_VALENCE,avoidance,RDoC,0.24731976355290464,0.7526802364470954
0,NEGATIVE_VALENCE,threat,RDoC,0.280855703569161,0.719144296430839
0,NEGATIVE_VALENCE,anxiety,RDoC,0.2859926712536335,0.7140073287463665
0,NEGATIVE_VALENCE,aggression,RDoC,0.3462216666838437,0.6537783333161563
0,NEGATIVE_VALENCE,rumination,RDoC,0.37032996593561696,0.629670034064383
0,NEGATIVE_VALENCE,worry,RDoC,0.37315316206884075,0.6268468379311593
0,NEGATIVE_VALENCE,reactivity,Lexicon,0.37575534879798844,0.6242446512020116
0,NEGATIVE_VALENCE,anger,Lexicon,0.38014583186956485,0.6198541681304351
0,NEGATIVE_VALENCE,emotional_reactivity,Lexicon,0.38585751755302566,0.6141424824469743
0,NEGATIVE_VALENCE,frustration,RDoC,0.3932538217740774,0.6067461782259226
0,NEGATIVE_VALENCE,fear,RDoC,0.39622279425427487,0.6037772057457251
0,NEGATIVE_VALENCE,irritability,Lexicon,0.4298707132099656,0.5701292867900344
0,NEGATIVE_VALENCE,stress,Lexicon,0.4430580780100766,0.5569419219899234
0,NEGATIVE_VALENCE,negative_emotion,Lexicon,0.44462038819884053,0.5553796118011595
0,NEGATIVE_VALENCE,trait_anxiety,Lexicon,0.44540051409478654,0.5545994859052135
0,NEGATIVE_VALENCE,anhedonia,RDoC,0.45248244454174325,0.5475175554582568
0,NEGATIVE_VALENCE,selfesteem,Lexicon,0.4656564588189296,0.5343435411810704
0,NEGATIVE_VALENCE,guilt,RDoC,0.4669425873383606,0.5330574126616394
0,NEGATIVE_VALENCE,attentional_bias,RDoC,0.46943159299528736,0.5305684070047126
0,NEGATIVE_VALENCE,mood,Lexicon,0.47267715942525546,0.5273228405747445
0,NEGATIVE_VALENCE,temperament,Lexicon,0.4774751575637848,0.5225248424362152
0,NEGATIVE_VALENCE,behavioral_inhibition,Lexicon,0.48122036308635663,0.5187796369136434
0,NEGATIVE_VALENCE,induction,Lexicon,0.4813848782978618,0.5186151217021382
0,NEGATIVE_VALENCE,neuroticism,Lexicon,0.48222341682545766,0.5177765831745423
0,NEGATIVE_VALENCE,disgust,Lexicon,0.4852410964270303,0.5147589035729697
1,POSITIVE_VALENCE,reward,RDoC,0.13526346313988424,0.8647365368601158
1,POSITIVE_VALENCE,reward_learning,RDoC,0.2559096575689741,0.7440903424310259
1,POSITIVE_VALENCE,reward_processing,Lexicon,0.27583588699091555,0.7241641130090845
1,POSITIVE_VALENCE,reward_response,RDoC,0.29747640878922954,0.7025235912107705
1,POSITIVE_VALENCE,reward_anticipation,RDoC,0.3049938427799339,0.6950061572200661
1,POSITIVE_VALENCE,anticipation,RDoC,0.32456061819847026,0.6754393818015297
1,POSITIVE_VALENCE,response_reward,RDoC,0.33110304530908286,0.6688969546909171
1,POSITIVE_VALENCE,prediction_error,RDoC,0.34946215497167854,0.6505378450283215
1,POSITIVE_VALENCE,valuation,RDoC,0.35746824139539624,0.6425317586046038
1,POSITIVE_VALENCE,reward_prediction_error,RDoC,0.3681851533046617,0.6318148466953383
1,POSITIVE_VALENCE,avoidance,Lexicon,0.40911301909878095,0.590886980901219
1,POSITIVE_VALENCE,reinforcement_learning,RDoC,0.4158475491345831,0.5841524508654169
1,POSITIVE_VALENCE,decision_making,Lexicon,0.41665155999705294,0.583348440002947
1,POSITIVE_VALENCE,feedback,Lexicon,0.4388307036988536,0.5611692963011464
1,POSITIVE_VALENCE,loss_anticipation,Lexicon,0.4467824853206043,0.5532175146793957
1,POSITIVE_VALENCE,intertemporal_choice,Lexicon,0.44823862864874797,0.551761371351252
1,POSITIVE_VALENCE,gambling_task,Lexicon,0.4598738688137156,0.5401261311862844
