CLUSTER,TOKEN,R,SIMILARITY
1,memory,0.7486946380158939,0.9187535420266968
1,retrieval,0.6450969065807083,0.8893717054117152
1,episodic_memory,0.6319416980977822,0.8411981654203463
1,encoding,0.6303805621902536,0.8796812686142671
1,recognition_memory,0.6218584517052721,0.8101944840483871
1,remembering,0.600269787505368,0.7109689873475213
1,memory_retrieval,0.5470532751932742,0.8084992411976046
1,recall,0.523470682653329,0.8121487810874005
1,recognition,0.482597691984342,0.787356726729274
1,longterm_memory,0.4657866093151748,0.79497395914472
1,encoding_task,0.4645758872385982,0.6791018076182461
1,declarative_memory,0.4601665959920698,0.7117702823647087
1,forgetting,0.4591873546912259,0.6497911019065629
1,source_memory,0.4548041123497083,0.72521826767135
1,familiarity,0.4495034862184685,0.6874838729905058
1,free_recall,0.4229493370140097,0.6836380704143438
1,memory_process,0.4172580794696911,0.7180214540644021
1,consolidation,0.3610908417968678,0.6857961990370037
1,memory_trace,0.357453429800088,0.5847081451338495
1,retrieval_cue,0.3527637646613593,0.5720574025033911
1,explicit_memory,0.34859292312853807,0.6793008052624976
1,memory_function,0.3480140562482593,0.5806569130221553
1,retention,0.34340252120702275,0.6016280503739689
1,memory_consolidation,0.3394011009611833,0.5971729268979098
1,spatial_memory,0.32853248175809524,0.6384037318823467
2,working_memory,0.5554737537999936,0.8190867890404466
2,executive_function,0.4843483313727682,0.7677836110586753
2,cognitive,0.46909997881562693,0.7459254426985797
2,cognitive_control,0.4630302585963534,0.8198418447848121
2,response_inhibition,0.4294550391768858,0.780937151182068
2,interference,0.4217014613012605,0.8033285428080132
2,stroop,0.3825474718947812,0.7083425222418178
2,stroop_task,0.3790365840843396,0.7337097811146166
2,maintenance,0.3757917513451433,0.6502701866080587
2,task_switching,0.36786205924421367,0.7031052438138772
2,attention,0.3638727253596892,0.7144812379423777
2,reaction_time,0.35604718240917455,0.6240596533407008
2,response_selection,0.3515218275901161,0.7464772958686469
2,monitoring,0.3474756111316231,0.6702774665481362
2,cognitive_process,0.3469438380345532,0.7217614686652566
2,inhibition,0.3367802035531142,0.7432060786777028
2,gonogo_task,0.33279325389583225,0.7096363582116891
2,gonogo,0.33139513626515954,0.6500338871009995
2,error_detection,0.33096194534926915,0.5436860733386555
2,nback_task,0.3273683386113248,0.6579981227740339
2,cognitive_function,0.32530052725086644,0.6090651812839933
2,resource,0.31841421156466254,0.5910492231248661
2,spatial_working_memory,0.3179120163581187,0.5761128334132241
2,nback,0.3171664687932826,0.6151633383384942
2,taskswitching,0.3062220053342587,0.698985890395101
3,language,0.7667751793605214,0.8410626784275729
3,word,0.6628748000027407,0.7788914581756604
3,semantic_processing,0.6350257713230836,0.7821011805575769
3,language_processing,0.6286049628455825,0.8211362320977337
3,phonology,0.6249566790170911,0.8013611967786006
3,semantics,0.6190896839335309,0.7972884793742117
3,reading,0.6015373010293825,0.7988127750696045
3,phonological_processing,0.5963927432041727,0.7952379465572114
3,speech,0.5801898537326439,0.7665551083894341
3,language_comprehension,0.5408108512135734,0.7279326129791314
3,syllable,0.5396347414718445,0.6518590219679387
3,pseudowords,0.5275352840742561,0.7115884575490103
3,naming,0.5167975430058376,0.7054771085785554
3,lexicon,0.5083257298189565,0.6413676449202032
3,sentence_processing,0.5056668913179798,0.7197776261092406
3,sentence_comprehension,0.505424880320716,0.6837635678901574
3,word_recognition,0.5023300598859137,0.71400702255559
3,lexical_access,0.482850764770717,0.6798319206624545
3,speech_production,0.4759123346452213,0.7469423199424264
3,syntax,0.4657057828791,0.6976045846767019
3,speech_perception,0.46160579949683,0.7032757215605202
3,speech_processing,0.4595914983078547,0.6457056639451769
3,orthography,0.45782546520169065,0.695952227079284
3,articulation,0.4572825121843246,0.6928709314436984
