,PMID,SPLIT,DOMAIN,OBSERVED
0,8656296,discovery,MEMORY,0.2909090909090909
1,8893004,discovery,MEMORY,0.2622950819672131
2,9108115,discovery,MEMORY,0.32558139534883723
3,9228523,discovery,MEMORY,0.36585365853658536
4,9412517,discovery,MEMORY,0.5283018867924528
5,9430507,discovery,MEMORY,0.18604651162790697
6,9648549,discovery,MEMORY,0.3076923076923077
7,9740761,discovery,MEMORY,0.5205479452054795
8,10195224,discovery,MEMORY,0.6779661016949152
9,10318979,discovery,MEMORY,0.32258064516129037
10,10355673,discovery,MEMORY,0.4
11,10468630,discovery,MEMORY,0.36363636363636365
12,10594068,discovery,MEMORY,0.3291139240506329
13,10600999,discovery,MEMORY,0.430379746835443
14,10639399,discovery,MEMORY,0.27450980392156865
15,10643726,discovery,MEMORY,0.2682926829268293
16,10683827,discovery,MEMORY,0.40625
17,10694462,discovery,MEMORY,0.4347826086956522
18,10858628,discovery,MEMORY,0.13636363636363635
19,10869585,discovery,MEMORY,0.46875
20,10959525,discovery,MEMORY,0.2696629213483146
21,11239901,discovery,MEMORY,0.5283018867924528
22,11353732,discovery,MEMORY,0.4545454545454546
23,11467919,discovery,MEMORY,0.2432432432432432
24,11493699,discovery,MEMORY,0.2857142857142857
25,11522264,discovery,MEMORY,0.36363636363636365
26,11856537,discovery,MEMORY,0.36363636363636365
27,11906703,discovery,MEMORY,0.38596491228070173
28,12111339,discovery,MEMORY,0.24561403508771928
29,12145327,discovery,MEMORY,0.48484848484848486
30,12395388,discovery,MEMORY,0.3555555555555555
31,12395390,discovery,MEMORY,0.3561643835616438
32,12401549,discovery,MEMORY,0.2666666666666667
33,12450947,discovery,MEMORY,0.3291139240506329
34,12454910,discovery,MEMORY,0.3697478991596639
35,12507690,discovery,MEMORY,0.4482758620689655
36,12559653,discovery,MEMORY,0.28
37,12566286,discovery,MEMORY,0.4035087719298246
38,12595193,discovery,MEMORY,0.33766233766233766
39,12667843,discovery,MEMORY,0.360655737704918
40,12757906,discovery,MEMORY,0.1923076923076923
41,12821520,discovery,MEMORY,0.4776119402985075
42,12873392,discovery,MEMORY,0.360655737704918
43,12880904,discovery,MEMORY,0.30952380952380953
44,14527572,discovery,MEMORY,0.2828282828282829
45,14531584,discovery,MEMORY,0.5333333333333333
46,14568451,discovery,MEMORY,0.33333333333333337
47,14585491,discovery,MEMORY,0.360655737704918
48,14625149,discovery,MEMORY,0.3508771929824561
49,14642483,discovery,MEMORY,0.33333333333333337
50,14643096,discovery,MEMORY,0.2666666666666667
51,14741673,discovery,MEMORY,0.34375
52,14758364,discovery,MEMORY,0.5573770491803278
53,14980569,discovery,MEMORY,0.2666666666666667
54,15038994,discovery,MEMORY,0.4444444444444444
55,15050549,discovery,MEMORY,0.3076923076923077
56,15084488,discovery,MEMORY,0.3943661971830986
57,15157428,discovery,MEMORY,0.4137931034482759
58,15169855,discovery,MEMORY,0.3287671232876712
59,15193617,discovery,MEMORY,0.40601503759398494
60,15196652,discovery,MEMORY,0.2945736434108527
61,15275919,discovery,MEMORY,0.29850746268656714
62,15473974,discovery,MEMORY,0.33333333333333337
63,15477872,discovery,MEMORY,0.3157894736842105
64,15488301,discovery,MEMORY,0.4
65,15488397,discovery,MEMORY,0.3380281690140845
66,15494727,discovery,MEMORY,0.27956989247311825
67,15528087,discovery,MEMORY,0.2666666666666667
68,15537894,discovery,MEMORY,0.4675324675324676
69,15558065,discovery,MEMORY,0.34090909090909094
70,15589112,discovery,MEMORY,0.31034482758620685
71,15597038,discovery,MEMORY,0.18867924528301883
72,15597043,discovery,MEMORY,0.5614035087719298
73,15627581,discovery,MEMORY,0.42553191489361697
74,15664795,discovery,MEMORY,0.30000000000000004
75,15691520,discovery,MEMORY,0.27586206896551724
76,15701221,discovery,MEMORY,0.40384615384615385
77,15721179,discovery,MEMORY,0.42592592592592593
78,15737660,discovery,MEMORY,0.4285714285714286
79,15808978,discovery,MEMORY,0.2727272727272727
80,15850721,discovery,MEMORY,0.1923076923076923
81,15927485,discovery,MEMORY,0.6857142857142857
82,15935259,discovery,MEMORY,0.2857142857142857
83,15935262,discovery,MEMORY,0.36923076923076925
84,15993537,discovery,MEMORY,0.339622641509434
85,16000636,discovery,MEMORY,0.24561403508771928
86,16044172,discovery,MEMORY,0.23809523809523814
87,16046064,discovery,MEMORY,0.37037037037037035
88,16051501,discovery,MEMORY,0.4657534246575342
89,16078183,discovery,MEMORY,0.3076923076923077
90,16133128,discovery,MEMORY,0.3669724770642202
91,16143899,discovery,MEMORY,0.16000000000000003
92,16226349,discovery,MEMORY,0.3595505617977528
93,16246595,discovery,MEMORY,0.3137254901960784
94,16251504,discovery,MEMORY,0.16666666666666663
95,16300967,discovery,MEMORY,0.35443037974683544
96,16303318,discovery,MEMORY,0.3697478991596639
97,16339042,discovery,MEMORY,0.375
98,16377154,discovery,MEMORY,0.5555555555555556
99,16399218,discovery,MEMORY,0.4477611940298507
100,16412236,discovery,MEMORY,0.47457627118644063
101,16414281,discovery,MEMORY,0.34285714285714286
102,16458860,discovery,MEMORY,0.4031007751937985
103,16460693,discovery,MEMORY,0.2545454545454545
104,16460697,discovery,MEMORY,0.41509433962264153
105,16487943,discovery,MEMORY,0.43333333333333335
106,16510734,discovery,MEMORY,0.42105263157894735
107,16551984,discovery,MEMORY,0.4337349397590361
108,16581168,discovery,MEMORY,0.4225352112676056
109,16640486,discovery,MEMORY,0.2807017543859649
110,16704749,discovery,MEMORY,0.30000000000000004
111,16725214,discovery,MEMORY,0.4383561643835616
112,16790655,discovery,MEMORY,0.29508196721311475
113,16859420,discovery,MEMORY,0.38167938931297707
114,16880131,discovery,MEMORY,0.42105263157894735
115,16942757,discovery,MEMORY,0.2857142857142857
116,16957073,discovery,MEMORY,0.3584905660377359
117,16963565,discovery,MEMORY,0.5925925925925926
118,17027783,discovery,MEMORY,0.2542372881355932
119,17126910,discovery,MEMORY,0.367816091954023
120,17188251,discovery,MEMORY,0.24
121,17204823,discovery,MEMORY,0.4077669902912622
122,17210138,discovery,MEMORY,0.3875968992248062
123,17211439,discovery,MEMORY,0.2962962962962963
124,17217927,discovery,MEMORY,0.2894736842105263
125,17251241,discovery,MEMORY,0.33333333333333337
126,17280522,discovery,MEMORY,0.4719101123595506
127,17288648,discovery,MEMORY,0.28985507246376807
128,17290372,discovery,MEMORY,0.2727272727272727
129,17306771,discovery,MEMORY,0.24489795918367352
130,17339967,discovery,MEMORY,0.4132231404958677
131,17376704,discovery,MEMORY,0.2909090909090909
132,17390317,discovery,MEMORY,0.3119266055045872
133,17408704,discovery,MEMORY,0.43243243243243246
134,17434455,discovery,MEMORY,0.4
135,17505465,discovery,MEMORY,0.2222222222222222
136,17525984,discovery,MEMORY,0.3508771929824561
137,17543896,discovery,MEMORY,0.41025641025641024
138,17579718,discovery,MEMORY,0.32183908045977017
139,17604009,discovery,MEMORY,0.4
140,17604351,discovery,MEMORY,0.576271186440678
141,17615247,discovery,MEMORY,0.3308270676691729
142,17644222,discovery,MEMORY,0.3529411764705882
143,17676059,discovery,MEMORY,0.430379746835443
144,17688985,discovery,MEMORY,0.3380281690140845
145,17712410,discovery,MEMORY,0.26415094339622647
146,17767510,discovery,MEMORY,0.4666666666666667
147,17845909,discovery,MEMORY,0.31007751937984496
148,17905600,discovery,MEMORY,0.3561643835616438
149,17915264,discovery,MEMORY,0.38235294117647056
150,17964185,discovery,MEMORY,0.34090909090909094
151,17967171,discovery,MEMORY,0.3188405797101449
152,17993209,discovery,MEMORY,0.641025641025641
153,18039046,discovery,MEMORY,0.46875
154,18055028,discovery,MEMORY,0.30379746835443033
155,18056697,discovery,MEMORY,0.2857142857142857
156,18181882,discovery,MEMORY,0.34615384615384615
157,18241895,discovery,MEMORY,0.32098765432098764
158,18256251,discovery,MEMORY,0.13636363636363635
159,18261930,discovery,MEMORY,0.30508474576271183
160,18295746,discovery,MEMORY,0.3529411764705882
161,18308706,discovery,MEMORY,0.32432432432432434
162,18308711,discovery,MEMORY,0.2666666666666667
163,18310578,discovery,MEMORY,0.38961038961038963
164,18321537,discovery,MEMORY,0.45783132530120485
165,18323572,discovery,MEMORY,0.36923076923076925
166,18374902,discovery,MEMORY,0.4545454545454546
167,18375529,discovery,MEMORY,0.39583333333333337
168,18385483,discovery,MEMORY,0.36923076923076925
169,18445024,discovery,MEMORY,0.38596491228070173
170,18455740,discovery,MEMORY,0.43137254901960786
171,18479717,discovery,MEMORY,0.4
172,18486975,discovery,MEMORY,0.37777777777777777
173,18490926,discovery,MEMORY,0.3829787234042553
174,18562616,discovery,MEMORY,0.25
175,18564045,discovery,MEMORY,0.3661971830985915
176,18675364,discovery,MEMORY,0.42500000000000004
177,18760691,discovery,MEMORY,0.35
178,18786570,discovery,MEMORY,0.20895522388059706
179,18823232,discovery,MEMORY,0.31034482758620685
180,18838100,discovery,MEMORY,0.37142857142857144
181,18854439,discovery,MEMORY,0.23333333333333328
182,18855557,discovery,MEMORY,0.37254901960784315
183,18922517,discovery,MEMORY,0.19999999999999996
184,18938199,discovery,MEMORY,0.24137931034482762
185,19008895,discovery,MEMORY,0.33333333333333337
186,19015094,discovery,MEMORY,0.34782608695652173
187,19036981,discovery,MEMORY,0.4193548387096774
188,19046394,discovery,MEMORY,0.28125
189,19058793,discovery,MEMORY,0.10256410256410253
190,19084220,discovery,MEMORY,0.4117647058823529
191,19126572,discovery,MEMORY,0.2666666666666667
192,19151375,discovery,MEMORY,0.32499999999999996
193,19190042,discovery,MEMORY,0.3733333333333333
194,19223437,discovery,MEMORY,0.3513513513513513
195,19232481,discovery,MEMORY,0.5
196,19281849,discovery,MEMORY,0.44999999999999996
197,19321317,discovery,MEMORY,0.17391304347826086
198,19349235,discovery,MEMORY,0.4337349397590361
199,19351572,discovery,MEMORY,0.19999999999999996
200,19386635,discovery,MEMORY,0.42105263157894735
201,19386910,discovery,MEMORY,0.4716981132075472
202,19427530,discovery,MEMORY,0.45945945945945943
203,19428403,discovery,MEMORY,0.23880597014925375
204,19501653,discovery,MEMORY,0.3157894736842105
205,19556348,discovery,MEMORY,0.43137254901960786
206,19560133,discovery,MEMORY,0.5352112676056338
207,19606493,discovery,MEMORY,0.24
208,19632208,discovery,MEMORY,0.43333333333333335
209,19641623,discovery,MEMORY,0.3448275862068966
210,19645904,discovery,MEMORY,0.25
211,19650816,discovery,MEMORY,0.3571428571428571
212,19679112,discovery,MEMORY,0.32608695652173914
213,19683582,discovery,MEMORY,0.2692307692307693
214,19707785,discovery,MEMORY,0.2680412371134021
215,19748076,discovery,MEMORY,0.3928571428571429
216,19786107,discovery,MEMORY,0.576271186440678
217,19826083,discovery,MEMORY,0.38888888888888884
218,19833484,discovery,MEMORY,0.2666666666666667
219,19878929,discovery,MEMORY,0.20408163265306123
220,19904802,discovery,MEMORY,0.2978723404255319
221,19945471,discovery,MEMORY,0.4444444444444444
222,19948228,discovery,MEMORY,0.19999999999999996
223,20004726,discovery,MEMORY,0.24242424242424243
224,20007783,discovery,MEMORY,0.4482758620689655
225,20018180,discovery,MEMORY,0.3448275862068966
226,20036336,discovery,MEMORY,0.4
227,20060911,discovery,MEMORY,0.4776119402985075
228,20089812,discovery,MEMORY,0.360655737704918
229,20123031,discovery,MEMORY,0.3508771929824561
230,20132802,discovery,MEMORY,0.24
231,20156568,discovery,MEMORY,0.360655737704918
232,20157009,discovery,MEMORY,0.5161290322580645
233,20227458,discovery,MEMORY,0.30000000000000004
234,20368706,discovery,MEMORY,0.40816326530612246
235,20420766,discovery,MEMORY,0.4329896907216495
236,20446172,discovery,MEMORY,0.2222222222222222
237,20452398,discovery,MEMORY,0.2592592592592593
238,20463193,discovery,MEMORY,0.13636363636363635
239,20483373,discovery,MEMORY,0.2909090909090909
240,20483375,discovery,MEMORY,0.13953488372093026
241,20484643,discovery,MEMORY,0.45614035087719296
242,20510373,discovery,MEMORY,0.32258064516129037
243,20521852,discovery,MEMORY,0.36363636363636365
244,20525743,discovery,MEMORY,0.2647058823529411
245,20542121,discovery,MEMORY,0.4918032786885246
246,20572197,discovery,MEMORY,0.18604651162790697
247,20599362,discovery,MEMORY,0.3414634146341463
248,20602430,discovery,MEMORY,0.34375
249,20633662,discovery,MEMORY,0.27184466019417475
250,20634303,discovery,MEMORY,0.3013698630136986
251,20637290,discovery,MEMORY,0.5217391304347826
252,20668196,discovery,MEMORY,0.25806451612903225
253,20688877,discovery,MEMORY,0.3548387096774194
254,20703221,discovery,MEMORY,0.38235294117647056
255,20708906,discovery,MEMORY,0.26865671641791045
256,20804848,discovery,MEMORY,0.24691358024691357
257,20807058,discovery,MEMORY,0.46153846153846156
258,20809213,discovery,MEMORY,0.40816326530612246
259,20820793,discovery,MEMORY,0.2692307692307693
260,20864126,discovery,MEMORY,0.19512195121951215
261,20932721,discovery,MEMORY,0.16666666666666663
262,20946960,discovery,MEMORY,0.29702970297029707
263,20957158,discovery,MEMORY,0.29885057471264365
264,20964961,discovery,MEMORY,0.21276595744680848
265,20974959,discovery,MEMORY,0.31999999999999995
266,21030482,discovery,MEMORY,0.20408163265306123
267,21077137,discovery,MEMORY,0.26262626262626265
268,21078303,discovery,MEMORY,0.3870967741935484
269,21088708,discovery,MEMORY,0.2702702702702703
270,21130141,discovery,MEMORY,0.38596491228070173
271,21159973,discovery,MEMORY,0.28
272,21220074,discovery,MEMORY,0.4
273,21254802,discovery,MEMORY,0.35820895522388063
274,21259387,discovery,MEMORY,0.5185185185185186
275,21264642,discovery,MEMORY,0.2727272727272727
276,21264651,discovery,MEMORY,0.28915662650602414
277,21284912,discovery,MEMORY,0.42553191489361697
278,21330468,discovery,MEMORY,0.303030303030303
279,21356267,discovery,MEMORY,0.3829787234042553
280,21382385,discovery,MEMORY,0.3870967741935484
281,21391264,discovery,MEMORY,0.2716049382716049
282,21406159,discovery,MEMORY,0.28
283,21425397,discovery,MEMORY,0.24561403508771928
284,21430147,discovery,MEMORY,0.28985507246376807
285,21436048,discovery,MEMORY,0.38888888888888884
286,21484952,discovery,MEMORY,0.31746031746031744
287,21494597,discovery,MEMORY,0.37681159420289856
288,21531077,discovery,MEMORY,0.2666666666666667
289,21531384,discovery,MEMORY,0.3380281690140845
290,21545724,discovery,MEMORY,0.24
291,21546094,discovery,MEMORY,0.275
292,21568639,discovery,MEMORY,0.36241610738255037
293,21589884,discovery,MEMORY,0.417910447761194
294,21609969,discovery,MEMORY,0.25806451612903225
295,21621549,discovery,MEMORY,0.5822784810126582
296,21677175,discovery,MEMORY,0.505050505050505
297,21677186,discovery,MEMORY,0.4
298,21722740,discovery,MEMORY,0.4
299,21764567,discovery,MEMORY,0.196078431372549
300,21768385,discovery,MEMORY,0.2857142857142857
301,21782246,discovery,MEMORY,0.196078431372549
302,21810986,discovery,MEMORY,0.41666666666666663
303,21820647,discovery,MEMORY,0.13636363636363635
304,21914483,discovery,MEMORY,0.5454545454545454
305,21924363,discovery,MEMORY,0.18604651162790697
306,21935483,discovery,MEMORY,0.44036697247706424
307,21938758,discovery,MEMORY,0.36363636363636365
308,21955457,discovery,MEMORY,0.24561403508771928
309,21957237,discovery,MEMORY,0.3492063492063492
310,21998038,discovery,MEMORY,0.3695652173913043
311,22019361,discovery,MEMORY,0.19999999999999996
312,22021653,discovery,MEMORY,0.23529411764705888
313,22037418,discovery,MEMORY,0.4
314,22042765,discovery,MEMORY,0.3157894736842105
315,22065863,discovery,MEMORY,0.3373493975903614
316,22140014,discovery,MEMORY,0.14634146341463417
317,22156722,discovery,MEMORY,0.42622950819672134
318,22161969,discovery,MEMORY,0.3302752293577982
319,22198970,discovery,MEMORY,0.6031746031746033
320,22216252,discovery,MEMORY,0.29850746268656714
321,22223852,discovery,MEMORY,0.1923076923076923
322,22230115,discovery,MEMORY,0.5208333333333333
323,22349799,discovery,MEMORY,0.4776119402985075
324,22378896,discovery,MEMORY,0.4
325,22398297,discovery,MEMORY,0.24242424242424243
326,22417223,discovery,MEMORY,0.4
327,22418015,discovery,MEMORY,0.46153846153846156
328,22446298,discovery,MEMORY,0.273972602739726
329,22470470,discovery,MEMORY,0.26415094339622647
330,22510724,discovery,MEMORY,0.2727272727272727
331,22564476,discovery,MEMORY,0.24137931034482762
332,22573677,discovery,MEMORY,0.3666666666666667
333,22586106,discovery,MEMORY,0.339622641509434
334,22634856,discovery,MEMORY,0.25806451612903225
335,22659107,discovery,MEMORY,0.34615384615384615
336,22691615,discovery,MEMORY,0.2823529411764706
337,22711879,discovery,MEMORY,0.29032258064516125
338,22716999,discovery,MEMORY,0.2978723404255319
339,22720021,discovery,MEMORY,0.27450980392156865
340,22787032,discovery,MEMORY,0.2692307692307693
341,22787051,discovery,MEMORY,0.2816901408450704
342,22791801,discovery,MEMORY,0.22535211267605637
343,22796982,discovery,MEMORY,0.49230769230769234
344,22807169,discovery,MEMORY,0.5588235294117647
345,22814368,discovery,MEMORY,0.3529411764705882
346,22840336,discovery,MEMORY,0.23728813559322037
347,22842813,discovery,MEMORY,0.375
348,22846335,discovery,MEMORY,0.6376811594202898
349,22854930,discovery,MEMORY,0.2777777777777778
350,22879350,discovery,MEMORY,0.42105263157894735
351,22902538,discovery,MEMORY,0.39622641509433965
352,22902992,discovery,MEMORY,0.22857142857142854
353,22956667,discovery,MEMORY,0.2692307692307693
354,22980226,discovery,MEMORY,0.16000000000000003
355,22981810,discovery,MEMORY,0.38235294117647056
356,22984460,discovery,MEMORY,0.3023255813953488
357,23026757,discovery,MEMORY,0.42105263157894735
358,23031250,discovery,MEMORY,0.23529411764705888
359,23041620,discovery,MEMORY,0.17391304347826086
360,23056309,discovery,MEMORY,0.31999999999999995
361,23056477,discovery,MEMORY,0.2727272727272727
362,23056533,discovery,MEMORY,0.2535211267605634
363,23071546,discovery,MEMORY,0.4225352112676056
364,23077042,discovery,MEMORY,0.28828828828828834
365,23137946,discovery,MEMORY,0.375
366,23149036,discovery,MEMORY,0.3529411764705882
367,23160815,discovery,MEMORY,0.31999999999999995
368,23174403,discovery,MEMORY,0.31707317073170727
369,23209643,discovery,MEMORY,0.23076923076923073
370,23301153,discovery,MEMORY,0.5306122448979591
371,23324559,discovery,MEMORY,0.2857142857142857
372,23346054,discovery,MEMORY,0.32183908045977017
373,23352831,discovery,MEMORY,0.17021276595744683
374,23382516,discovery,MEMORY,0.2784810126582279
375,23404748,discovery,MEMORY,0.42105263157894735
376,23436504,discovery,MEMORY,0.5818181818181818
