,PMID,SPLIT,DOMAIN,OBSERVED
0,8805836,discovery,MEMORY,0.23529411764705888
1,8893004,discovery,MEMORY,0.25396825396825395
2,9108115,discovery,MEMORY,0.31818181818181823
3,9412517,discovery,MEMORY,0.5185185185185186
4,9430507,discovery,MEMORY,0.18181818181818177
5,9740761,discovery,MEMORY,0.5135135135135135
6,10195224,discovery,MEMORY,0.6666666666666667
7,10220229,discovery,MEMORY,0.27450980392156865
8,10318979,discovery,MEMORY,0.32258064516129037
9,10355673,discovery,MEMORY,0.3939393939393939
10,10468630,discovery,MEMORY,0.3571428571428571
11,10594068,discovery,MEMORY,0.32098765432098764
12,10600999,discovery,MEMORY,0.430379746835443
13,10639399,discovery,MEMORY,0.28
14,10643726,discovery,MEMORY,0.2650602409638554
15,10683827,discovery,MEMORY,0.4
16,10694462,discovery,MEMORY,0.4285714285714286
17,10858628,discovery,MEMORY,0.13636363636363635
18,10869585,discovery,MEMORY,0.46875
19,10978709,discovery,MEMORY,0.36363636363636365
20,11172070,discovery,MEMORY,0.2912621359223301
21,11239901,discovery,MEMORY,0.5185185185185186
22,11276236,discovery,MEMORY,0.14634146341463417
23,11353732,discovery,MEMORY,0.47058823529411764
24,11493699,discovery,MEMORY,0.2666666666666667
25,11522264,discovery,MEMORY,0.36363636363636365
26,11856537,discovery,MEMORY,0.36363636363636365
27,11906703,discovery,MEMORY,0.3793103448275862
28,12145327,discovery,MEMORY,0.4776119402985075
29,12395388,discovery,MEMORY,0.367816091954023
30,12401549,discovery,MEMORY,0.2666666666666667
31,12450947,discovery,MEMORY,0.3291139240506329
32,12454910,discovery,MEMORY,0.37606837606837606
33,12507690,discovery,MEMORY,0.4482758620689655
34,12566286,discovery,MEMORY,0.4070796460176991
35,12595193,discovery,MEMORY,0.368421052631579
36,12667843,discovery,MEMORY,0.3548387096774194
37,12742672,discovery,MEMORY,0.33333333333333337
38,12757906,discovery,MEMORY,0.196078431372549
39,12821520,discovery,MEMORY,0.4776119402985075
40,12873392,discovery,MEMORY,0.3793103448275862
41,12880813,discovery,MEMORY,0.23076923076923073
42,12880904,discovery,MEMORY,0.3132530120481928
43,14527566,discovery,MEMORY,0.21276595744680848
44,14531584,discovery,MEMORY,0.5405405405405406
45,14585491,discovery,MEMORY,0.3492063492063492
46,14625149,discovery,MEMORY,0.3508771929824561
47,14643096,discovery,MEMORY,0.26086956521739135
48,14741673,discovery,MEMORY,0.3548387096774194
49,14758364,discovery,MEMORY,0.5573770491803278
50,14980569,discovery,MEMORY,0.2727272727272727
51,15038994,discovery,MEMORY,0.47058823529411764
52,15050549,discovery,MEMORY,0.3157894736842105
53,15084488,discovery,MEMORY,0.4
54,15157428,discovery,MEMORY,0.4285714285714286
55,15169855,discovery,MEMORY,0.32432432432432434
56,15193617,discovery,MEMORY,0.40909090909090906
57,15246451,discovery,MEMORY,0.09756097560975607
58,15275919,discovery,MEMORY,0.3076923076923077
59,15473974,discovery,MEMORY,0.3384615384615385
60,15477872,discovery,MEMORY,0.3214285714285714
61,15488301,discovery,MEMORY,0.3943661971830986
62,15488397,discovery,MEMORY,0.3380281690140845
63,15525806,discovery,MEMORY,0.2857142857142857
64,15528087,discovery,MEMORY,0.26086956521739135
65,15589112,discovery,MEMORY,0.31034482758620685
66,15597038,discovery,MEMORY,0.196078431372549
67,15597043,discovery,MEMORY,0.5517241379310345
68,15627581,discovery,MEMORY,0.4301075268817204
69,15664795,discovery,MEMORY,0.30508474576271183
70,15691520,discovery,MEMORY,0.2807017543859649
71,15701221,discovery,MEMORY,0.4077669902912622
72,15721179,discovery,MEMORY,0.4339622641509434
73,15737660,discovery,MEMORY,0.4137931034482759
74,15850721,discovery,MEMORY,0.2264150943396226
75,15927485,discovery,MEMORY,0.676056338028169
76,15935262,discovery,MEMORY,0.35820895522388063
77,15993537,discovery,MEMORY,0.36
78,16044172,discovery,MEMORY,0.2325581395348837
79,16046064,discovery,MEMORY,0.36363636363636365
80,16051501,discovery,MEMORY,0.4931506849315068
81,16154603,discovery,MEMORY,0.2666666666666667
82,16226349,discovery,MEMORY,0.3595505617977528
83,16246595,discovery,MEMORY,0.3137254901960784
84,16251504,discovery,MEMORY,0.16666666666666663
85,16300967,discovery,MEMORY,0.3846153846153846
86,16303318,discovery,MEMORY,0.3728813559322034
87,16339042,discovery,MEMORY,0.36734693877551017
88,16377154,discovery,MEMORY,0.5797101449275363
89,16399218,discovery,MEMORY,0.4545454545454546
90,16412236,discovery,MEMORY,0.47457627118644063
91,16414281,discovery,MEMORY,0.35036496350364965
92,16458860,discovery,MEMORY,0.4122137404580153
93,16460693,discovery,MEMORY,0.2545454545454545
94,16460697,discovery,MEMORY,0.40740740740740744
95,16487943,discovery,MEMORY,0.42622950819672134
96,16510734,discovery,MEMORY,0.4347826086956522
97,16551984,discovery,MEMORY,0.4337349397590361
98,16581168,discovery,MEMORY,0.4285714285714286
99,16640486,discovery,MEMORY,0.27586206896551724
100,16704749,discovery,MEMORY,0.31999999999999995
101,16725214,discovery,MEMORY,0.4383561643835616
102,16859420,discovery,MEMORY,0.3846153846153846
103,16880131,discovery,MEMORY,0.4137931034482759
104,16899037,discovery,MEMORY,0.2295081967213115
105,16942757,discovery,MEMORY,0.2807017543859649
106,16957073,discovery,MEMORY,0.38383838383838387
107,16963565,discovery,MEMORY,0.5925925925925926
108,16979268,discovery,MEMORY,0.2592592592592593
109,17042790,discovery,MEMORY,0.32432432432432434
110,17126910,discovery,MEMORY,0.39534883720930236
111,17182226,discovery,MEMORY,0.303030303030303
112,17204823,discovery,MEMORY,0.42000000000000004
113,17211439,discovery,MEMORY,0.2909090909090909
114,17217927,discovery,MEMORY,0.29333333333333333
115,17251241,discovery,MEMORY,0.3783783783783784
116,17280522,discovery,MEMORY,0.4772727272727273
117,17288648,discovery,MEMORY,0.303030303030303
118,17306771,discovery,MEMORY,0.2857142857142857
119,17339967,discovery,MEMORY,0.4444444444444444
120,17376704,discovery,MEMORY,0.2807017543859649
121,17390317,discovery,MEMORY,0.31775700934579443
122,17399959,discovery,MEMORY,0.2894736842105263
123,17408704,discovery,MEMORY,0.43243243243243246
124,17434455,discovery,MEMORY,0.39344262295081966
125,17525984,discovery,MEMORY,0.3571428571428571
126,17543896,discovery,MEMORY,0.4137931034482759
127,17581532,discovery,MEMORY,0.196078431372549
128,17604009,discovery,MEMORY,0.4375
129,17604351,discovery,MEMORY,0.5862068965517242
130,17644222,discovery,MEMORY,0.3529411764705882
131,17676059,discovery,MEMORY,0.430379746835443
132,17712410,discovery,MEMORY,0.26415094339622647
133,17767510,discovery,MEMORY,0.4719101123595506
134,17905600,discovery,MEMORY,0.3513513513513513
135,17915264,discovery,MEMORY,0.3939393939393939
136,17964185,discovery,MEMORY,0.34883720930232553
137,17967171,discovery,MEMORY,0.3529411764705882
138,17993209,discovery,MEMORY,0.6666666666666667
139,18039046,discovery,MEMORY,0.47619047619047616
140,18181882,discovery,MEMORY,0.34615384615384615
141,18207298,discovery,MEMORY,0.4054054054054054
142,18256251,discovery,MEMORY,0.1333333333333333
143,18261930,discovery,MEMORY,0.30000000000000004
144,18295746,discovery,MEMORY,0.339622641509434
145,18308706,discovery,MEMORY,0.32432432432432434
146,18308711,discovery,MEMORY,0.2807017543859649
147,18310578,discovery,MEMORY,0.3846153846153846
148,18321537,discovery,MEMORY,0.45783132530120485
149,18323572,discovery,MEMORY,0.37209302325581395
150,18374902,discovery,MEMORY,0.46153846153846156
151,18375529,discovery,MEMORY,0.39583333333333337
152,18385483,discovery,MEMORY,0.4126984126984127
153,18445024,discovery,MEMORY,0.38596491228070173
154,18455740,discovery,MEMORY,0.43137254901960786
155,18479717,discovery,MEMORY,0.40740740740740744
156,18486975,discovery,MEMORY,0.39534883720930236
157,18490926,discovery,MEMORY,0.3829787234042553
158,18564045,discovery,MEMORY,0.37142857142857144
159,18675364,discovery,MEMORY,0.430379746835443
160,18760691,discovery,MEMORY,0.345679012345679
161,18786570,discovery,MEMORY,0.23529411764705888
162,18823232,discovery,MEMORY,0.32727272727272727
163,18838100,discovery,MEMORY,0.3661971830985915
164,18854439,discovery,MEMORY,0.2295081967213115
