,PMID,SPLIT,DOMAIN,OBSERVED
0,10327898,discovery,DEPRESSIVE,0.23333333333333328
1,10327899,discovery,DEPRESSIVE,0.24489795918367352
2,10459395,discovery,DEPRESSIVE,0.18604651162790697
3,10651872,discovery,DEPRESSIVE,0.09523809523809523
4,10974961,discovery,DEPRESSIVE,0.4375
5,11058474,discovery,DEPRESSIVE,0.12765957446808507
6,11448368,discovery,DEPRESSIVE,0.22857142857142854
7,11681541,discovery,DEPRESSIVE,0.22580645161290325
8,11784801,discovery,DEPRESSIVE,0.0
9,11983183,discovery,DEPRESSIVE,0.33333333333333337
10,12063157,discovery,DEPRESSIVE,0.3111111111111111
11,12411267,discovery,DEPRESSIVE,0.19999999999999996
12,12427580,discovery,DEPRESSIVE,0.3098591549295775
13,12505803,discovery,DEPRESSIVE,0.2727272727272727
14,12606841,discovery,DEPRESSIVE,0.3414634146341463
15,12691791,discovery,DEPRESSIVE,0.2978723404255319
16,12694890,discovery,DEPRESSIVE,0.2666666666666667
17,12718866,discovery,DEPRESSIVE,0.0
18,12807408,discovery,DEPRESSIVE,0.25806451612903225
19,1402966,discovery,DEPRESSIVE,0.42105263157894735
20,14527566,discovery,DEPRESSIVE,0.0
21,14531584,discovery,DEPRESSIVE,0.32558139534883723
22,14584547,discovery,DEPRESSIVE,0.2068965517241379
23,14643096,discovery,DEPRESSIVE,0.26315789473684215
24,14699431,discovery,DEPRESSIVE,0.41666666666666663
25,14706428,discovery,DEPRESSIVE,0.26315789473684215
26,14980557,discovery,DEPRESSIVE,0.07999999999999996
27,14980569,discovery,DEPRESSIVE,0.3870967741935484
28,15219608,discovery,DEPRESSIVE,0.14035087719298245
29,15235232,discovery,DEPRESSIVE,0.41025641025641024
30,15240435,discovery,DEPRESSIVE,0.18181818181818177
31,15377745,discovery,DEPRESSIVE,0.368421052631579
32,15691520,discovery,DEPRESSIVE,0.2857142857142857
33,15691522,discovery,DEPRESSIVE,0.2682926829268293
34,15850737,discovery,DEPRESSIVE,0.20833333333333337
35,15921853,discovery,DEPRESSIVE,0.33333333333333337
36,15955496,discovery,DEPRESSIVE,0.30508474576271183
37,15993859,discovery,DEPRESSIVE,0.2535211267605634
38,16043331,discovery,DEPRESSIVE,0.3728813559322034
39,16227541,discovery,DEPRESSIVE,0.36363636363636365
40,16458263,discovery,DEPRESSIVE,0.4444444444444444
41,16460693,discovery,DEPRESSIVE,0.2222222222222222
42,16487943,discovery,DEPRESSIVE,0.30000000000000004
43,16704749,discovery,DEPRESSIVE,0.2823529411764706
44,16750298,discovery,DEPRESSIVE,0.24390243902439024
45,16880131,discovery,DEPRESSIVE,0.09523809523809523
46,16899037,discovery,DEPRESSIVE,0.2325581395348837
47,16983390,discovery,DEPRESSIVE,0.3389830508474576
48,16996279,discovery,DEPRESSIVE,0.31999999999999995
49,17010993,discovery,DEPRESSIVE,0.19444444444444442
50,17012690,discovery,DEPRESSIVE,0.3529411764705882
51,17027931,discovery,DEPRESSIVE,0.32258064516129037
52,17182225,discovery,DEPRESSIVE,0.23076923076923073
53,17210143,discovery,DEPRESSIVE,0.33333333333333337
54,17217921,discovery,DEPRESSIVE,0.368421052631579
55,17217926,discovery,DEPRESSIVE,0.2727272727272727
56,17229578,discovery,DEPRESSIVE,0.2068965517241379
57,17260333,discovery,DEPRESSIVE,0.23529411764705888
58,17295616,discovery,DEPRESSIVE,0.15384615384615385
59,17350756,discovery,DEPRESSIVE,0.3529411764705882
60,17403973,discovery,DEPRESSIVE,0.34042553191489366
61,17412567,discovery,DEPRESSIVE,0.3055555555555556
62,17412610,discovery,DEPRESSIVE,0.1428571428571429
63,17473838,discovery,DEPRESSIVE,0.32258064516129037
64,17505465,discovery,DEPRESSIVE,0.2325581395348837
65,17547582,discovery,DEPRESSIVE,0.29268292682926833
66,17587554,discovery,DEPRESSIVE,0.34375
67,17627994,discovery,DEPRESSIVE,0.0
68,17681357,discovery,DEPRESSIVE,0.16666666666666663
69,17688985,discovery,DEPRESSIVE,0.2857142857142857
70,17707125,discovery,DEPRESSIVE,0.17142857142857137
71,17882232,discovery,DEPRESSIVE,0.2535211267605634
72,17955021,discovery,DEPRESSIVE,0.12903225806451613
73,17964185,discovery,DEPRESSIVE,0.25396825396825395
74,17973326,discovery,DEPRESSIVE,0.40909090909090906
75,18031826,discovery,DEPRESSIVE,0.3589743589743589
76,18068955,discovery,DEPRESSIVE,0.35
77,18207298,discovery,DEPRESSIVE,0.33333333333333337
78,18262704,discovery,DEPRESSIVE,0.1777777777777778
79,18364027,discovery,DEPRESSIVE,0.19512195121951215
80,18372048,discovery,DEPRESSIVE,0.3076923076923077
81,18440493,discovery,DEPRESSIVE,0.32432432432432434
82,18455373,discovery,DEPRESSIVE,0.23728813559322037
83,18579575,discovery,DEPRESSIVE,0.25
84,18586109,discovery,DEPRESSIVE,0.3571428571428571
85,18595740,discovery,DEPRESSIVE,0.27586206896551724
86,18601940,discovery,DEPRESSIVE,0.25
87,18635699,discovery,DEPRESSIVE,0.25263157894736843
88,18657587,discovery,DEPRESSIVE,0.303030303030303
89,18667293,discovery,DEPRESSIVE,0.1923076923076923
90,18674871,discovery,DEPRESSIVE,0.40909090909090906
91,18757979,discovery,DEPRESSIVE,0.24
92,18819988,discovery,DEPRESSIVE,0.11764705882352944
93,18837865,discovery,DEPRESSIVE,0.24137931034482762
94,18845172,discovery,DEPRESSIVE,0.13793103448275867
95,18930182,discovery,DEPRESSIVE,0.21621621621621623
96,19058792,discovery,DEPRESSIVE,0.24137931034482762
97,19064747,discovery,DEPRESSIVE,0.19672131147540983
98,19071144,discovery,DEPRESSIVE,0.17391304347826086
99,19081580,discovery,DEPRESSIVE,0.20833333333333337
100,19117277,discovery,DEPRESSIVE,0.2790697674418605
101,19162206,discovery,DEPRESSIVE,0.43243243243243246
102,19171077,discovery,DEPRESSIVE,0.25
103,19182175,discovery,DEPRESSIVE,0.29268292682926833
104,19239982,discovery,DEPRESSIVE,0.3555555555555555
105,19307251,discovery,DEPRESSIVE,0.34285714285714286
106,19339460,discovery,DEPRESSIVE,0.0
107,19349151,discovery,DEPRESSIVE,0.21276595744680848
108,19351572,discovery,DEPRESSIVE,0.4444444444444444
109,19351579,discovery,DEPRESSIVE,0.26415094339622647
110,19414043,discovery,DEPRESSIVE,0.1428571428571429
111,19426812,discovery,DEPRESSIVE,0.3076923076923077
112,19448846,discovery,DEPRESSIVE,0.3589743589743589
113,19524048,discovery,DEPRESSIVE,0.0714285714285714
114,19539268,discovery,DEPRESSIVE,0.25806451612903225
115,19596037,discovery,DEPRESSIVE,0.3076923076923077
116,19617860,discovery,DEPRESSIVE,0.3783783783783784
117,19621370,discovery,DEPRESSIVE,0.37735849056603776
118,19624389,discovery,DEPRESSIVE,0.2909090909090909
119,19640506,discovery,DEPRESSIVE,0.303030303030303
120,19699020,discovery,DEPRESSIVE,0.14634146341463417
121,19735293,discovery,DEPRESSIVE,0.32258064516129037
122,19858108,discovery,DEPRESSIVE,0.25
123,19877198,discovery,DEPRESSIVE,0.0
124,19878929,discovery,DEPRESSIVE,0.368421052631579
125,19883771,discovery,DEPRESSIVE,0.20512820512820518
126,19931400,discovery,DEPRESSIVE,0.2962962962962963
127,19962859,discovery,DEPRESSIVE,0.38888888888888884
128,20004365,discovery,DEPRESSIVE,0.30000000000000004
129,20071507,discovery,DEPRESSIVE,0.26086956521739135
130,20083798,discovery,DEPRESSIVE,0.14814814814814814
131,20097294,discovery,DEPRESSIVE,0.2571428571428571
132,20116072,discovery,DEPRESSIVE,0.2857142857142857
133,20123031,discovery,DEPRESSIVE,0.25531914893617025
134,20139013,discovery,DEPRESSIVE,0.36363636363636365
135,20162606,discovery,DEPRESSIVE,0.2142857142857143
136,20197076,discovery,DEPRESSIVE,0.2325581395348837
137,20213820,discovery,DEPRESSIVE,0.19354838709677424
138,20220591,discovery,DEPRESSIVE,0.30434782608695654
139,20302946,discovery,DEPRESSIVE,0.1785714285714286
140,20335485,discovery,DEPRESSIVE,0.0
141,20351022,discovery,DEPRESSIVE,0.2222222222222222
142,20393460,discovery,DEPRESSIVE,0.5142857142857142
143,20400273,discovery,DEPRESSIVE,0.15000000000000002
144,20420766,discovery,DEPRESSIVE,0.2432432432432432
145,20420767,discovery,DEPRESSIVE,0.2142857142857143
146,20434779,discovery,DEPRESSIVE,0.24489795918367352
147,20519253,discovery,DEPRESSIVE,0.2222222222222222
148,20525743,discovery,DEPRESSIVE,0.2790697674418605
149,20561537,discovery,DEPRESSIVE,0.18181818181818177
150,20570736,discovery,DEPRESSIVE,0.0
151,20599362,discovery,DEPRESSIVE,0.2857142857142857
152,20620024,discovery,DEPRESSIVE,0.26086956521739135
153,20630713,discovery,DEPRESSIVE,0.23809523809523814
