LABEL,N_COMPONENTS,MAX_LIST_LEN,TP,FP,TN,FN,TPR,TNR,PPV,NPV,F1,ACCURACY,ROC_AUC,LOG_LOSS
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.550850298411595,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5859760957846691,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6170180572763133,4.515535951740068
DEPRESSIVE,8,25,34.0,46.0,4340.0,1026.0,0.03207547169811321,0.9895120839033288,0.425,0.8087961237420798,0.05964912280701754,0.8031582813073815,0.6603711208046184,6.798678860966957
ANXIETY,8,25,8.0,10.0,4671.0,757.0,0.01045751633986928,0.9978637043366801,0.4444444444444444,0.8605379513633014,0.020434227330779056,0.8591626882115314,0.670261647349248,4.864349888151083
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6197916464867587,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.6489225904025221,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.605934778485575,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5506907849340905,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5834484914082427,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6237399899365337,4.515535951740068
DEPRESSIVE,8,25,21.0,26.0,4360.0,1039.0,0.01981132075471698,0.9940720474236207,0.44680851063829785,0.8075569549916651,0.037940379403794036,0.8044436283510834,0.6598461872682377,6.754281610376986
ANXIETY,8,25,7.0,4.0,4677.0,758.0,0.009150326797385621,0.9991454817346721,0.6363636363636364,0.8605335786568538,0.01804123711340206,0.860080793242747,0.6623290090799547,4.832638782833578
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6044939847730487,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.6592441567366101,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.6133630114268448,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5477230675655644,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5957576100818902,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6327167086768916,4.515535951740068
DEPRESSIVE,8,25,24.0,25.0,4361.0,1036.0,0.022641509433962263,0.9943000455996353,0.4897959183673469,0.808041504539559,0.04328223624887286,0.8051781123760559,0.6705023057928744,6.728913284049943
ANXIETY,8,25,9.0,2.0,4679.0,756.0,0.011764705882352941,0.999572740867336,0.8181818181818182,0.8609015639374425,0.023195876288659795,0.8608152772677194,0.6590243132786833,4.807270309683651
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6166895910420582,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.655733059112657,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.607899655992738,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5558079943299241,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5670897519801316,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6351585529969668,4.515535951740068
DEPRESSIVE,8,25,24.0,21.0,4365.0,1036.0,0.022641509433962263,0.9952120383036935,0.5333333333333333,0.808183669690798,0.04343891402714932,0.8059125964010283,0.6667347434805426,6.7035445172542465
ANXIETY,8,25,15.0,8.0,4673.0,750.0,0.0196078431372549,0.9982909634693442,0.6521739130434783,0.8617001659598008,0.03807106598984772,0.8608152772677194,0.6670507810045616,4.807271190620959
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6272126058234372,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.6516209775541202,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.5984778039850248,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5485671685910509,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5778141361256545,3.044181540498922
BIPOLAR,8,25,0.0,1.0,4733.0,712.0,0.0,0.9997887621461766,0.0,0.8692378328741965,0.0,0.8690782225486595,0.626035569843779,4.521878143438992
DEPRESSIVE,8,25,24.0,29.0,4357.0,1036.0,0.022641509433962263,0.9933880528955769,0.4528301886792453,0.8078991284999073,0.0431266846361186,0.8044436283510834,0.6654316048490481,6.7542820508456405
ANXIETY,8,25,7.0,9.0,4672.0,758.0,0.009150326797385621,0.9980773339030122,0.4375,0.8604051565377532,0.01792573623559539,0.8591626882115314,0.6693089711851414,4.864349741328198
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.5967424785447218,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.6603531615031192,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.6044923210853305,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5575977824006161,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5739121861994899,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6294244243175118,4.515535951740068
DEPRESSIVE,8,25,25.0,29.0,4357.0,1035.0,0.02358490566037736,0.9933880528955769,0.46296296296296297,0.8080489614243324,0.04488330341113106,0.8046272493573264,0.6643002176737303,6.747940005969601
ANXIETY,8,25,16.0,11.0,4670.0,749.0,0.02091503267973856,0.9976500747703482,0.5925925925925926,0.8617826167189518,0.04040404040404041,0.8604480352552332,0.6641739028446243,4.819955720841692
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6086421666440652,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.6649755163035577,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.6057835394784529,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5531763414039912,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5823743119881862,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6270444382734509,4.515535951740068
DEPRESSIVE,8,25,30.0,33.0,4353.0,1030.0,0.02830188679245283,0.9924760601915185,0.47619047619047616,0.8086568827791194,0.053428317008014245,0.8048108703635696,0.6658437223068253,6.7415985483851
ANXIETY,8,25,12.0,7.0,4674.0,753.0,0.01568627450980392,0.9985045930356762,0.631578947368421,0.861249309010503,0.030612244897959183,0.8604480352552332,0.6626237620306258,4.819955133550153
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.6181205079524982,2.6002383991761633
TRAUMA_STRESSOR,8,25,0.0,0.0,4953.0,493.0,0.0,1.0,0.0,0.9094748439221447,0.0,0.9094748439221447,0.6575286393928486,3.1266281238874347
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.5968160192848178,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5488759730535097,6.811356196866337
PSYCHOTIC,8,25,0.0,0.0,4966.0,480.0,0.0,1.0,0.0,0.9118619170033052,0.0,0.9118619170033052,0.5905547305007384,3.044181540498922
BIPOLAR,8,25,0.0,0.0,4734.0,712.0,0.0,1.0,0.0,0.8692618435549027,0.0,0.8692618435549027,0.6220922160037595,4.515535951740068
DEPRESSIVE,8,25,48.0,58.0,4328.0,1012.0,0.045283018867924525,0.9867761057911537,0.4528301886792453,0.8104868913857678,0.0823327615780446,0.8035255233198678,0.6665511619303273,6.785996533089494
ANXIETY,8,25,15.0,8.0,4673.0,750.0,0.0196078431372549,0.9982909634693442,0.6521739130434783,0.8617001659598008,0.03807106598984772,0.8608152772677194,0.6583116562155732,4.807271190620959
OBSESSIVE_COMPULSIVE,8,25,0.0,0.0,5036.0,410.0,0.0,1.0,0.0,0.9247153874403232,0.0,0.9247153874403232,0.615920736550495,2.6002383991761633
TRAUMA_STRESSOR,8,25,1.0,0.0,4953.0,492.0,0.002028397565922921,1.0,1.0,0.9096418732782369,0.004048582995951417,0.9096584649283878,0.6501470823714519,3.1202860790113953
COGNITIVE,8,25,0.0,0.0,4763.0,683.0,0.0,1.0,0.0,0.874586852735953,0.0,0.874586852735953,0.6046099001914772,4.331616650334924
DEVELOPMENTAL,8,25,0.0,0.0,4372.0,1074.0,0.0,1.0,0.0,0.8027910392948954,0.0,0.8027910392948954,0.5488381711279328,6.811356196866337
