LABEL,N_COMPONENTS,MAX_LIST_LEN,TP,FP,TN,FN,TPR,TNR,PPV,NPV,F1,ACCURACY,ROC_AUC,LOG_LOSS
NEGATIVE_VALENCE,5,25,0.0,0.0,3643.0,1803.0,0.0,1.0,0.0,0.6689313257436651,0.0,0.6689313257436651,0.5076418979621757,11.434706911499074
POSITIVE_VALENCE,5,25,0.0,0.0,3336.0,2110.0,0.0,1.0,0.0,0.612559676827029,0.0,0.612559676827029,0.4860330929569141,13.381714688443177
COGNITIVE_SYSTEMS,5,25,17.0,20.0,3188.0,2221.0,0.007596067917783735,0.9937655860349127,0.4594594594594595,0.5893880569421335,0.014945054945054945,0.5885053250091811,0.5191532729837605,14.212525503662034
SOCIAL_PROCESSES,5,25,0.0,0.0,3382.0,2064.0,0.0,1.0,0.0,0.6210062431142123,0.0,0.6210062431142123,0.4857554271588299,13.089980624145365
AROUSAL_REGULATION,5,25,0.0,0.0,4545.0,901.0,0.0,1.0,0.0,0.8345574733749541,0.0,0.8345574733749541,0.5311928196149248,5.714182433311517
SENSORIMOTOR_SYSTEMS,5,25,2.0,6.0,3276.0,2162.0,0.0009242144177449168,0.9981718464351006,0.25,0.6024273630011033,0.001841620626151013,0.6019096584649284,0.49288021201174614,13.74955417219077
NEGATIVE_VALENCE,5,25,0.0,0.0,3643.0,1803.0,0.0,1.0,0.0,0.6689313257436651,0.0,0.6689313257436651,0.4852844612381627,11.434706911499074
POSITIVE_VALENCE,5,25,2.0,0.0,3336.0,2108.0,0.0009478672985781991,1.0,1.0,0.6127847171197649,0.001893939393939394,0.6129269188395152,0.5351853114664666,13.369030598691097
COGNITIVE_SYSTEMS,5,25,3.0,4.0,3204.0,2235.0,0.0013404825737265416,0.9987531172069826,0.42857142857142855,0.5890788747931605,0.0026726057906458797,0.5888725670216672,0.5019208847853557,14.1998390647438
SOCIAL_PROCESSES,5,25,1.0,0.0,3382.0,2063.0,0.00048449612403100775,1.0,1.0,0.6211202938475666,0.0009685230024213075,0.6211898641204554,0.5476881999550746,13.083638579269326
AROUSAL_REGULATION,5,25,0.0,0.0,4545.0,901.0,0.0,1.0,0.0,0.8345574733749541,0.0,0.8345574733749541,0.5049457331970711,5.714182433311517
SENSORIMOTOR_SYSTEMS,5,25,2.0,0.0,3282.0,2162.0,0.0009242144177449168,1.0,1.0,0.6028655400440852,0.0018467220683287165,0.6030113845023871,0.538093291025602,13.711501021997226
