"About the data: Exported on Dec 21, 2018. Criteria: Text - '1402966 OR 1410086 OR 1448149 OR 1486459 OR 1486460 OR 1519476 OR 1527602 OR 1542680 OR 1613546 OR 1633409 OR 1679944 OR 1791928 OR 1822545 OR 1869921 OR 1875248 OR 1884179 OR 1929214 OR 2296583 OR 23...' in full data. For more information, please see https://app.dimensions.ai/datasources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
0,pub.1003076036,10.1371/journal.pone.0124405,25938442,4418763,Predicting Stroop Effect from Spontaneous Neuronal Activity: A Study of Regional Homogeneity,PLoS ONE,,Behavior; Brain; Cognition; Female; Humans; Male; Neurons; Stroop Test; Young Adult,2015,10,5,e0124405,All OA; Gold,article,"Liu, Congcong; Chen, Zhencai; Wang, Ting; Tang, Dandan; Hitchman, Glenn; Sun, Jiangzhou; Zhao, Xiaoyue; Wang, Lijun; Chen, Antao","Liu, Congcong (Southwest University); Chen, Zhencai (Southwest University); Wang, Ting (Southwest University; Chongqing University of Arts and Sciences); Tang, Dandan (Southwest University); Hitchman, Glenn (Southwest University); Sun, Jiangzhou (Southwest University); Zhao, Xiaoyue (Southwest University); Wang, Lijun (Southwest University); Chen, Antao (Southwest University)",Chongqing University of Arts and Sciences; Southwest University,grid.449955.0; grid.263906.8,China; China,National Natural Science Foundation of China; Ministry of Education of the People's Republic of China,4,4,0.45,1.19,6,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0124405&type=printable,https://app.dimensions.ai/details/publication/pub.1003076036,1701 Psychology,1701 Psychology,,,,
0,pub.1104385998,10.1371/journal.pone.0198244,29864139,5986117,Repeated fMRI in measuring the activation of the amygdala without habituation when viewing faces displaying negative emotions,PLoS ONE,,,2018,13,6,e0198244,All OA; Gold,article,"Spohrs, Jennifer; Bosch, Julia E.; Dommes, Lisa; Beschoner, Petra; Stingl, Julia C.; Geiser, Franziska; Schneider, Katharina; Breitfeld, Jörg; Viviani, Roberto","Spohrs, Jennifer (University of Ulm); Bosch, Julia E. (University of Ulm); Dommes, Lisa (University of Ulm); Beschoner, Petra (University of Ulm); Stingl, Julia C. (University of Bonn); Geiser, Franziska (University of Bonn); Schneider, Katharina (University of Bonn); Breitfeld, Jörg (University of Bonn); Viviani, Roberto (University of Ulm)",University of Bonn; University of Ulm,grid.10388.32; grid.6582.9,Germany; Germany,Federal Ministry of Education and Research,0,0,0,0,1,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198244&type=printable,https://app.dimensions.ai/details/publication/pub.1104385998,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1014182812,10.1371/journal.pone.0131654,26135906,4489862,Impaired Early Attentional Processes in Parkinson’s Disease: A High-Resolution Event-Related Potentials Study,PLoS ONE,,"Aged; Analysis of Variance; Attention; Behavior; Brain; Case-Control Studies; Cognition; Cognition Disorders; Electroencephalography; Evoked Potentials; Female; Frontal Lobe; Gyrus Cinguli; Humans; Male; Middle Aged; Models, Statistical; Parkinson Disease; Reaction Time",2015,10,7,e0131654,All OA; Gold,article,"Bocquillon, Perrine; Bourriez, Jean-Louis; Palmero-Soler, Ernesto; Defebvre, Luc; Derambure, Philippe; Dujardin, Kathy","Bocquillon, Perrine (Centre Hospitalier Regional et Universitaire de Lille); Bourriez, Jean-Louis (Centre Hospitalier Regional et Universitaire de Lille); Palmero-Soler, Ernesto (); Defebvre, Luc (Centre Hospitalier Regional et Universitaire de Lille); Derambure, Philippe (Centre Hospitalier Regional et Universitaire de Lille); Dujardin, Kathy (Centre Hospitalier Regional et Universitaire de Lille)",Centre Hospitalier Regional et Universitaire de Lille,grid.410463.4,France,France Parkinson,1,1,0.19,0.3,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0131654&type=printable,https://app.dimensions.ai/details/publication/pub.1014182812,1701 Psychology,1701 Psychology,,,,
0,pub.1043627060,10.1371/journal.pone.0161552,27536945,4990413,Effect of Mild Thyrotoxicosis on Performance and Brain Activations in a Working Memory Task,PLoS ONE,,"Adult; Brain; Drug Administration Schedule; Functional Neuroimaging; Humans; Magnetic Resonance Imaging; Male; Memory, Short-Term; Middle Aged; Neuropsychological Tests; Reaction Time; Thyrotoxicosis; Thyroxine; Young Adult",2016,11,8,e0161552,All OA; Gold,article,"Göbel, Anna; Heldmann, Marcus; Göttlich, Martin; Dirk, Anna-Luise; Brabant, Georg; Münte, Thomas F.","Göbel, Anna (University of Lübeck); Heldmann, Marcus (University of Lübeck); Göttlich, Martin (University of Lübeck); Dirk, Anna-Luise (University of Lübeck); Brabant, Georg (University of Lübeck); Münte, Thomas F. (University of Lübeck)",University of Lübeck,grid.4562.5,Germany,German Research Foundation,6,6,0.26,2.52,3,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0161552&type=printable,https://app.dimensions.ai/details/publication/pub.1043627060,1701 Psychology,1701 Psychology,,,,
0,pub.1013884318,10.1371/journal.pone.0166647,27959914,5154504,Learning New Sensorimotor Contingencies: Effects of Long-Term Use of Sensory Augmentation on the Brain and Conscious Perception,PLoS ONE,,Adult; Cognition; Consciousness; Female; Humans; Learning; Magnetic Resonance Imaging; Male; Sensorimotor Cortex; Sleep; Space Perception,2016,11,12,e0166647,All OA; Gold,article,"König, Sabine U.; Schumann, Frank; Keyser, Johannes; Goeke, Caspar; Krause, Carina; Wache, Susan; Lytochkin, Aleksey; Ebert, Manuel; Brunsch, Vincent; Wahn, Basil; Kaspar, Kai; Nagel, Saskia K.; Meilinger, Tobias; Bülthoff, Heinrich; Wolbers, Thomas; Büchel, Christian; König, Peter","König, Sabine U. (Osnabrück University); Schumann, Frank (Osnabrück University; Laboratoire Psychologie de la Perception); Keyser, Johannes (Osnabrück University); Goeke, Caspar (Osnabrück University); Krause, Carina (Osnabrück University); Wache, Susan (Osnabrück University); Lytochkin, Aleksey (Osnabrück University); Ebert, Manuel (Osnabrück University); Brunsch, Vincent (Osnabrück University); Wahn, Basil (Osnabrück University); Kaspar, Kai (Osnabrück University; University of Cologne); Nagel, Saskia K. (Osnabrück University); Meilinger, Tobias (Max Planck Institute for Biological Cybernetics); Bülthoff, Heinrich (Max Planck Institute for Biological Cybernetics); Wolbers, Thomas (German Center for Neurodegenerative Diseases); Büchel, Christian (University Medical Center Hamburg-Eppendorf); König, Peter (Osnabrück University; University Medical Center Hamburg-Eppendorf)",German Center for Neurodegenerative Diseases; Osnabrück University; University Medical Center Hamburg-Eppendorf; University of Cologne; Laboratoire Psychologie de la Perception; Max Planck Institute for Biological Cybernetics,grid.424247.3; grid.10854.38; grid.13648.38; grid.6190.e; grid.464016.1; grid.419501.8,Germany; Germany; Germany; Germany; France; Germany,European Research Council; German Research Foundation,9,9,1.38,3.01,47,https://doi.org/10.1371/journal.pone.0166647,https://app.dimensions.ai/details/publication/pub.1013884318,1701 Psychology; 1109 Neurosciences,1701 Psychology,1109 Neurosciences,,,
0,pub.1084818571,10.1371/journal.pone.0174420,28403175,5389622,Altered cortical and subcortical connectivity due to infrasound administered near the hearing threshold – Evidence from fMRI,PLoS ONE,,Acoustic Stimulation; Adolescent; Adult; Auditory Cortex; Auditory Threshold; Brain Mapping; Female; Gyrus Cinguli; Humans; Loudness Perception; Magnetic Resonance Imaging; Male; Young Adult,2017,12,4,e0174420,All OA; Gold,article,"Weichenberger, Markus; Bauer, Martin; Kühler, Robert; Hensel, Johannes; Forlim, Caroline Garcia; Ihlenfeld, Albrecht; Ittermann, Bernd; Gallinat, Jürgen; Koch, Christian; Kühn, Simone","Weichenberger, Markus (Charité – University Medicine Berlin); Bauer, Martin (German National Metrology Institute); Kühler, Robert (German National Metrology Institute); Hensel, Johannes (German National Metrology Institute); Forlim, Caroline Garcia (University Medical Center Hamburg-Eppendorf); Ihlenfeld, Albrecht (German National Metrology Institute); Ittermann, Bernd (German National Metrology Institute); Gallinat, Jürgen (University Medical Center Hamburg-Eppendorf); Koch, Christian (German National Metrology Institute); Kühn, Simone (University Medical Center Hamburg-Eppendorf)",German National Metrology Institute; Charité – University Medicine Berlin; University Medical Center Hamburg-Eppendorf,grid.4764.1; grid.6363.0; grid.13648.38,Germany; Germany; Germany,European Commission,3,3,0,0,126,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0174420&type=printable,https://app.dimensions.ai/details/publication/pub.1084818571,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1006273839,10.1371/journal.pone.0136553,26339798,4560426,Structural and Functional Alterations in Right Dorsomedial Prefrontal and Left Insular Cortex Co-Localize in Adolescents with Aggressive Behaviour: An ALE Meta-Analysis,PLoS ONE,,Adolescent; Aggression; Brain Mapping; Case-Control Studies; Female; Functional Neuroimaging; Humans; Likelihood Functions; Limbic Lobe; Male; Neural Pathways; Prefrontal Cortex,2015,10,9,e0136553,All OA; Gold,article,"Raschle, Nora Maria; Menks, Willeke Martine; Fehlbaum, Lynn Valérie; Tshomba, Ebongo; Stadler, Christina","Raschle, Nora Maria (Universitäre Psychiatrische Kliniken Basel); Menks, Willeke Martine (Universitäre Psychiatrische Kliniken Basel); Fehlbaum, Lynn Valérie (Universitäre Psychiatrische Kliniken Basel); Tshomba, Ebongo (Universitäre Psychiatrische Kliniken Basel); Stadler, Christina (Universitäre Psychiatrische Kliniken Basel)",Universitäre Psychiatrische Kliniken Basel,grid.412556.1,Switzerland,,14,11,1.3,2.64,3,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0136553&type=printable,https://app.dimensions.ai/details/publication/pub.1006273839,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1041836730,10.1371/journal.pone.0162042,27571363,5003364,Impaired Spatio-Temporal Predictive Motor Timing Associated with Spinocerebellar Ataxia Type 6,PLoS ONE,,"Aged; Aged, 80 and over; Cerebellum; Female; Humans; Learning; Male; Middle Aged; Photic Stimulation; Psychomotor Performance; Spinocerebellar Ataxias; Time Perception",2016,11,8,e0162042,All OA; Gold,article,"Broersen, Robin; Onuki, Yoshiyuki; Abdelgabar, Abdel R.; Owens, Cullen B.; Picard, Samuel; Willems, Jessica; Boele, Henk-Jan; Gazzola, Valeria; Van der Werf, Ysbrand D.; De Zeeuw, Chris I.","Broersen, Robin (Netherlands Institute for Neuroscience; Erasmus University Medical Center); Onuki, Yoshiyuki (Netherlands Institute for Neuroscience); Abdelgabar, Abdel R. (Netherlands Institute for Neuroscience); Owens, Cullen B. (Erasmus University Medical Center); Picard, Samuel (Netherlands Institute for Neuroscience; Erasmus University Medical Center); Willems, Jessica (Erasmus University Medical Center); Boele, Henk-Jan (Erasmus University Medical Center); Gazzola, Valeria (Netherlands Institute for Neuroscience; University of Amsterdam); Van der Werf, Ysbrand D. (Netherlands Institute for Neuroscience; VU University Medical Center); De Zeeuw, Chris I. (Netherlands Institute for Neuroscience; Erasmus University Medical Center)",Netherlands Institute for Neuroscience; University of Amsterdam; Erasmus University Medical Center; VU University Medical Center,grid.419918.c; grid.7177.6; grid.5645.2; grid.16872.3a,Netherlands; Netherlands; Netherlands; Netherlands,European Research Council; Netherlands Institute for Health Services Research; Netherlands Organisation for Scientific Research,4,3,0.41,1.68,1,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0162042&type=printable,https://app.dimensions.ai/details/publication/pub.1041836730,1701 Psychology,1701 Psychology,,,,
0,pub.1035512396,10.1371/journal.pone.0151484,26963705,4786208,Visuomotor Dissociation in Cerebral Scaling of Size,PLoS ONE,,"Adult; Art; Brain Mapping; Cerebral Cortex; Distance Perception; Dominance, Cerebral; Female; Form Perception; Hand; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Memory, Short-Term; Motor Skills; Movement; Parietal Lobe; Psychomotor Performance; Size Perception; Spatial Processing; Visual Pathways; Young Adult",2016,11,3,e0151484,All OA; Gold,article,"Potgieser, Adriaan R. E.; de Jong, Bauke M.","Potgieser, Adriaan R. E. (University of Groningen); de Jong, Bauke M. (University of Groningen)",University of Groningen,grid.4830.f,Netherlands,,2,1,0.22,0.54,2,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0151484&type=printable,https://app.dimensions.ai/details/publication/pub.1035512396,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1035033870,10.1371/journal.pone.0130880,26158468,4497686,Attentional Modulation of Brain Responses to Primary Appetitive and Aversive Stimuli,PLoS ONE,,"Administration, Oral; Adolescent; Adult; Analgesics, Non-Narcotic; Analysis of Variance; Attention; Brain; Brain Mapping; Female; Fruit and Vegetable Juices; Humans; Magnetic Resonance Imaging; Male; Psychomotor Performance; Quinine; Reaction Time; Surveys and Questionnaires; Young Adult",2015,10,7,e0130880,All OA; Gold,article,"Field, Brent A.; Buck, Cara L.; McClure, Samuel M.; Nystrom, Leigh E.; Kahneman, Daniel; Cohen, Jonathan D.","Field, Brent A. (Princeton University); Buck, Cara L. (University of California, San Diego); McClure, Samuel M. (Stanford University); Nystrom, Leigh E. (Princeton University); Kahneman, Daniel (Princeton University); Cohen, Jonathan D. (Princeton University; University of Pittsburgh)","University of California, San Diego; Stanford University; University of Pittsburgh; Princeton University",grid.266100.3; grid.168010.e; grid.21925.3d; grid.16750.35,United States; United States; United States; United States,National Institute on Aging; John Templeton Foundation; National Institute of Mental Health,2,2,0.26,0.59,5,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0130880&type=printable,https://app.dimensions.ai/details/publication/pub.1035033870,1701 Psychology,1701 Psychology,,,,
