"About the data: Exported on Dec 21, 2018. Criteria: Text - '24056237 OR 24058456 OR 24058706 OR 24060844 OR 24062652 OR 24062654 OR 24062656 OR 24062660 OR 24062672 OR 24064069 OR 24064075 OR 24064198 OR 24064249 OR 24065897 OR 24068551 OR 24068813 OR 24068815...' in full data. For more information, please see https://app.dimensions.ai/datasources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,Country of Research organization,Funder,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
0,pub.1022559492,10.1371/journal.pone.0159198,27442504,4956096,Functional Connectivity with the Default Mode Network Is Altered in Fibromyalgia Patients,PLoS ONE,,Adult; Brain; Case-Control Studies; Demography; Female; Fibromyalgia; Humans; Nerve Net,2016,11,7,e0159198,All OA; Gold,article,"Fallon, Nicholas; Chiu, Yee; Nurmikko, Turo; Stancak, Andrej","Fallon, Nicholas (University of Liverpool); Chiu, Yee (Wirral University Teaching Hospital NHS Foundation Trust); Nurmikko, Turo (University of Liverpool; Walton Centre); Stancak, Andrej (University of Liverpool)",Walton Centre; University of Liverpool; Wirral University Teaching Hospital NHS Foundation Trust,grid.416928.0; grid.10025.36; grid.449813.3,United Kingdom; United Kingdom; United Kingdom,,13,13,2.07,3.5,4,https://doi.org/10.1371/journal.pone.0159198,https://app.dimensions.ai/details/publication/pub.1022559492,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1032646484,10.1371/journal.pone.0142014,26540239,4634926,"Resting-State fMRI Functional Connectivity Is Associated with Sleepiness, Imagery, and Discontinuity of Mind",PLoS ONE,,"Adult; Brain; Brain Mapping; Female; Humans; Image Processing, Computer-Assisted; Imagery (Psychotherapy); Learning; Magnetic Resonance Imaging; Male; Middle Aged; Nerve Net; Neural Pathways; Rest; Sleep Stages; Young Adult",2015,10,11,e0142014,All OA; Gold,article,"Stoffers, Diederick; Diaz, B. Alexander; Chen, Gang; Braber, Anouk den; van ‘t Ent, Dennis; Boomsma, Dorret I.; Mansvelder, Huibert D.; de Geus, Eco; Van Someren, Eus J. W.; Linkenkaer-Hansen, Klaus","Stoffers, Diederick (VU University Amsterdam; Netherlands Institute for Neuroscience); Diaz, B. Alexander (VU University Amsterdam); Chen, Gang (National Institute of Mental Health); Braber, Anouk den (VU University Amsterdam); van ‘t Ent, Dennis (VU University Amsterdam); Boomsma, Dorret I. (VU University Amsterdam); Mansvelder, Huibert D. (VU University Amsterdam); de Geus, Eco (VU University Amsterdam); Van Someren, Eus J. W. (VU University Amsterdam; Netherlands Institute for Neuroscience; VU University Medical Center); Linkenkaer-Hansen, Klaus (VU University Amsterdam)",VU University Amsterdam; National Institute of Mental Health; Netherlands Institute for Neuroscience; VU University Medical Center,grid.12380.38; grid.416868.5; grid.419918.c; grid.16872.3a,Netherlands; United States; Netherlands; Netherlands,Netherlands Organisation for Scientific Research,15,13,1.52,3.53,6,http://doi.org/10.1371/journal.pone.0142014,https://app.dimensions.ai/details/publication/pub.1032646484,1109 Neurosciences; 1701 Psychology,1109 Neurosciences,1701 Psychology,,,
0,pub.1084470205,10.5498/wjp.v7.i1.12,28401046,5371170,Functional neuroanatomy in panic disorder: Status quo of the research,World Journal of Psychiatry,,,2017,7,1,12-33,All OA; Gold,article,"Sobanski, Thomas; Wagner, Gerd","Sobanski, Thomas (Jena University Hospital); Wagner, Gerd (Jena University Hospital)",Jena University Hospital,grid.275559.9,Germany,,10,10,0,0,2,https://doi.org/10.5498/wjp.v7.i1.12,https://app.dimensions.ai/details/publication/pub.1084470205,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1047702072,10.1371/journal.pone.0149434,26872350,4752488,Cortical Gyrification Patterns Associated with Trait Anxiety,PLoS ONE,,Adolescent; Adult; Anxiety; Cerebral Cortex; Female; Humans; Male; Young Adult,2016,11,2,e0149434,All OA; Gold,article,"Miskovich, Tara A.; Pedersen, Walker S.; Belleau, Emily L.; Shollenbarger, Skyler; Lisdahl, Krista M.; Larson, Christine L.","Miskovich, Tara A. (University of Wisconsin–Milwaukee); Pedersen, Walker S. (University of Wisconsin–Milwaukee); Belleau, Emily L. (University of Wisconsin–Milwaukee); Shollenbarger, Skyler (University of Wisconsin–Milwaukee); Lisdahl, Krista M. (University of Wisconsin–Milwaukee); Larson, Christine L. (University of Wisconsin–Milwaukee)",University of Wisconsin–Milwaukee,grid.267468.9,United States,National Institute of Mental Health; National Institute on Drug Abuse,4,3,0.6,1.08,13,https://doi.org/10.1371/journal.pone.0149434,https://app.dimensions.ai/details/publication/pub.1047702072,1109 Neurosciences,1109 Neurosciences,,,,
0,pub.1099057313,10.1522/24109447,,,Effect [sic] des paramètres métallurgiques sur le comportement d'usinage des alliages 356 et 319 (étude de forage et de taraudage) /,,,,2005,,,,All OA; Gold,monograph,"Tash, Mahmoud","Tash, Mahmoud ()",,,,,0,0,0,0,,http://constellation.uqac.ca/580/1/24109447.pdf,https://app.dimensions.ai/details/publication/pub.1099057313,,,,,,
0,pub.1091760132,10.1371/journal.pone.0184712,28910390,5598991,Identify changes of brain regional homogeneity in early and later adult onset patients with first-episode depression using resting-state fMRI,PLoS ONE,,"Adult; Age of Onset; Brain; Depressive Disorder, Major; Female; Humans; Magnetic Resonance Imaging; Male; Neuroimaging; Psychiatric Status Rating Scales; Young Adult",2017,12,9,e0184712,All OA; Gold,article,"Shen, Zonglin; Jiang, Linling; Yang, Shuran; Ye, Jing; Dai, Nan; Liu, Xiaoyan; Li, Na; Lu, Jin; Liu, Fang; Lu, Yi; Sun, Xuejin; Cheng, Yuqi; Xu, Xiufeng","Shen, Zonglin (First Affiliated Hospital of Kunming Medical University); Jiang, Linling (First Affiliated Hospital of Kunming Medical University); Yang, Shuran (First Affiliated Hospital of Kunming Medical University); Ye, Jing (First Affiliated Hospital of Kunming Medical University); Dai, Nan (First Affiliated Hospital of Kunming Medical University); Liu, Xiaoyan (First Affiliated Hospital of Kunming Medical University); Li, Na (First Affiliated Hospital of Kunming Medical University); Lu, Jin (First Affiliated Hospital of Kunming Medical University); Liu, Fang (First Affiliated Hospital of Kunming Medical University); Lu, Yi (First Affiliated Hospital of Kunming Medical University); Sun, Xuejin (First Affiliated Hospital of Kunming Medical University); Cheng, Yuqi (); Xu, Xiufeng (First Affiliated Hospital of Kunming Medical University)",First Affiliated Hospital of Kunming Medical University,grid.414902.a,China,National Natural Science Foundation of China,6,6,0,0,1,https://doi.org/10.1371/journal.pone.0184712,https://app.dimensions.ai/details/publication/pub.1091760132,1103 Clinical Sciences; 1109 Neurosciences,1103 Clinical Sciences,1109 Neurosciences,,,
0,pub.1051606167,10.1371/journal.pone.0122750,25816069,4376798,Altered Hemodynamic Activity in Conduct Disorder: A Resting-State fMRI Investigation,PLoS ONE,,Adolescent; Adult; Brain Mapping; Conduct Disorder; Hemodynamics; Humans; Magnetic Resonance Imaging; Male; Occipital Lobe; Temporal Lobe; Visual Cortex,2015,10,3,e0122750,All OA; Gold,article,"Zhou, Jiansong; Yao, Nailin; Fairchild, Graeme; Zhang, Yingdong; Wang, Xiaoping","Zhou, Jiansong (Central South University); Yao, Nailin (University of Hong Kong); Fairchild, Graeme (University of Southampton); Zhang, Yingdong (Central South University); Wang, Xiaoping (Central South University)",University of Hong Kong; Central South University; University of Southampton,grid.194645.b; grid.216417.7; grid.5491.9,China; China; United Kingdom,Ministry of Science and Technology of the People's Republic of China; Shanghai Municipal Science and Technology Commission; Ministry of Education of the People's Republic of China; National Natural Science Foundation of China,14,12,1.27,3.97,2,https://doi.org/10.1371/journal.pone.0122750,https://app.dimensions.ai/details/publication/pub.1051606167,1103 Clinical Sciences,1103 Clinical Sciences,,,,
0,pub.1037129127,10.1371/journal.pone.0130363,26154177,4496088,Face-n-Food: Gender Differences in Tuning to Faces,PLoS ONE,,"Adolescent; Adult; Face; Facial Expression; Facial Recognition; Female; Food; Humans; Male; Pattern Recognition, Visual; Photic Stimulation; Recognition (Psychology); Sex Factors; Visual Perception; Young Adult",2015,10,7,e0130363,All OA; Gold,article,"Pavlova, Marina A.; Scheffler, Klaus; Sokolov, Alexander N.","Pavlova, Marina A. (University of Tübingen); Scheffler, Klaus (University of Tübingen; Max Planck Institute for Biological Cybernetics); Sokolov, Alexander N. ()",University of Tübingen; Max Planck Institute for Biological Cybernetics,grid.10392.39; grid.419501.8,Germany; Germany,Else Kröner-Fresenius-Stiftung; German Research Foundation,10,7,1.24,2.97,2,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0130363&type=printable,https://app.dimensions.ai/details/publication/pub.1037129127,1701 Psychology,1701 Psychology,,,,
0,pub.1101067283,10.1371/journal.pone.0193100,29447256,5814051,Modulation of neural circuits underlying temporal production by facial expressions of pain,PLoS ONE,,"Adult; Attention; Brain; Brain Mapping; Emotions; Facial Expression; Female; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Nerve Net; Pain; Sex Factors; Time Perception; Young Adult",2018,13,2,e0193100,All OA; Gold,article,"Ballotta, Daniela; Lui, Fausta; Porro, Carlo Adolfo; Nichelli, Paolo Frigio; Benuzzi, Francesca","Ballotta, Daniela (University of Modena and Reggio Emilia); Lui, Fausta (University of Modena and Reggio Emilia); Porro, Carlo Adolfo (University of Modena and Reggio Emilia); Nichelli, Paolo Frigio (University of Modena and Reggio Emilia); Benuzzi, Francesca (University of Modena and Reggio Emilia)",University of Modena and Reggio Emilia,grid.7548.e,Italy,,2,2,0,0,2,https://doi.org/10.1371/journal.pone.0193100,https://app.dimensions.ai/details/publication/pub.1101067283,1701 Psychology; 1109 Neurosciences,1701 Psychology,1109 Neurosciences,,,
0,pub.1104906050,10.1371/journal.pone.0198204,29912895,6005543,Feeling the force: Changes in a left-lateralized network of brain areas under simulated workday conditions are reflected in subjective mental effort investment,PLoS ONE,,,2018,13,6,e0198204,All OA; Gold,article,"Otto, Tobias; Zijlstra, Fred R. H.; Goebel, Rainer","Otto, Tobias (Maastricht University); Zijlstra, Fred R. H. (Maastricht University); Goebel, Rainer (Maastricht University; Netherlands Institute for Neuroscience)",Netherlands Institute for Neuroscience; Maastricht University,grid.419918.c; grid.5012.6,Netherlands; Netherlands,,0,0,0,0,2,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198204&type=printable,https://app.dimensions.ai/details/publication/pub.1104906050,1701 Psychology,1701 Psychology,,,,
