"About the data: Exported on Dec 21, 2018. Criteria: Text - '1402966 OR 1410086 OR 1448149 OR 1486459 OR 1486460 OR 1519476 OR 1527602 OR 1542680 OR 1613546 OR 1633409 OR 1679944 OR 1791928 OR 1822545 OR 1869921 OR 1875248 OR 1884179 OR 1929214 OR 2296583 OR 23...' in full data. For more information, please see https://app.dimensions.ai/datasources.",,,,,,,,,,,,,
Publication ID,DOI,Title,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Publication IDs of cited references
pub.1003076036,10.1371/journal.pone.0124405,Predicting Stroop Effect from Spontaneous Neuronal Activity: A Study of Regional Homogeneity,PLoS ONE,2015,10,5,e0124405,"Liu, Congcong; Chen, Zhencai; Wang, Ting; Tang, Dandan; Hitchman, Glenn; Sun, Jiangzhou; Zhao, Xiaoyue; Wang, Lijun; Chen, Antao",Southwest University; Chongqing University of Arts and Sciences,China; China,https://app.dimensions.ai/details/publication/pub.1003076036,4,pub.1039130385; pub.1051133025; pub.1016810736; pub.1011528525; pub.1051815549; pub.1063513679; pub.1077313086; pub.1082463298; pub.1006088237; pub.1037753971; pub.1049363699; pub.1011378981; pub.1046896064; pub.1030165522; pub.1035647513; pub.1034302069; pub.1014908210; pub.1002439729; pub.1052823236; pub.1016147064; pub.1000886647; pub.1053187169; pub.1037530507; pub.1047472356; pub.1024106054; pub.1048289215; pub.1009909463; pub.1037468575; pub.1033388727; pub.1017455767; pub.1045967729; pub.1024745757; pub.1003908584; pub.1034008227; pub.1027203697; pub.1010804752; pub.1016073714; pub.1078045133; pub.1009172668; pub.1035507984; pub.1009098468; pub.1007471430; pub.1021201916; pub.1065268155; pub.1047152801; pub.1002902218; pub.1036831843; pub.1009428072; pub.1020357656; pub.1011904279; pub.1017183005; pub.1045056747; pub.1041201593; pub.1041179616; pub.1032960717; pub.1023887482; pub.1000579816; pub.1050769839; pub.1018307556; pub.1047443187; pub.1013070386; pub.1045340351; pub.1052220614; pub.1036550904; pub.1012350211; pub.1028260626; pub.1025393989; pub.1053109894; pub.1009489144; pub.1008974864; pub.1023567317; pub.1038126815; pub.1025466659; pub.1009612814; pub.1043873260; pub.1039056471; pub.1043944046; pub.1002643520; pub.1053078194; pub.1051256573; pub.1011665436
pub.1104385998,10.1371/journal.pone.0198244,Repeated fMRI in measuring the activation of the amygdala without habituation when viewing faces displaying negative emotions,PLoS ONE,2018,13,6,e0198244,"Spohrs, Jennifer; Bosch, Julia E.; Dommes, Lisa; Beschoner, Petra; Stingl, Julia C.; Geiser, Franziska; Schneider, Katharina; Breitfeld, Jörg; Viviani, Roberto",University of Ulm; University of Bonn,Germany; Germany,https://app.dimensions.ai/details/publication/pub.1104385998,0,pub.1011359613; pub.1020254412; pub.1024119146; pub.1044255070; pub.1042906098; pub.1000364439; pub.1017475778; pub.1026694798; pub.1041964588; pub.1045734928; pub.1057077630; pub.1032356014; pub.1029444550; pub.1034002100; pub.1014476133; pub.1002094736; pub.1083190477; pub.1017907167; pub.1053245322; pub.1023156168; pub.1007639405; pub.1037647337; pub.1003562352; pub.1030898973; pub.1041109342; pub.1077106971; pub.1006624257; pub.1056368448; pub.1025217604; pub.1019761870; pub.1018089563; pub.1001811672; pub.1017618156; pub.1035439122; pub.1008623590; pub.1010519583; pub.1009054886
pub.1014182812,10.1371/journal.pone.0131654,Impaired Early Attentional Processes in Parkinson’s Disease: A High-Resolution Event-Related Potentials Study,PLoS ONE,2015,10,7,e0131654,"Bocquillon, Perrine; Bourriez, Jean-Louis; Palmero-Soler, Ernesto; Defebvre, Luc; Derambure, Philippe; Dujardin, Kathy",Centre Hospitalier Regional et Universitaire de Lille,France,https://app.dimensions.ai/details/publication/pub.1014182812,1,pub.1075233746; pub.1005994616; pub.1039211931; pub.1023274010; pub.1082960225; pub.1000071928; pub.1062551538; pub.1034297468; pub.1017252145; pub.1004196137; pub.1032254948; pub.1021009822; pub.1059027002; pub.1042381822; pub.1051425703; pub.1024222058; pub.1014056708; pub.1025914371; pub.1009816368; pub.1017121068; pub.1035466939; pub.1079766425; pub.1010660482; pub.1045000690; pub.1010213999; pub.1050674664; pub.1024014631; pub.1018670682; pub.1013491631; pub.1018870629; pub.1041948466; pub.1041737004; pub.1064167142; pub.1029876288; pub.1052999627; pub.1023523635; pub.1034997735; pub.1011904279; pub.1009574356; pub.1053599687; pub.1074691727; pub.1017606693; pub.1030107212; pub.1030093535; pub.1032689754; pub.1010285710; pub.1006114642; pub.1051494108; pub.1042475075; pub.1086332556; pub.1030718974; pub.1047256861; pub.1047301614; pub.1022923380; pub.1028873866; pub.1007844653; pub.1027706317; pub.1007999887; pub.1005603611; pub.1048180344; pub.1063485824; pub.1002730600; pub.1026125530; pub.1046266726; pub.1001163561; pub.1041239644; pub.1010514040; pub.1012342012; pub.1016069703; pub.1035026432; pub.1032974538; pub.1005453366; pub.1025125303; pub.1059438275; pub.1020267389; pub.1034127981; pub.1036044888; pub.1007883268; pub.1051929968; pub.1034510187; pub.1058296355; pub.1050644424; pub.1042246708; pub.1054867048; pub.1038974933; pub.1001367882; pub.1034380351; pub.1025015275; pub.1004075938; pub.1031612674; pub.1027678315; pub.1045382604; pub.1046392888
pub.1043627060,10.1371/journal.pone.0161552,Effect of Mild Thyrotoxicosis on Performance and Brain Activations in a Working Memory Task,PLoS ONE,2016,11,8,e0161552,"Göbel, Anna; Heldmann, Marcus; Göttlich, Martin; Dirk, Anna-Luise; Brabant, Georg; Münte, Thomas F.",University of Lübeck,Germany,https://app.dimensions.ai/details/publication/pub.1043627060,6,pub.1013826932; pub.1010599756; pub.1012709829; pub.1009268906; pub.1027099308; pub.1040135740; pub.1002641213; pub.1020590448; pub.1000826479; pub.1043382475; pub.1059204150; pub.1070783411; pub.1040863630; pub.1080997866; pub.1035710351; pub.1064346605; pub.1033233482; pub.1029553989; pub.1019187641; pub.1038957964; pub.1048115356; pub.1014315018; pub.1073708978; pub.1025953893; pub.1007811719; pub.1031316996; pub.1082855453; pub.1025863132; pub.1021297454; pub.1014391353; pub.1077947839; pub.1028354406; pub.1022712020; pub.1000590826; pub.1020360167; pub.1041438128; pub.1042267154; pub.1007396385; pub.1008083794; pub.1047080549; pub.1059204115; pub.1044788547; pub.1014026347; pub.1002116833; pub.1032771692; pub.1013124256; pub.1002567481; pub.1016570986; pub.1041179616; pub.1026290831; pub.1063479456; pub.1040974584; pub.1010441738; pub.1059369724; pub.1064289208; pub.1044020884; pub.1051632259; pub.1062646054; pub.1025068387; pub.1015164706; pub.1063493975; pub.1051819697; pub.1005106719; pub.1045000690; pub.1016052542; pub.1059458402; pub.1035575615; pub.1010007584; pub.1050517513; pub.1051864833; pub.1064290258; pub.1009732756; pub.1044528239
pub.1013884318,10.1371/journal.pone.0166647,Learning New Sensorimotor Contingencies: Effects of Long-Term Use of Sensory Augmentation on the Brain and Conscious Perception,PLoS ONE,2016,11,12,e0166647,"König, Sabine U.; Schumann, Frank; Keyser, Johannes; Goeke, Caspar; Krause, Carina; Wache, Susan; Lytochkin, Aleksey; Ebert, Manuel; Brunsch, Vincent; Wahn, Basil; Kaspar, Kai; Nagel, Saskia K.; Meilinger, Tobias; Bülthoff, Heinrich; Wolbers, Thomas; Büchel, Christian; König, Peter",Osnabrück University; Laboratoire Psychologie de la Perception; University of Cologne; Max Planck Institute for Biological Cybernetics; German Center for Neurodegenerative Diseases; University Medical Center Hamburg-Eppendorf,Germany; France; Germany; Germany; Germany; Germany,https://app.dimensions.ai/details/publication/pub.1013884318,9,pub.1034916924; pub.1052877284; pub.1062445258; pub.1020572664; pub.1010049082; pub.1078564060; pub.1018350068; pub.1083138993; pub.1021854059; pub.1046378417; pub.1022040072; pub.1048201275; pub.1014122969; pub.1037516974; pub.1049314422; pub.1013100322; pub.1013718417; pub.1029087576; pub.1006658940; pub.1089258645; pub.1035959829; pub.1033665586; pub.1058165076; pub.1031047103; pub.1006655784; pub.1029497493; pub.1015080639; pub.1016637292; pub.1039104497; pub.1018783986; pub.1080282522; pub.1028719517; pub.1011282278; pub.1004186407; pub.1067596789; pub.1076241569; pub.1064455110; pub.1008469953; pub.1020622774; pub.1024958550; pub.1046745053; pub.1078837847; pub.1095530434; pub.1013944449; pub.1039640949; pub.1001400010; pub.1020331499; pub.1024215358; pub.1018767606; pub.1074890235; pub.1024393501; pub.1042272677; pub.1028287337; pub.1004674375; pub.1032036735; pub.1015847859; pub.1069487271; pub.1027185522; pub.1031357781; pub.1006040021; pub.1049044279; pub.1014468125; pub.1019006289; pub.1098742533; pub.1063002569; pub.1027303308; pub.1041832853; pub.1050167725; pub.1003389991; pub.1036012313; pub.1019950090; pub.1035291781; pub.1038023303; pub.1074893731; pub.1083155760; pub.1073402934; pub.1020104276; pub.1009357246; pub.1002296955; pub.1030280774; pub.1021625450; pub.1047613574; pub.1044294798; pub.1020833226; pub.1002839914; pub.1046891442; pub.1047979108; pub.1062551549; pub.1030179830; pub.1020994329; pub.1049801043; pub.1075310744; pub.1036669049; pub.1013652587; pub.1017092558; pub.1009166978; pub.1037719171; pub.1029507111; pub.1014396656; pub.1030474665; pub.1033834040; pub.1012948854; pub.1015896115; pub.1011988872; pub.1011296948; pub.1047862563; pub.1044156921; pub.1023043591; pub.1000513696; pub.1018020307; pub.1098679727; pub.1056335864; pub.1000942820; pub.1052666113; pub.1015257787; pub.1030407305; pub.1043681934; pub.1042698442; pub.1049803410; pub.1003137811; pub.1024089074; pub.1044401247; pub.1012277591; pub.1005778424; pub.1022768448; pub.1028459200; pub.1080278157; pub.1026344203; pub.1039663836; pub.1048596225; pub.1046664894; pub.1004164675
pub.1084818571,10.1371/journal.pone.0174420,Altered cortical and subcortical connectivity due to infrasound administered near the hearing threshold – Evidence from fMRI,PLoS ONE,2017,12,4,e0174420,"Weichenberger, Markus; Bauer, Martin; Kühler, Robert; Hensel, Johannes; Forlim, Caroline Garcia; Ihlenfeld, Albrecht; Ittermann, Bernd; Gallinat, Jürgen; Koch, Christian; Kühn, Simone",Charité – University Medicine Berlin; German National Metrology Institute; University Medical Center Hamburg-Eppendorf,Germany; Germany; Germany,https://app.dimensions.ai/details/publication/pub.1084818571,3,pub.1028357232; pub.1023898260; pub.1016556075; pub.1016787560; pub.1034974827; pub.1026365860; pub.1013737603; pub.1022601797; pub.1001500110; pub.1038215406; pub.1017314842; pub.1025264744; pub.1047414338; pub.1017455767; pub.1026602407; pub.1040137853; pub.1076596089; pub.1018426643; pub.1020357656; pub.1040860576; pub.1076870291; pub.1039227677; pub.1018280908; pub.1009534385; pub.1003489019; pub.1034549891; pub.1004684185; pub.1004174515; pub.1019040000; pub.1021842224; pub.1062313890; pub.1006073917; pub.1015732479; pub.1014164123; pub.1041118277; pub.1019333280; pub.1034572778; pub.1062406211; pub.1052424419; pub.1019357366; pub.1043716373; pub.1078777157; pub.1100285227; pub.1013338814; pub.1020960721; pub.1037472479; pub.1018307556; pub.1079775874; pub.1076870289; pub.1076870290; pub.1008623590; pub.1041792472; pub.1039130385; pub.1009290509; pub.1037544712; pub.1049757725; pub.1009025419; pub.1023156168; pub.1032642411; pub.1094698395; pub.1062279774; pub.1080335490; pub.1040987624; pub.1005096285; pub.1036080725; pub.1018309873; pub.1062267300; pub.1069484616; pub.1064576596; pub.1076614781; pub.1014713287; pub.1063801904; pub.1051714968; pub.1028567948; pub.1062266400; pub.1013134856; pub.1062397965; pub.1023860084; pub.1023429906; pub.1033672940; pub.1030165522; pub.1014933244; pub.1025912285; pub.1005240939; pub.1049206714; pub.1007471430; pub.1052720371; pub.1022580140; pub.1062277753; pub.1051752337; pub.1041179616; pub.1015514881; pub.1059098889; pub.1007127409; pub.1022259601; pub.1005224782; pub.1012876863; pub.1031448316; pub.1039839237; pub.1007745065
pub.1006273839,10.1371/journal.pone.0136553,Structural and Functional Alterations in Right Dorsomedial Prefrontal and Left Insular Cortex Co-Localize in Adolescents with Aggressive Behaviour: An ALE Meta-Analysis,PLoS ONE,2015,10,9,e0136553,"Raschle, Nora Maria; Menks, Willeke Martine; Fehlbaum, Lynn Valérie; Tshomba, Ebongo; Stadler, Christina",Universitäre Psychiatrische Kliniken Basel,Switzerland,https://app.dimensions.ai/details/publication/pub.1006273839,14,pub.1023216821; pub.1009853031; pub.1036627055; pub.1062802292; pub.1054042527; pub.1040953978; pub.1038164792; pub.1039102640; pub.1063499137; pub.1010063799; pub.1008392680; pub.1005736053; pub.1063499764; pub.1025264744; pub.1044794774; pub.1011291773; pub.1045552061; pub.1021200729; pub.1050005358; pub.1005135912; pub.1039220701; pub.1014177372; pub.1029464051; pub.1016699777; pub.1044935760; pub.1040153187; pub.1007660701; pub.1019814716; pub.1004034889; pub.1078710604; pub.1040230052; pub.1046263572; pub.1007894775; pub.1024237649; pub.1044084498; pub.1030639212; pub.1031636851; pub.1009968492; pub.1041260214; pub.1004878958; pub.1045371959; pub.1030851286; pub.1046140001; pub.1007325093; pub.1045736549; pub.1022146881; pub.1019357366; pub.1030360091; pub.1010587894; pub.1005241810; pub.1012236059; pub.1009220387; pub.1012514909; pub.1029876288; pub.1022392104; pub.1034879911; pub.1020940490; pub.1013272583; pub.1028492979; pub.1045218025; pub.1000845014; pub.1028955398; pub.1017615198; pub.1042403469; pub.1097032812; pub.1050294562; pub.1011111090; pub.1024451022; pub.1033569304; pub.1030107212; pub.1022795953; pub.1000316486; pub.1036678768; pub.1021329496; pub.1033367849; pub.1030950903; pub.1039264769; pub.1005821149; pub.1008623590; pub.1040199343; pub.1038537858; pub.1021608527; pub.1010113206; pub.1041542784; pub.1045921309; pub.1011276426; pub.1052689655; pub.1012543655; pub.1047310949; pub.1063498984; pub.1022680207; pub.1032371047; pub.1034133118; pub.1070975681; pub.1023150746; pub.1030437372; pub.1035363524; pub.1024689357; pub.1044296734; pub.1041108917; pub.1036876812; pub.1024110632; pub.1008501268; pub.1007432970; pub.1047796572; pub.1037734008; pub.1005770904; pub.1033278900; pub.1018440340; pub.1038635273; pub.1009857766; pub.1063498073; pub.1022051279; pub.1063498175; pub.1040686715; pub.1020593523; pub.1044420655; pub.1045734928; pub.1028571621; pub.1019711684; pub.1045228820; pub.1005077821; pub.1008432666; pub.1043175225; pub.1027064879; pub.1011712192; pub.1030939659; pub.1045193402; pub.1022104510; pub.1020178021; pub.1007793658; pub.1083190477; pub.1015711504; pub.1033464465; pub.1038539864; pub.1026969397; pub.1007714316; pub.1017904047; pub.1007175851; pub.1023987458; pub.1007739389; pub.1022364123; pub.1041111406; pub.1010661863; pub.1034949647; pub.1007091711; pub.1036196117; pub.1063498076; pub.1000933809; pub.1034284013; pub.1011542469; pub.1022828023; pub.1036576234; pub.1030159826; pub.1053830563; pub.1008485881; pub.1010631434; pub.1067426656; pub.1039453204; pub.1001061484; pub.1008403781; pub.1035091487; pub.1027525082; pub.1010205804; pub.1063497904
pub.1041836730,10.1371/journal.pone.0162042,Impaired Spatio-Temporal Predictive Motor Timing Associated with Spinocerebellar Ataxia Type 6,PLoS ONE,2016,11,8,e0162042,"Broersen, Robin; Onuki, Yoshiyuki; Abdelgabar, Abdel R.; Owens, Cullen B.; Picard, Samuel; Willems, Jessica; Boele, Henk-Jan; Gazzola, Valeria; Van der Werf, Ysbrand D.; De Zeeuw, Chris I.",Netherlands Institute for Neuroscience; Erasmus University Medical Center; University of Amsterdam; VU University Medical Center,Netherlands; Netherlands; Netherlands; Netherlands,https://app.dimensions.ai/details/publication/pub.1041836730,4,pub.1042482364; pub.1059439208; pub.1036101909; pub.1082817043; pub.1006770492; pub.1040611716; pub.1022209024; pub.1083211660; pub.1043354762; pub.1018418360; pub.1033762245; pub.1009110838; pub.1002564993; pub.1003187592; pub.1033222510; pub.1002947973; pub.1034633863; pub.1044190946; pub.1009930182; pub.1001794186; pub.1029006267; pub.1012412910; pub.1075170892; pub.1052695619; pub.1051375155; pub.1082701569; pub.1035248214; pub.1031654485; pub.1074489289; pub.1050135501; pub.1013392112; pub.1019490667; pub.1011610969; pub.1038134235; pub.1029475452; pub.1000352110; pub.1083110077; pub.1030101594; pub.1031533197; pub.1081781221; pub.1018524747; pub.1074549948; pub.1052469419; pub.1010781025; pub.1028098975; pub.1083181768; pub.1064348165; pub.1009506706; pub.1015183229; pub.1019452443; pub.1006593798; pub.1021660907; pub.1010743636; pub.1052962479; pub.1015322091; pub.1027206502; pub.1018631755; pub.1042787412; pub.1019562900; pub.1030566801; pub.1047317077; pub.1004999672; pub.1083065359; pub.1001808641; pub.1016018063; pub.1044814059; pub.1036175663; pub.1003965721; pub.1003451451; pub.1058301349; pub.1034655029
pub.1035512396,10.1371/journal.pone.0151484,Visuomotor Dissociation in Cerebral Scaling of Size,PLoS ONE,2016,11,3,e0151484,"Potgieser, Adriaan R. E.; de Jong, Bauke M.",University of Groningen,Netherlands,https://app.dimensions.ai/details/publication/pub.1035512396,2,pub.1012130664; pub.1004193347; pub.1048102831; pub.1037845136; pub.1062502296; pub.1012863798; pub.1039117261; pub.1039636288; pub.1014871902; pub.1011377352; pub.1002641213; pub.1050414370; pub.1050483526; pub.1023536923; pub.1062504547; pub.1029441368; pub.1048217286; pub.1046100769; pub.1013407426; pub.1008479858; pub.1007598327; pub.1009211491; pub.1009198127; pub.1038338058; pub.1058164818; pub.1013450687; pub.1052342019; pub.1034002100; pub.1012710804; pub.1001500110; pub.1000875160; pub.1012476036; pub.1019183519; pub.1041737004; pub.1020939689; pub.1009489144; pub.1036918666; pub.1074748745; pub.1031081201; pub.1023377601; pub.1027483161; pub.1002529940; pub.1083157381; pub.1052567124; pub.1016631046; pub.1024270717; pub.1041201593; pub.1048571776; pub.1031316774; pub.1051771151; pub.1031348437; pub.1048875570; pub.1006415180; pub.1003489019; pub.1026255250; pub.1045340351; pub.1016909553; pub.1052674306; pub.1038101778; pub.1024451022; pub.1018946295; pub.1034543489; pub.1019176620; pub.1028198582; pub.1010878812; pub.1001095006; pub.1041985126; pub.1039620906; pub.1038292761; pub.1002496022; pub.1022259601; pub.1047679965; pub.1042573321; pub.1004585945; pub.1041885569; pub.1043611544; pub.1025622939; pub.1049263491; pub.1003644995; pub.1005770904; pub.1051608681
pub.1035033870,10.1371/journal.pone.0130880,Attentional Modulation of Brain Responses to Primary Appetitive and Aversive Stimuli,PLoS ONE,2015,10,7,e0130880,"Field, Brent A.; Buck, Cara L.; McClure, Samuel M.; Nystrom, Leigh E.; Kahneman, Daniel; Cohen, Jonathan D.","Princeton University; University of California, San Diego; Stanford University; University of Pittsburgh",United States; United States; United States; United States,https://app.dimensions.ai/details/publication/pub.1035033870,2,pub.1046016225; pub.1033916313; pub.1056368518; pub.1004233589; pub.1033183561; pub.1035778351; pub.1033579712; pub.1029553989; pub.1017777155; pub.1021448603; pub.1009155199; pub.1074522775; pub.1031970732; pub.1050879441; pub.1075340212; pub.1032559488; pub.1044398234; pub.1001215960; pub.1048518447; pub.1046735445; pub.1076608038; pub.1074851176; pub.1039854018; pub.1010926150; pub.1044312480; pub.1050184904; pub.1022208168; pub.1045205659; pub.1048982495; pub.1046275387; pub.1007044713; pub.1075343354; pub.1075105512; pub.1006693058; pub.1074991960; pub.1012407989; pub.1062444303; pub.1028171091; pub.1031996089; pub.1042328620; pub.1047348449; pub.1028582295; pub.1048572480; pub.1026223403; pub.1050517513; pub.1009068124; pub.1002427588; pub.1026945240; pub.1025859927; pub.1028419724; pub.1009524265
