"About the data: Exported on Dec 21, 2018. Criteria: Text - '26441569 OR 26441576 OR 26441584 OR 26441588 OR 26441595 OR 26441600 OR 26441601 OR 26442464 OR 26442666 OR 26442751 OR 26445698 OR 26446226 OR 26448909 OR 26449989 OR 26450814 OR 26452176 OR 26453902...' in full data. For more information, please see https://app.dimensions.ai/datasources.",,,,,,,,,,,,,
Publication ID,DOI,Title,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Publication IDs of cited references
pub.1035506964,10.1371/journal.pone.0170143,Regional Homogeneity Changes in Nicotine Addicts by Resting-State fMRI,PLoS ONE,2017,12,1,e0170143,"Chen, Hongbo; Mo, Shaofeng",Guilin University of Electronic Technology; Central South University,China; China,https://app.dimensions.ai/details/publication/pub.1035506964,1,pub.1022815933; pub.1040698856; pub.1012572015; pub.1045861272; pub.1044826192; pub.1053109894; pub.1063501880; pub.1025459686; pub.1019497391; pub.1022531827; pub.1033196910; pub.1059943950; pub.1034087219; pub.1049104245; pub.1000340483; pub.1016809036; pub.1042550478; pub.1036935396; pub.1023417724; pub.1045660985; pub.1005561839; pub.1039130385; pub.1058401620; pub.1027105613; pub.1018468058; pub.1013247363; pub.1044157625; pub.1030632246; pub.1034466215; pub.1040812417; pub.1030165522; pub.1012114689; pub.1042573543; pub.1047424808; pub.1044337564; pub.1007203086
pub.1091547374,10.1371/journal.pone.0184325,Altered right anterior insular connectivity and loss of associated functions in adolescent chronic fatigue syndrome,PLoS ONE,2017,12,9,e0184325,"Wortinger, Laura Anne; Øie, Merete Glenne; Endestad, Tor; Wyller, Vegard Bruun",Akershus University Hospital; University of Oslo; Innlandet Hospital Trust,Norway; Norway; Norway,https://app.dimensions.ai/details/publication/pub.1091547374,2,pub.1011468383; pub.1037853677; pub.1043159958; pub.1078995696; pub.1000629274; pub.1018238481; pub.1005108560; pub.1029701149; pub.1069383389; pub.1053168961; pub.1014068180; pub.1009534385; pub.1048632253; pub.1053066826; pub.1063798977; pub.1043714936; pub.1027307300; pub.1031439569; pub.1044289357; pub.1053331776; pub.1053797687; pub.1041084900; pub.1038955025; pub.1050351020; pub.1039675380; pub.1025598003; pub.1041751078; pub.1038678653; pub.1039679333; pub.1018090706; pub.1024451022; pub.1073698824; pub.1042266181; pub.1045240622; pub.1053222778; pub.1042881221; pub.1003244069; pub.1020085936; pub.1046748189; pub.1053291052; pub.1048515901; pub.1031061037; pub.1041121946; pub.1012579253; pub.1000595134; pub.1023824989; pub.1021448603; pub.1037848609; pub.1000367260; pub.1039911695; pub.1048477290; pub.1030181286; pub.1041120702; pub.1073661750; pub.1031100401; pub.1070802694; pub.1026654519; pub.1053727728; pub.1026604720; pub.1047053456; pub.1031921221; pub.1032219204; pub.1053535878; pub.1016347968; pub.1022414133; pub.1009489144; pub.1002989198; pub.1027104062; pub.1037745277; pub.1062434245; pub.1052622036; pub.1012265692; pub.1047918649; pub.1000739949; pub.1018020307; pub.1009404997; pub.1019736433; pub.1047899108; pub.1007044184; pub.1010405236; pub.1049000935; pub.1010274309; pub.1027988452; pub.1021671467; pub.1059239700; pub.1021452884; pub.1045756272; pub.1074369860; pub.1003111407; pub.1046627213; pub.1041003870; pub.1038085882; pub.1041645745; pub.1025017526; pub.1053288555; pub.1004636938; pub.1011360251; pub.1036826836; pub.1029862449; pub.1018565393; pub.1011665436
pub.1059445147,10.1093/brain/aww097,The migraine generator revisited: continuous scanning of the migraine cycle over 30 days and three spontaneous attacks.,Brain,2016,139,Pt 7,1987-93,"Schulte, Laura H; May, Arne",University Medical Center Hamburg-Eppendorf,Germany,https://app.dimensions.ai/details/publication/pub.1059445147,94,pub.1036150165; pub.1041267750; pub.1037088226; pub.1018020307; pub.1069286169; pub.1001249072; pub.1043830777; pub.1042314410; pub.1004906592; pub.1021428113; pub.1064352888; pub.1050658897; pub.1053491925; pub.1048949316; pub.1020966439; pub.1028679250; pub.1030496078; pub.1048355691; pub.1026074759; pub.1003106804; pub.1026867321
pub.1059458794,10.1093/cercor/bhw108,The Cortical Processing of Sensorimotor Sequences is Disrupted in Writer's Cramp.,Cerebral Cortex,2016,27,4,2544-2559,"Langbour, N; Michel, V; Dilharreguy, B; Guehl, D; Allard, M; Burbaud, P",Neurodegeneratives Diseases Institute; Centre Hospitalier Universitaire de Bordeaux; Institut de Neurosciences Cognitives et Intégratives d’Aquitaine; French National Centre for Scientific Research,France; France; France; France,https://app.dimensions.ai/details/publication/pub.1059458794,2,pub.1023742615; pub.1015141169; pub.1051185893; pub.1047942030; pub.1026034040; pub.1052038213; pub.1036131215; pub.1006471054; pub.1020426344; pub.1005138181; pub.1051630076; pub.1051042275; pub.1005609764; pub.1001912096; pub.1042428652; pub.1064374192; pub.1006559131; pub.1020530428; pub.1083190487; pub.1045337459; pub.1027996000; pub.1027485732; pub.1064357441; pub.1015176299; pub.1010047625; pub.1001558232; pub.1064347450; pub.1037479190; pub.1037110221; pub.1074564096; pub.1032279336; pub.1005740984; pub.1014032901; pub.1031416362; pub.1039168790; pub.1051476271; pub.1008089222; pub.1025492154; pub.1015743640; pub.1049480207; pub.1031405214; pub.1012934777; pub.1030107212; pub.1046419592; pub.1009999524; pub.1012114405; pub.1046356411; pub.1008704012; pub.1009177386; pub.1040354574; pub.1026218903; pub.1023784932; pub.1038467559; pub.1051513033; pub.1009829715; pub.1009836317; pub.1041441700; pub.1044194370; pub.1009138592; pub.1020099432; pub.1022596842; pub.1000517695; pub.1041814922; pub.1022052373; pub.1027411539; pub.1044891905; pub.1010566442; pub.1048936961; pub.1052983441; pub.1035327664; pub.1059438653; pub.1045031115; pub.1047320665; pub.1021379638; pub.1039135549; pub.1031665844; pub.1041312863; pub.1052918397; pub.1014469289; pub.1042499461; pub.1083027539; pub.1005961160; pub.1064356683; pub.1033978185; pub.1044109850; pub.1013761649; pub.1029783545; pub.1038758385; pub.1000646778; pub.1039424702; pub.1011957332; pub.1050354466; pub.1026416972; pub.1016723273; pub.1046676530; pub.1013874005
pub.1067642719,10.1523/jneurosci.0425-16.2016,Neural Global Pattern Similarity Underlies True and False Memories.,Journal of Neuroscience,2016,36,25,6792-802,"Ye, Zhifang; Zhu, Bi; Zhuang, Liping; Lu, Zhonglin; Chen, Chuansheng; Xue, Gui","Beijing Normal University; The Ohio State University; University of California, Irvine",China; United States; United States,https://app.dimensions.ai/details/publication/pub.1067642719,2,
pub.1067426860,10.1503/jpn.150147,Male-typical visuospatial functioning in gynephilic girls with gender dysphoria - organizational and activational effects of testosterone.,Journal of Psychiatry and Neuroscience,2016,41,6,395-404,"Burke, Sarah M; Kreukels, Baudewijntje P C; Cohen-Kettenis, Peggy T; Veltman, Dick J; Klink, Daniel T; Bakker, Julie",VU University Medical Center,Netherlands,https://app.dimensions.ai/details/publication/pub.1067426860,4,pub.1075207498; pub.1047284447; pub.1062502296; pub.1021160507; pub.1070790927; pub.1059458520; pub.1069383631; pub.1025311176; pub.1027569690; pub.1007767452; pub.1008439781; pub.1013359732; pub.1035073243; pub.1047875266; pub.1043088480; pub.1064270247; pub.1044601699; pub.1038840621; pub.1047429665; pub.1027520149; pub.1051546136; pub.1020090083; pub.1043242164; pub.1038583417; pub.1002087296; pub.1013437905; pub.1029335135; pub.1046599972; pub.1053266373; pub.1053322831; pub.1005192030; pub.1023988691; pub.1012904924; pub.1042257442; pub.1041117939; pub.1045306272; pub.1040920680; pub.1001346761; pub.1025648568; pub.1036697191; pub.1051701015; pub.1009862096; pub.1043484342; pub.1064291262; pub.1000737367; pub.1030246881; pub.1004580170; pub.1082363659; pub.1026435333; pub.1023740469; pub.1026523964; pub.1053584584; pub.1020380542; pub.1007283031; pub.1049046169; pub.1004990996; pub.1045906142; pub.1018844390; pub.1052383375; pub.1034227303; pub.1011383439; pub.1051796454
pub.1067642838,10.1523/jneurosci.1130-15.2016,Encoding of Touch Intensity But Not Pleasantness in Human Primary Somatosensory Cortex.,Journal of Neuroscience,2016,36,21,5850-60,"Case, Laura K; Laubacher, Claire M; Olausson, Håkan; Wang, Binquan; Spagnolo, Primavera A; Bushnell, M Catherine",Linköping University; National Institute On Alcohol Abuse and Alcoholism,Sweden; United States,https://app.dimensions.ai/details/publication/pub.1067642838,23,pub.1029095687; pub.1048585815; pub.1049562754; pub.1024865360; pub.1003229907; pub.1040911045; pub.1064346938; pub.1052841857; pub.1042811312; pub.1038399736; pub.1045627688; pub.1045161127; pub.1021715990; pub.1074476133; pub.1004060146; pub.1014562546; pub.1012948393; pub.1036173681; pub.1002119353; pub.1006759972; pub.1021209889; pub.1016048725; pub.1016099328; pub.1053224466; pub.1004237986; pub.1062557689; pub.1004846799; pub.1045538017; pub.1034916872; pub.1023202751; pub.1039117155; pub.1042652937; pub.1023733094; pub.1007873163; pub.1064374952; pub.1009584171; pub.1010261156; pub.1043189132; pub.1018307556; pub.1016783882; pub.1048847151; pub.1024611368; pub.1046420822; pub.1013684440; pub.1016221301; pub.1021728039; pub.1074841843; pub.1045792637; pub.1024629846; pub.1015298586; pub.1034855765; pub.1049773479; pub.1026019363; pub.1018625573; pub.1014365445; pub.1034906575; pub.1036143829; pub.1003286445; pub.1003527738; pub.1045833937; pub.1012758632; pub.1036116820
pub.1101546344,10.1371/journal.pone.0194388,The effect of task modality and stimulus frequency in paced serial addition tests on functional brain activity,PLoS ONE,2018,13,3,e0194388,"Gielen, Jeroen; Wiels, Wietse; Van Schependom, Jeroen; Laton, Jorne; Van Hecke, Wim; Parizel, Paul M.; D’hooghe, Marie Beatrice; Nagels, Guy",University of Mons; Icometrix (Belgium); University of Antwerp,Belgium; Belgium; Belgium,https://app.dimensions.ai/details/publication/pub.1101546344,0,pub.1005928742; pub.1000955722; pub.1019988103; pub.1023130916; pub.1046495479; pub.1015204293; pub.1034580996; pub.1003689574; pub.1000978580; pub.1040103472; pub.1015744581; pub.1038788603; pub.1007540927; pub.1010791946; pub.1035598026; pub.1000306898; pub.1043020264; pub.1009726020; pub.1000489290; pub.1009985845; pub.1045758423; pub.1010492289; pub.1013218712; pub.1031256488; pub.1026256466; pub.1028876460; pub.1018307556; pub.1003381583; pub.1015873463; pub.1059399128; pub.1041985126; pub.1005770904; pub.1015176064; pub.1031356479
pub.1067643002,10.1523/jneurosci.1954-15.2016,Different Brain Circuitries Mediating Controllable and Uncontrollable Pain.,Journal of Neuroscience,2016,36,18,5013-25,"Bräscher, Anne-Kathrin; Becker, Susanne; Hoeppli, Marie-Eve; Schweinhardt, Petra",McGill University,Canada,https://app.dimensions.ai/details/publication/pub.1067643002,21,
pub.1067643295,10.1523/jneurosci.4365-15.2016,"Gain in Body Fat Is Associated with Increased Striatal Response to Palatable Food Cues, whereas Body Fat Stability Is Associated with Decreased Striatal Response.",Journal of Neuroscience,2016,36,26,6949-56,"Stice, Eric; Yokum, Sonja",Oregon Research Institute,United States,https://app.dimensions.ai/details/publication/pub.1067643295,13,pub.1008330555; pub.1020827195; pub.1016922700; pub.1024519426; pub.1050902256; pub.1023674096; pub.1067636622; pub.1052421363; pub.1035230198; pub.1030354719; pub.1018111910; pub.1006529191; pub.1050423469; pub.1000189673; pub.1019525011; pub.1048518447; pub.1023999228; pub.1049470195; pub.1022719470; pub.1017192251; pub.1034120099; pub.1031980666; pub.1043731831; pub.1040199098; pub.1044312480; pub.1024478599; pub.1044951432; pub.1020360167; pub.1043467596; pub.1014569184; pub.1007974070; pub.1041068299; pub.1010492289; pub.1026137769; pub.1062458497; pub.1051976269; pub.1012422779; pub.1001640328; pub.1075004134; pub.1020326688; pub.1040655928; pub.1043119397; pub.1053295815; pub.1037447384; pub.1000294349
