,X,Y
1402966,121.83768,111.289085
1410086,123.2059,111.10446
1448149,67.64638,139.6229
1486459,50.76493,-93.2219
1486460,15.3809395,-136.02536
1519476,97.00195,-150.61649
1527602,63.33913,147.10902
1542680,134.64896,17.465185
1613546,130.71986,-96.367805
1633409,-136.4704,-103.21156
1679944,52.37165,-131.14157
1791928,87.7343,-57.61433
1822545,89.503,-129.08202
1869921,-102.85473,-39.819542
1875248,89.21352,-132.62259
1884179,15.575437,-146.1314
1929214,161.18434,29.342428
2296583,109.288376,-46.52052
2360050,10.202336,1.9233301
2396097,156.25586,4.169416
3277066,-4.38849,-147.72865
3298565,80.38735,-145.56578
3653828,151.48439,4.030058
3875696,144.48222,-46.870945
7472384,88.65346,-139.4519
7479961,-81.3994,-55.61165
7485619,-159.99866,-76.360565
7488733,11.836565,85.51697
7569934,39.591736,-79.72028
7708745,27.807293,-81.33317
7714579,-57.126816,-116.61886
7811563,141.96452,-52.301533
7820564,-128.94655,-100.468765
7820565,-107.05231,-22.663757
7846080,119.59489,-81.149216
7850422,156.08119,20.772684
7864258,19.520481,103.7665
7865775,72.8654,-54.529587
7922456,-146.1177,-100.77585
7925790,66.0575,-142.01985
7935791,-80.45266,-61.37274
7953589,-91.99544,14.039178
8027764,-43.91171,-140.36781
8038933,83.81822,142.8667
8207487,-162.6384,-10.300854
8232848,93.50473,-12.907235
8286936,-69.261566,-49.251736
8350282,138.78592,-80.17759
8405250,141.44594,-56.35794
8410148,-123.658195,-60.573544
8430100,-2.8418393,-44.411366
8430101,-62.24199,-77.27607
8441008,-41.30241,-85.89888
8480815,113.21152,120.67674
8524452,-46.918026,-58.76018
8551361,-127.55807,-9.296901
8556839,-23.17877,42.198593
8592204,85.529884,-62.27248
8592206,32.790314,4.6937346
8595189,120.55099,-81.82299
8606767,58.447544,-83.86706
8606771,151.89288,14.547126
8624678,-142.23672,-83.08941
8628399,-93.19225,81.542854
8642414,-31.549593,-101.22573
8642416,-129.3137,90.55508
8642418,-22.65304,58.039227
8656296,-71.493004,76.91117
8670634,2.1347184,-43.872993
8673502,-97.32924,-118.26949
8700204,-164.44328,-9.284144
8730806,-66.32835,-97.175804
8738230,122.32122,-89.30338
8772633,101.890045,133.91245
8774879,-48.226883,22.287859
8784221,138.6372,-55.59216
8784224,78.98536,-135.05919
8786445,139.07289,-66.80472
8790444,35.17962,49.87323
8805334,49.79925,-138.54262
8805700,59.525623,-83.93494
8805836,59.795193,-85.14509
8813286,61.849392,-93.13045
8815903,-132.14413,-12.856211
8822570,14.5543995,-112.594574
8836245,142.92091,-99.28527
8855347,-42.663666,62.2054
8864300,-65.0076,-84.56586
8889766,128.16577,-85.755875
8893004,51.256863,113.15938
8896772,-29.307447,148.6042
8904757,-133.06439,-36.288662
8929174,133.62402,41.79147
8931582,77.09869,-5.108601
8931588,-68.69344,-47.927574
8938120,39.485435,112.54697
8951412,95.0442,-148.45895
8952093,40.014584,-73.62358
8957565,88.63068,2.7656214
8981399,-147.54431,-101.233025
8981469,161.18752,15.823241
8988793,-109.434425,-23.567873
8989012,158.47328,-57.61442
9010014,-24.121563,-20.063631
9023428,113.26966,-90.313
9023435,-6.9837513,-112.076355
9025115,-40.621494,-22.40276
9038283,168.58276,8.693957
9038284,8.806081,-26.76708
9051780,52.549824,64.679436
9054787,-91.69055,58.27718
9055802,128.23302,49.79538
9065511,-5.3931904,24.977062
9080447,-56.149887,-136.95538
9084599,-53.810143,-125.91995
9084621,114.3453,-82.73998
9108115,134.18837,79.37133
9114262,45.382057,-131.51724
9114263,97.62091,-149.57065
9116229,125.98045,-2.715595
9121583,-63.56555,-58.780746
9125463,-28.360561,-97.377754
9126062,-28.993832,-57.69222
9133394,-51.87435,-59.537
9141092,-49.06044,93.9716
9153035,96.363,55.192974
9153677,-150.28859,-46.426094
9160646,61.652824,45.649845
9175118,120.41745,55.353027
9183247,-154.5796,-69.00644
9183248,-165.87495,-16.32427
9185551,141.24051,73.449875
9187292,-23.213543,-3.0344627
9204934,10.615664,-169.3574
9210741,-69.869385,129.0433
9210742,-64.18934,104.19429
9217681,-57.262882,-119.85749
9223090,-34.641186,-29.74783
9223094,25.932257,-73.6192
9228523,5.358541,58.85951
9238064,-43.025925,-37.91486
9242293,144.48677,-76.141846
9256495,-167.76454,-5.3067403
9287369,93.21812,48.328026
9295118,64.17508,-128.22401
9295122,-52.476925,128.56918
9299382,-85.62466,45.20667
9305814,-105.75418,0.9153496
9309607,40.866806,-130.16867
9333238,-124.27657,74.088196
9343589,26.015495,81.390045
9343594,-117.83298,-65.512634
9343606,107.41288,7.801351
9343610,79.662674,-70.38337
9343611,-105.320114,-23.554756
9345474,-24.560244,-125.136986
9345478,-118.362755,-6.5917253
9345483,34.96012,-47.17606
9345509,59.71898,122.65476
9345552,-121.17167,3.5059843
9347486,0.37913072,150.72913
9352521,44.466988,109.6846
9354332,-42.884727,61.353813
9365370,52.832115,18.18793
9389221,130.69373,115.197426
9391021,8.616712,-110.269684
9397017,-2.727957,-98.78042
9401596,-77.31903,-91.644325
9405692,32.202053,-72.03787
9412517,66.629135,124.2672
9414011,133.28247,-72.60676
9417966,100.485245,-64.61997
9427311,28.135494,58.53875
9427367,40.570442,-151.1818
9430507,118.14633,116.16855
9462476,92.70221,81.390594
9462480,-70.74526,68.885025
9463462,-71.70548,-96.08743
9465007,13.520677,-50.12653
9469535,-69.30153,-108.19568
9482951,-40.108402,51.357212
9491989,-88.74714,29.97855
9500831,69.70418,-95.28109
9501235,-131.98814,-85.90075
9510380,-49.233902,-80.821144
9510384,4.4676404,-101.07095
9529825,-29.003319,46.174316
9529941,106.19415,-79.9578
9529944,113.344536,77.8578
9539233,-127.7849,-11.261432
9547077,116.808136,60.943974
